,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3p6.3d7.4s2,a 4F,9/2,10.0,0.0,,1.33289,                                                      ,L7185,4
1,3p6.3d7.4s2,a 4F,7/2,8.0,0.101171,,1.23778,                                                      ,,4
2,3p6.3d7.4s2,a 4F,5/2,6.0,0.174426,,1.02826,                                                      ,,4
3,3p6.3d7.4s2,a 4F,3/2,4.0,0.224328,,0.3994,                                                      ,,4
4,3p6.3d8.(3F).4s,b 4F,9/2,10.0,0.431815,,1.33343, 100                                                  ,,4
5,3p6.3d8.(3F).4s,b 4F,7/2,8.0,0.513624,,1.23661,  98                                                  ,,4
6,3p6.3d8.(3F).4s,b 4F,5/2,6.0,0.581508,,1.02709, 100                                                  ,,4
7,3p6.3d8.(3F).4s,b 4F,3/2,4.0,0.629323,,0.404, 100                                                  ,,4
8,3p6.3d8.(3F).4s,a 2F,7/2,8.0,0.922741,,1.147,  98                                                  ,,4
9,3p6.3d8.(3F).4s,a 2F,5/2,6.0,1.049007,,0.862, 100                                                  ,,4
10,3p6.3d7.4s2,a 4P,5/2,6.0,1.710426,,1.604,                                                      ,,4
11,3p6.3d7.4s2,a 4P,3/2,4.0,1.740277,,1.722,                                                      ,,4
12,3p6.3d7.4s2,a 4P,1/2,2.0,1.785283,,2.651,                                                      ,,4
13,3p6.3d8.(3P).4s,b 4P,5/2,6.0,1.882581,,1.515,  84             :    16  3d8.(1D).4s            2D   ,,4
14,3p6.3d8.(3P).4s,b 4P,3/2,4.0,1.955732,,1.476,  98                                                  ,,4
15,3p6.3d8.(3P).4s,b 4P,1/2,2.0,2.008008,,2.682, 100                                                  ,,4
16,3p6.3d7.4s2,a 2G,9/2,10.0,2.041759,,1.109,                                                      ,,4
17,3p6.3d7.4s2,a 2G,7/2,8.0,2.136704,,0.883,                                                      ,,4
18,3p6.3d8.(1D).4s,a 2D,3/2,4.0,2.042094,,1.101,  96                                                  ,,4
19,3p6.3d8.(1D).4s,a 2D,5/2,6.0,2.080227,,1.296,  83             :    16  3d8.(3P).4s            4P   ,,4
20,3p6.3d8.(3P).4s,a 2P,3/2,4.0,2.280016,,1.3,  98                                                  ,,4
21,3p6.3d8.(3P).4s,a 2P,1/2,2.0,2.327805,,0.695, 100                                                  ,,4
22,3p6.3d7.4s2,b 2P,3/2,4.0,2.541764,,1.284,                                                      ,,4
23,3p6.3d7.4s2,b 2P,1/2,2.0,2.630436,,0.68,                                                      ,,4
24,3p6.3d7.4s2,a 2H,11/2,12.0,2.700434,,1.1,                                                      ,,4
25,3p6.3d7.4s2,a 2H,9/2,10.0,2.786589,,0.921,                                                      ,,4
26,3p6.3d7.4s2,b 2D,5/2,6.0,2.717745,,1.18,                                                      ,,4
27,3p6.3d7.4s2,b 2D,3/2,4.0,2.870553,,0.955,                                                      ,,4
28,3p6.3d8.(1G).4s,b 2G,9/2,10.0,2.874478,,1.098, 100                                                  ,,4
29,3p6.3d8.(1G).4s,b 2G,7/2,8.0,2.877396,,0.883, 100                                                  ,,4
30,3p6.3d7.(4F).4s.4p.(3P*),z 6F*,11/2,12.0,2.927488,,1.466,  97                                                  ,,4
31,3p6.3d7.(4F).4s.4p.(3P*),z 6F*,9/2,10.0,2.95772,,1.481,  78             :    18  3d7.(4F).4s.4p.(3P*)   6D*  ,,4
32,3p6.3d7.(4F).4s.4p.(3P*),z 6F*,7/2,8.0,3.016053,,1.436,  84             :    12  3d7.(4F).4s.4p.(3P*)   6D*  ,,4
33,3p6.3d7.(4F).4s.4p.(3P*),z 6F*,5/2,6.0,3.066536,,1.336,  90             :     7  3d7.(4F).4s.4p.(3P*)   6D*  ,,4
34,3p6.3d7.(4F).4s.4p.(3P*),z 6F*,3/2,4.0,3.104708,,1.118,  95                                                  ,,4
35,3p6.3d7.(4F).4s.4p.(3P*),z 6F*,1/2,2.0,3.128467,,-0.622,  99                                                  ,,4
36,3p6.3d7.(4F).4s.4p.(3P*),z 6D*,9/2,10.0,3.053457,,1.569,  78             :    17  3d7.(4F).4s.4p.(3P*)   6F*  ,,4
37,3p6.3d7.(4F).4s.4p.(3P*),z 6D*,7/2,8.0,3.132988,,1.55,  83             :    11  3d7.(4F).4s.4p.(3P*)   6F*  ,,4
38,3p6.3d7.(4F).4s.4p.(3P*),z 6D*,5/2,6.0,3.191345,,1.612,  87             :     6  3d7.(4F).4s.4p.(3P*)   6F*  ,,4
39,3p6.3d7.(4F).4s.4p.(3P*),z 6D*,3/2,4.0,3.231414,,1.812,  91                                                  ,,4
40,3p6.3d7.(4F).4s.4p.(3P*),z 6D*,1/2,2.0,3.254646,,3.286,  94                                                  ,,4
41,3p6.3d7.(4F).4s.4p.(3P*),z 6G*,13/2,14.0,3.116824,,1.4, 100                                                  ,,4
42,3p6.3d7.(4F).4s.4p.(3P*),z 6G*,11/2,12.0,3.170112,,1.354,  96                                                  ,,4
43,3p6.3d7.(4F).4s.4p.(3P*),z 6G*,9/2,10.0,3.215851,,1.281,  94                                                  ,,4
44,3p6.3d7.(4F).4s.4p.(3P*),z 6G*,7/2,8.0,3.25236,,1.15,  94                                                  ,,4
45,3p6.3d7.(4F).4s.4p.(3P*),z 6G*,5/2,6.0,3.279385,,0.876,  95                                                  ,,4
46,3p6.3d7.(4F).4s.4p.(3P*),z 6G*,3/2,4.0,3.297687,,0.006,  97                                                  ,,4
47,3p6.3d9,c 2D,5/2,6.0,3.409201,,1.2,                                                      ,,1
48,3p6.3d9,c 2D,3/2,4.0,3.529893,,0.907,                                                      ,,1
49,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,9/2,10.0,3.514439,,1.33,  82             :    15  3d8.(3F).4p            4F*  ,,4
50,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,7/2,8.0,3.567927,,1.247,  80             :    13  3d8.(3F).4p            4F*  ,,4
51,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,5/2,6.0,3.622368,,1.033,  82             :    13  3d8.(3F).4p            4F*  ,,4
52,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,3/2,4.0,3.665366,,0.41,  85             :    13  3d8.(3F).4p            4F*  ,,4
53,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,11/2,12.0,3.576351,,1.276,  95                                                  ,,4
54,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,9/2,10.0,3.628984,,1.175,  90                                                  ,,4
55,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,7/2,8.0,3.686692,,0.995,  91                                                  ,,4
56,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,5/2,6.0,3.732291,,0.577,  94                                                  ,,4
57,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,7/2,8.0,3.632058,,1.425,  53             :    42  3d8.(3F).4p            4D*  ,,4
58,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,6.0,3.713173,,1.359,  57             :    36  3d8.(3F).4p            4D*  ,,4
59,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,4.0,3.774529,,1.192,  62             :    33  3d8.(3F).4p            4D*  ,,4
60,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,1/2,2.0,3.811603,,-0.006,  65             :    31  3d8.(3F).4p            4D*  ,,4
61,3p6.3d7.(4F).4s.4p.(3P*),z 2G*,9/2,10.0,3.930261,,1.126,  47             :    29  3d8.(3F).4p            4G*  ,,4
62,3p6.3d7.(4F).4s.4p.(3P*),z 2G*,7/2,8.0,4.058383,,0.899,  41             :    29  3d8.(3F).4p            4F*  ,,4
63,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,7/2,8.0,3.951519,,1.777,  66             :    28  3d8.(3F).4p            2F*  ,,4
64,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,5/2,6.0,4.064414,,0.87,  71             :    26  3d8.(3F).4p            2F*  ,,4
65,3p6.3d8.(3F).4p,y 4D*,7/2,8.0,3.970904,,1.395,  46             :    45  3d7.(4F).4s.4p.(3P*)   4D*  ,,4
66,3p6.3d8.(3F).4p,y 4D*,5/2,6.0,4.048642,,1.366,  51             :    41  3d7.(4F).4s.4p.(3P*)   4D*  ,,4
67,3p6.3d8.(3F).4p,y 4D*,3/2,4.0,4.11016,,1.195,  56             :    37  3d7.(4F).4s.4p.(3P*)   4D*  ,,4
68,3p6.3d8.(3F).4p,y 4D*,1/2,2.0,4.14717,,0.012,  59             :    36  3d7.(4F).4s.4p.(3P*)   4D*  ,,4
69,3p6.3d8.(3F).4p,y 4G*,11/2,12.0,4.020881,,1.287,  94                                                  ,,4
70,3p6.3d8.(3F).4p,y 4G*,9/2,10.0,4.025114,,1.154,  53             :    28  3d8.(3F).4p            2G*  ,,4
71,3p6.3d8.(3F).4p,y 4G*,5/2,6.0,4.175091,,0.704,  52             :    30  3d8.(3F).4p            4F*  ,,4
72,3p6.3d8.(3F).4p,y 4F*,9/2,10.0,4.071888,,1.313,  51             :    22  3d7.(4F).4s.4p.(1P*)   4F*  ,,4
73,3p6.3d8.(3F).4p,y 4F*,3/2,4.0,4.23979,,0.43,  67             :    24  3d7.(4F).4s.4p.(1P*)   4F*  ,,4
75,3p6.3d8.(3F).4p,y 2G*,9/2,10.0,4.145997,,1.165,  56             :    27  3d7.(4F).4s.4p.(3P*)   2G*  ,,4
76,3p6.3d8.(3F).4p,y 2G*,7/2,8.0,4.232026,,0.917,  50             :    21  3d7.(4F).4s.4p.(3P*)   2G*  ,,4
77,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,5/2,6.0,4.148862,,1.186,  53             :    42  3d8.(3F).4p            2D*  ,,4
78,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,3/2,4.0,4.259157,,0.787,  53             :    37  3d8.(3F).4p            2D*  ,,4
79,3p6.3d8.(3F).4p,*,7/2,8.0,4.149363,,1.155,  33  4G*        :    25  3d8.(3F).4p            4F*  ,,4
80,3p6.3d8.(3F).4p,*,5/2,6.0,4.208755,,0.9,  42  4G*        :    38  3d8.(3F).4p            4F*  ,,4
81,3p6.3d8.(3F).4p,y 2F*,7/2,8.0,4.395309,,1.145,  61             :    25  3d7.(4F).4s.4p.(3P*)   2F*  ,,4
82,3p6.3d8.(3F).4p,y 2F*,5/2,6.0,4.504329,,0.892,  53             :    18  3d8.(3F).4p            2D*  ,,4
83,3p6.3d8.(3F).4p,y 2D*,5/2,6.0,4.474892,,1.186,  35             :    36  3d7.(4F).4s.4p.(3P*)   2D*  ,,4
84,3p6.3d8.(3F).4p,y 2D*,3/2,4.0,4.571933,,0.794,  53             :    40  3d7.(4F).4s.4p.(3P*)   2D*  ,,4
85,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,7/2,8.0,4.915869,,1.428,  65             :    18  3d8.(3P).4p            4D*  ,,4
86,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,5/2,6.0,5.00226,,1.37,  63             :    21  3d8.(3P).4p            4D*  ,,4
87,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,3/2,4.0,5.061998,,1.24,  62             :    23  3d8.(3P).4p            4D*  ,,4
88,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,1/2,2.0,5.095974,,0.026,  62             :    24  3d8.(3P).4p            4D*  ,,4
89,3p6.3d7.(4P).4s.4p.(3P*),z 4S*,3/2,4.0,5.036439,,2.017,  74             :    10  3d8.(3P).4p            4S*  ,,4
90,3p6.3d7.(4P).4s.4p.(3P*),6P*,7/2,8.0,5.088489,,1.4,  97                                                  ,,4
91,3p6.3d7.(4P).4s.4p.(3P*),6P*,5/2,6.0,5.096366,,1.863,  93                                                  ,,4
92,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,9/2,10.0,5.111343,,1.319,  66             :    19  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
93,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,7/2,8.0,5.19722,,1.248,  63             :    23  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
94,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,5/2,6.0,5.261174,,1.024,  59             :    24  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
95,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,3/2,4.0,5.306111,,0.406,  61             :    27  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
96,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,11/2,12.0,5.148882,,1.291,  95                                                  ,,4
97,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,9/2,10.0,5.240728,,1.169,  93                                                  ,,4
98,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,7/2,8.0,5.307942,,1.004,  92                                                  ,,4
99,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,5/2,6.0,5.356074,,0.649,  93                                                  ,,4
100,3p6.3d8.(3P).4p,z 4P*,5/2,6.0,5.203479,,1.627,  65             :    12  3d7.(4P).4s.4p.(3P*)   4P*  ,,4
101,3p6.3d8.(3P).4p,z 4P*,1/2,2.0,5.203604,,2.51,  66             :    14  3d7.(2P).4s.4p.(3P*)   4P*  ,,4
102,3p6.3d8.(3P).4p,z 4P*,3/2,4.0,5.205186,,1.732,  64             :    12  3d7.(4P).4s.4p.(3P*)   4P*  ,,4
103,3p6.3d7.(2G).4s.4p.(3P*),4H*,7/2,8.0,5.329848,,,  95                                                  ,,4
104,3p6.3d8.(1D).4p,z 2P*,1/2,2.0,5.347468,,0.727,  42             :    25  3d8.(3P).4p            2P*  ,,4
105,3p6.3d7.(4P).4s.4p.(3P*),w 4D*,5/2,6.0,5.361442,,1.101,  46             :    28  3d8.(1D).4p            2F*  ,,4
106,3p6.3d7.(4P).4s.4p.(3P*),w 4D*,3/2,4.0,5.363999,,1.191,  58             :     9  3d8.(1D).4p            2D*  ,,4
107,3p6.3d7.(4P).4s.4p.(3P*),w 4D*,7/2,8.0,5.380743,,1.334,  88             :     3  3d8.(1D).4p            2F*  ,,4
108,3p6.3d7.(4P).4s.4p.(3P*),w 4D*,1/2,2.0,5.385326,,0.169,  75             :     9  3d7.(2P).4s.4p.(3P*)   4D*  ,,4
109,3p6.3d7.(2G).4s.4p.(3P*),w 4F*,9/2,10.0,5.367936,,1.295,  71             :    15  3d7.(4F).4s.4p.(1P*)   4F*  ,,4
