,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
110,3p6.3d7.(2G).4s.4p.(3P*),w 4F*,3/2,4.0,5.524204,,0.415,  68             :    18  3d7.(4F).4s.4p.(1P*)   4F*  ,,4
111,3p6.3d8.(1D).4p,*,5/2,6.0,5.384102,,1.119,  37  2F*        :    36  3d7.(4P).4s.4p.(3P*)   4D*  ,,4
112,3p6.3d8.(1D).4p,*,3/2,4.0,5.397988,,1.12,  31  2P*        :    23  3d8.(1D).4p            2D*  ,,4
113,3p6.3d8.(1D).4p,x 2F*,7/2,8.0,5.400159,,1.229,  45             :    20  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
115,3p6.3d8.(1D).4p,x 2D*,3/2,4.0,5.444315,,1.127,  40             :    33  3d8.(1D).4p            2P*  ,,4
116,3p6.3d8.(1D).4p,x 2D*,5/2,6.0,5.44562,,1.23,  52             :    20  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
117,3p6.3d7.(2G).4s.4p.(3P*),w 4G*,11/2,12.0,5.449361,,1.279,  93                                                  ,,4
118,3p6.3d7.(2G).4s.4p.(3P*),w 4G*,9/2,10.0,5.478036,,1.163,  85             :     5  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
119,3p6.3d7.(2G).4s.4p.(3P*),w 4G*,7/2,8.0,5.504213,,1.004,  77             :    11  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
120,3p6.3d7.(2G).4s.4p.(3P*),w 4G*,5/2,6.0,5.525786,,0.676,  69             :    19  3d7.(2G).4s.4p.(3P*)   4F*  ,,4
122,3p6.3d7.(4P).4s.4p.(3P*),z 2S*,1/2,2.0,5.511657,,2.1,  61             :    21  3d8.(3P).4p            2S*  ,,4
123,3p6.3d7.(4P).4s.4p.(1P*),y 4P*,5/2,6.0,5.514835,,1.557,  42             :    33  3d7.(2P).4s.4p.(3P*)   4P*  ,,4
124,3p6.3d7.(4P).4s.4p.(1P*),y 4P*,3/2,4.0,5.53689,,1.674,  40             :    37  3d7.(4P).4s.4p.(3P*)   4P*  ,,4
125,3p6.3d8.(3F).5s,e 4F,9/2,10.0,5.552276,,1.33,                                                      ,,5
126,3p6.3d8.(3F).5s,e 4F,7/2,8.0,5.59238,,1.21,                                                      ,,5
127,3p6.3d8.(3F).5s,e 4F,5/2,6.0,5.687971,,1.01,                                                      ,,5
128,3p6.3d8.(3F).5s,e 4F,3/2,4.0,5.749788,,0.44,                                                      ,,5
129,3p6.3d7.(2P).4s.4p.(3P*),4P*,1/2,2.0,5.56163,,2.371,  44             :    40  3d7.(4P).4s.4p.(1P*)   4P*  ,,4
130,3p6.3d7.(2G).4s.4p.(3P*),z 2H*,9/2,10.0,5.593111,,0.897,  87                                                  ,,4
131,3p6.3d7.(2G).4s.4p.(3P*),z 2H*,11/2,12.0,5.646275,,1.097,  90                                                  ,,4
132,3p6.3d7.4s.(5F).5s,e 6F,11/2,12.0,5.663102,,1.475,                                                      ,,5
133,3p6.3d7.4s.(5F).5s,e 6F,9/2,10.0,5.730923,,1.443,                                                      ,,5
134,3p6.3d7.4s.(5F).5s,e 6F,7/2,8.0,5.790909,,1.396,                                                      ,,5
135,3p6.3d7.4s.(5F).5s,e 6F,5/2,6.0,5.838496,,1.301,                                                      ,,5
136,3p6.3d7.4s.(5F).5s,e 6F,3/2,4.0,5.872478,,1.054,                                                      ,,5
137,3p6.3d7.4s.(5F).5s,e 6F,1/2,2.0,5.892776,,-0.666,                                                      ,,5
138,3p6.3d8.(3P).4p,2D*,5/2,6.0,5.664609,,1.219,  70             :     8  3d7.(4P).4s.4p.(3P*)   2D*  ,,4
139,3p6.3d8.(3P).4p,2D*,3/2,4.0,5.726385,,1.218,  72             :     7  3d8.(1D).4p            2D*  ,,4
140,3p6.3d7.(2G).4s.4p.(3P*),x 2G*,7/2,8.0,5.674339,,0.898,  79             :    10  3d7.(2H).4s.4p.(3P*)   2G*  ,,4
141,3p6.3d7.(2G).4s.4p.(3P*),x 2G*,9/2,10.0,5.707253,,1.131,  80             :    10  3d7.(2H).4s.4p.(3P*)   2G*  ,,4
142,3p6.3d8.(3P).4p,4S*,3/2,4.0,5.691455,,1.674,  32             :    25  3d7.(4P).4s.4p.(3P*)   4S*  ,,4
143,3p6.3d8.(3F).5s,e 2F,7/2,8.0,5.693972,,1.14,                                                      ,,5
144,3p6.3d8.(3F).5s,e 2F,5/2,6.0,5.795765,,0.49,                                                      ,,5
145,3p6.3d7.(4P).4s.4p.(3P*),x 4P*,1/2,2.0,5.697978,,2.522,  44             :    22  3d8.(3P).4p            4P*  ,,4
146,3p6.3d7.(4P).4s.4p.(3P*),x 4P*,5/2,6.0,5.703624,,1.543,  30             :    24  3d7.(2P).4s.4p.(3P*)   4P*  ,,4
147,3p6.3d7.(4P).4s.4p.(3P*),x 4P*,3/2,4.0,5.735511,,1.508,  30             :    18  3d8.(3P).4p            4P*  ,,4
148,3p6.3d8.(3P).4p,4D*,7/2,8.0,5.699701,,1.424,  44             :    22  3d7.(2P).4s.4p.(3P*)   4D*  ,,4
149,3p6.3d8.(3P).4p,4D*,5/2,6.0,5.744142,,1.365,  28             :    25  3d7.(2P).4s.4p.(3P*)   4D*  ,,4
150,3p6.3d8.(3P).4p,4D*,1/2,2.0,5.765532,,0.161,  27             :    21  3d7.(a 2D).4s.4p.(3P*) 4D*  ,,4
151,3p6.3d7.(4P).4s.4p.(3P*),2D*,3/2,4.0,5.75968,,0.869,  61             :    14  3d7.(2P).4s.4p.(3P*)   2D*  ,,4
152,3p6.3d7.(4P).4s.4p.(3P*),2D*,5/2,6.0,5.786583,,1.233,  45             :    20  3d7.(2G).4s.4p.(3P*)   2F*  ,,4
153,3p6.3d8.(3P).4p,*,3/2,4.0,5.77306,,1.273,  16  2P*        :    14  3d8.(3P).4p            4D*  ,,4
154,3p6.3d8.(3P).4p,*,3/2,4.0,5.788256,,1.352,  27  2P*        :    12  3d8.(1D).4p            2P*  ,,4
155,3p6.3d7.(2P).4s.4p.(3P*),*,7/2,8.0,5.811479,,1.332,  26  4D*        :    23  3d7.(a 2D).4s.4p.(3P*) 4D*  ,,4
156,3p6.3d8.(3P).4p,y 2P*,1/2,2.0,5.838557,,0.656,  46             :    30  3d8.(1D).4p            2P*  ,,4
157,3p6.3d7.(2G).4s.4p.(3P*),*,5/2,6.0,5.843246,,0.858,  33  2F*        :    22  3d7.(4P).4s.4p.(3P*)   2D*  ,,4
158,3p6.3d7.(2G).4s.4p.(3P*),*,7/2,8.0,5.855167,,1.229,  36  2F*        :    31  3d7.(2P).4s.4p.(3P*)   4D*  ,,4
159,3p6.3d7.(2P).4s.4p.(3P*),u 4D*,5/2,6.0,5.876098,,1.324,  45             :    13  3d7.(4P).4s.4p.(3P*)   2D*  ,,4
160,3p6.3d7.(2P).4s.4p.(3P*),u 4D*,3/2,4.0,5.903158,,1.122,  47             :    18  3d8.(3P).4p            4D*  ,,4
161,3p6.3d7.4s.(5F).5s,f 4F,9/2,10.0,5.892283,,1.328,                                                      ,,5
162,3p6.3d7.4s.(5F).5s,f 4F,7/2,8.0,5.976237,,1.226,                                                      ,,5
163,3p6.3d7.4s.(5F).5s,f 4F,5/2,6.0,6.040333,,1.041,                                                      ,,5
164,3p6.3d7.4s.(5F).5s,f 4F,3/2,4.0,6.08495,,0.401,                                                      ,,5
165,3p6.3d7.(2P).4s.4p.(3P*),*,1/2,2.0,5.939495,,0.016,  37  4D*        :    21  3d8.(3P).4p            2S*  ,,4
166,3p6.3d8.(3P).4p,*,1/2,2.0,5.954507,,1.699,  35  2S*        :    26  3d7.(2P).4s.4p.(3P*)   4D*  ,,4
167,3p6.3d7.(a 2D).4s.4p.(3P*),t 4D*,7/2,8.0,5.978186,,1.211,  51             :    18  3d8.(3P).4p            4D*  ,,1
168,3p6.3d7.(a 2D).4s.4p.(3P*),t 4D*,5/2,6.0,6.006261,,1.34,  52             :    19  3d8.(3P).4p            4D*  ,,1
169,3p6.3d7.(a 2D).4s.4p.(3P*),t 4D*,1/2,2.0,6.022132,,0.452,  52             :    16  3d8.(3P).4p            4D*  ,,1
170,3p6.3d7.(2H).4s.4p.(3P*),4G*,7/2,8.0,5.990566,,1.173,  84             :     4  3d7.(2G).4s.4p.(3P*)   2F*  ,,4
171,3p6.3d7.(2H).4s.4p.(3P*),4G*,5/2,6.0,6.027561,,0.619,  81             :     7  3d7.(2G).4s.4p.(3P*)   2F*  ,,4
172,3p6.3d7.(4P).4s.4p.(3P*),2P*,3/2,4.0,5.992698,,1.436,  40             :    15  3d7.(2P).4s.4p.(3P*)   4S*  ,,4
173,3p6.3d7.(4P).4s.4p.(3P*),2P*,1/2,2.0,6.055106,,1.5,  60             :    12  3d7.(2P).4s.4p.(3P*)   2S*  ,,4
174,3p6.3d7.(a 2D).4s.4p.(3P*),*,3/2,4.0,6.018946,,1.05,  21  4D*        :    22  3d7.(2P).4s.4p.(3P*)   4S*  ,,1
175,3p6.3d7.(2P).4s.4p.(3P*),x 4S*,3/2,4.0,6.044691,,1.728,  48             :    26  3d7.(a 2D).4s.4p.(3P*) 4D*  ,,4
176,3p6.3d7.(a 2D).4s.4p.(3P*),*,5/2,6.0,6.054008,,,  34  4P*        :    32  3d7.(2P).4s.4p.(3P*)   2D*  ,,1
177,3p6.3d7.(2P).4s.4p.(3P*),*,3/2,4.0,6.078377,,1.099,  39  2D*        :    34  3d7.(4P).4s.4p.(3P*)   2P*  ,,4
178,3p6.3d7.(a 2D).4s.4p.(3P*),4F*,9/2,10.0,6.099742,,,  98                                                  ,,1
179,3p6.3d7.(a 2D).4s.4p.(3P*),4F*,7/2,8.0,6.13524,,1.26,  75             :     6  3d7.(2P).4s.4p.(3P*)   4D*  ,,1
180,3p6.3d7.(a 2D).4s.4p.(3P*),4F*,5/2,6.0,6.18025,,1.079,  43             :    24  3d7.(2P).4s.4p.(3P*)   2D*  ,,1
181,3p6.3d7.(a 2D).4s.4p.(3P*),4F*,3/2,4.0,6.212234,,0.569,  50             :    15  3d7.(2P).4s.4p.(3P*)   2D*  ,,1
182,3p6.3d8.(1G).4p,y 2H*,9/2,10.0,6.225346,,0.899,  81             :     9  3d7.(2H).4s.4p.(3P*)   2H*  ,,4
183,3p6.3d8.(1G).4p,y 2H*,11/2,12.0,6.245817,,1.091,  69             :    17  3d7.(2H).4s.4p.(3P*)   2H*  ,,4
184,3p6.3d8.(1G).4p,u 2F*,7/2,8.0,6.270963,,1.125,  60             :    12  3d7.(a 2D).4s.4p.(3P*) 2F*  ,,4
185,3p6.3d8.(1G).4p,u 2F*,5/2,6.0,6.287542,,0.905,  57             :    17  3d7.(a 2D).4s.4p.(3P*) 2F*  ,,4
186,3p6.3d8.(1G).4p,w 2G*,9/2,10.0,6.27278,,1.1,  40             :    38  3d7.(2H).4s.4p.(3P*)   2G*  ,,4
187,3p6.3d8.(1G).4p,w 2G*,7/2,8.0,6.274992,,0.82,  38             :    37  3d7.(2H).4s.4p.(3P*)   2G*  ,,4
188,3p6.3d7.(2H).4s.4p.(3P*),4H*,11/2,12.0,6.286381,,1.11,  86             :    11  3d8.(1G).4p            2H*  ,,4
189,3p6.3d7.(2H).4s.4p.(3P*),4H*,9/2,10.0,6.311119,,0.941,  86             :     5  3d8.(1G).4p            2G*  ,,4
190,3p6.3d7.(2H).4s.4p.(3P*),4H*,7/2,8.0,6.346085,,,  89             :     5  3d8.(1G).4p            2G*  ,,4
191,3p6.3d7.(2P).4s.4p.(3P*),v 2P*,3/2,4.0,6.313909,,1.34,  53             :    15  3d7.(a 2D).4s.4p.(3P*) 4D*  ,,4
192,3p6.3d7.(2P).4s.4p.(3P*),v 2P*,1/2,2.0,6.316433,,0.732,  71             :    13  3d7.(a 2D).4s.4p.(3P*) 4D*  ,,4
193,3p6.3d8.(3F).4d,e 4P,5/2,6.0,6.328434,,1.59,                                                      ,,4
194,3p6.3d8.(3F).4d,e 4P,3/2,4.0,6.451302,,1.4,                                                      ,,4
195,3p6.3d8.(3F).4d,e 4P,1/2,2.0,6.560738,,,                                                      ,,4
196,3p6.3d8.(3F).4d,e 4D,7/2,8.0,6.329763,,1.402,                                                      ,,4
197,3p6.3d8.(3F).4d,e 4D,5/2,6.0,6.392719,,1.354,                                                      ,,4
198,3p6.3d8.(3F).4d,e 4D,3/2,4.0,6.479971,,,                                                      ,,4
199,3p6.3d8.(3F).4d,e 4D,1/2,2.0,6.525861,,1.58,                                                      ,,4
200,3p6.3d8.(3F).4d,e 4H,13/2,14.0,6.340866,,1.224,                                                      ,,4
201,3p6.3d8.(3F).4d,e 4H,11/2,12.0,6.344802,,1.147,                                                      ,,4
202,3p6.3d8.(3F).4d,e 4H,9/2,10.0,6.462206,,0.96,                                                      ,,4
203,3p6.3d8.(3F).4d,e 4H,7/2,8.0,6.536038,,0.896,                                                      ,,4
204,3p6.3d7.(a 2D).4s.4p.(3P*),w 4P*,5/2,6.0,6.343035,,1.578,  73             :    13  3d7.(2P).4s.4p.(3P*)   4P*  ,,1
205,3p6.3d7.(a 2D).4s.4p.(3P*),w 4P*,3/2,4.0,6.44897,,1.616,  57             :    17  3d7.(2P).4s.4p.(3P*)   2P*  ,,1
206,3p6.3d7.(a 2D).4s.4p.(3P*),w 4P*,1/2,2.0,6.491208,,2.304,  66             :    12  3d7.(2P).4s.4p.(3P*)   4P*  ,,1
207,3p6.3d8.(3F).4d,g 4F,9/2,10.0,6.344289,,1.337,                                                      ,,4
