,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,2s2.2p2,3P,0,1.0,0.0,,L7288,2
1,2s2.2p2,3P,1,3.0,0.00604,,,2
2,2s2.2p2,3P,2,5.0,0.01622,,,2
3,2s2.2p2,1D,2,5.0,1.89897,,,2
4,2s2.2p2,1S,0,1.0,4.05289,,,2
5,2s.2p3,5S*,2,5.0,5.80055,,,2
6,2s.2p3,3D*,3,7.0,11.43596,,,2
7,2s.2p3,3D*,2,5.0,11.43758,,,2
8,2s.2p3,3D*,1,3.0,11.43777,,,2
9,2s.2p3,3P*,1,3.0,13.54113,,,2
10,2s.2p3,3P*,2,5.0,13.54126,,,2
11,2s.2p3,3P*,0,1.0,13.54199,,,2
12,2s.2p3,1D*,2,5.0,17.877026,,,2
13,2s2.2p.3s,3P*,0,1.0,18.462312,,,3
14,2s2.2p.3s,3P*,1,3.0,18.466228,,,3
15,2s2.2p.3s,3P*,2,5.0,18.483133,,,3
16,2s2.2p.3s,1P*,1,3.0,18.49693,,,3
17,2s.2p3,3S*,1,3.0,19.233263,,,2
18,2s2.2p.3p,1P,1,3.0,20.409133,,,3
19,2s2.2p.3p,3D,1,3.0,20.646058,,,3
20,2s2.2p.3p,3D,2,5.0,20.653592,,,3
21,2s2.2p.3p,3D,3,7.0,20.665518,,,3
22,2s.2p3,1P*,1,3.0,20.676307,,,2
23,2s2.2p.3p,3S,1,3.0,20.939965,,,3
24,2s2.2p.3p,3P,0,1.0,21.148308,,,3
25,2s2.2p.3p,3P,1,3.0,21.152682,,,3
26,2s2.2p.3p,3P,2,5.0,21.159916,,,3
27,2s2.2p.3p,1D,2,5.0,21.599539,,,3
28,2s2.2p.3p,1S,0,1.0,22.103082,,,3
29,2s2.2p.3d,3F*,2,5.0,23.124489,,,3
30,2s2.2p.3d,3F*,3,7.0,23.131853,,,3
31,2s2.2p.3d,3F*,4,9.0,23.141959,,,3
32,2s2.2p.3d,1D*,2,5.0,23.196374,,,3
33,2s2.2p.3d,3D*,1,3.0,23.239296,,,3
34,2s2.2p.3d,3D*,2,5.0,23.242271,,,3
35,2s2.2p.3d,3D*,3,7.0,23.246033,,,3
36,2s2.2p.3d,3P*,2,5.0,23.41533,,,3
37,2s2.2p.3d,3P*,1,3.0,23.421752,,,3
38,2s2.2p.3d,3P*,0,1.0,23.425232,,,3
39,2s2.2p.3d,1F*,3,7.0,23.474568,,,3
40,2s2.2p.3d,1P*,1,3.0,23.571906,,,3
41,2s2.2p.4s,3P*,0,1.0,24.367883,,,4
42,2s2.2p.4s,3P*,1,3.0,24.37431,,,4
43,2s2.2p.4s,3P*,2,5.0,24.389123,,,4
44,2s2.2p.4s,1P*,1,3.0,24.531351,,,4
45,2s2.2p.4p,1P,1,3.0,25.065964,,,4
46,2s2.2p.4p,3D,1,3.0,25.133348,,,4
47,2s2.2p.4p,3D,2,5.0,25.139688,,,4
48,2s2.2p.4p,3D,3,7.0,25.151603,,,4
49,2s2.2p.4p,3P,0,1.0,25.188937,,,4
50,2s2.2p.4p,3P,1,3.0,25.192229,,,4
51,2s2.2p.4p,3P,2,5.0,25.200902,,,4
52,2s2.2p.4p,3S,1,3.0,25.235454,,,4
53,2s2.2p.4p,1D,2,5.0,25.460177,,,4
54,2s.2p2.(4P).3s,5P,1,3.0,25.4909,,,3
55,2s.2p2.(4P).3s,5P,2,5.0,25.497874,,,3
56,2s.2p2.(4P).3s,5P,3,7.0,25.506626,,,3
57,2s2.2p.4p,1S,0,1.0,25.6536,,,4
58,2s2.2p.4d,3F*,2,5.0,25.996219,,,4
59,2s2.2p.4d,3F*,3,7.0,26.004194,,,4
60,2s2.2p.4d,3F*,4,9.0,26.014849,,,4
61,2s2.2p.4d,1D*,2,5.0,26.027477,,,4
62,2s2.2p.4d,3D*,1,3.0,26.066417,,,4
63,2s2.2p.4d,3D*,2,5.0,26.069666,,,4
64,2s2.2p.4d,3D*,3,7.0,26.074085,,,4
65,2s2.2p.4d,3P*,2,5.0,26.124123,,,4
66,2s2.2p.4d,3P*,1,3.0,26.129847,,,4
