,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3s2.3p,2P*,1/2,2.0,0.0,,  94         :     3  3p3            2P*  ,L5815,3
1,3s2.3p,2P*,3/2,4.0,0.035613,,  94         :     3  3p3            2P*  ,,3
2,3s.3p2,4P,1/2,2.0,5.309535,,                                          ,,3
3,3s.3p2,4P,3/2,4.0,5.322966,,                                          ,,3
4,3s.3p2,4P,5/2,6.0,5.3447,,                                          ,,3
5,3s.3p2,2D,3/2,4.0,6.857485,,  66         :    30  3s2.3d         2D   ,,3
6,3s.3p2,2D,5/2,6.0,6.859448,,  66         :    30  3s2.3d         2D   ,,3
7,3s2.4s,2S,1/2,2.0,8.121023,,  95         :     5  3p2.(1S).4s    2S   ,,4
8,3s.3p2,2S,1/2,2.0,9.505292,,                                          ,,3
9,3s2.3d,2D,3/2,4.0,9.83672,,  68         :    26  3s.3p2         2D   ,,3
10,3s2.3d,2D,5/2,6.0,9.838769,,  68         :    26  3s.3p2         2D   ,,3
11,3s2.4p,2P*,1/2,2.0,10.066443,,  94         :     4  3p2.(1S).4p    2P*  ,,4
12,3s2.4p,2P*,3/2,4.0,10.07388,,  94         :     4  3p2.(1S).4p    2P*  ,,4
13,3s.3p2,2P,1/2,2.0,10.390118,,                                          ,,3
14,3s.3p2,2P,3/2,4.0,10.415201,,                                          ,,3
15,3s2.5s,2S,1/2,2.0,12.146991,,  95         :     5  3p2.(1S).5s    2S   ,,5
16,3s2.4d,2D,3/2,4.0,12.525262,,  92         :     4  3p2.(1S).4d    2D   ,,4
17,3s2.4d,2D,5/2,6.0,12.525423,,  92         :     4  3p2.(1S).4d    2D   ,,4
18,3s2.4f,2F*,7/2,8.0,12.839311,,  95         :     4  3p2.(1S).4f    2F*  ,,4
19,3s2.4f,2F*,5/2,6.0,12.839327,,  95         :     4  3p2.(1S).4f    2F*  ,,4
20,3s2.5p,2P*,1/2,2.0,12.877091,,                                          ,,5
21,3s2.5p,2P*,3/2,4.0,12.880129,,                                          ,,5
22,3s.3p.(3P*).3d,2D*,3/2,4.0,13.48684,,                                          ,,3
23,3s.3p.(3P*).3d,2D*,5/2,6.0,13.49203,,                                          ,,3
24,3s2.6s,2S,1/2,2.0,13.785116,,                                          ,,6
25,3s2.5d,2D,3/2,4.0,13.935149,,                                          ,,5
26,3s2.5d,2D,5/2,6.0,13.935169,,                                          ,,5
27,3s2.5f,2F*,7/2,8.0,14.104461,,                                          ,,5
28,3s2.5f,2F*,5/2,6.0,14.104482,,                                          ,,5
29,3s2.6p,2P*,1/2,2.0,14.129497,,                                          ,,6
30,3s2.6p,2P*,3/2,4.0,14.131312,,                                          ,,6
31,3s2.5g,2G,7/2,8.0,14.15616,,                                          ,,5
32,3s2.5g,2G,9/2,10.0,14.15616,,                                          ,,5
33,3s.3p.(3P*).3d,4F*,3/2,4.0,14.167134,,                                          ,,3
