,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
34,3s.3p.(3P*).3d,4F*,5/2,6.0,14.17476,,                                          ,,3
35,3s.3p.(3P*).3d,4F*,7/2,8.0,14.1856,,                                          ,,3
36,3s.3p.(3P*).3d,4F*,9/2,10.0,14.199804,,                                          ,,3
37,3s.3p.(3P*).4s,4P*,1/2,2.0,14.489089,,                                          ,,4
38,3s.3p.(3P*).4s,4P*,3/2,4.0,14.503471,,                                          ,,4
39,3s.3p.(3P*).4s,4P*,5/2,6.0,14.528228,,                                          ,,4
40,3s2.7s,2S,1/2,2.0,14.619572,,                                          ,,7
41,3s2.6d,2D,3/2,4.0,14.694962,,                                          ,,6
42,3s2.6d,2D,5/2,6.0,14.69497,,                                          ,,6
43,3s2.7p,2P*,1/2,2.0,14.784523,,                                          ,,7
44,3s2.7p,2P*,3/2,4.0,14.788068,,                                          ,,7
45,3s2.6f,2F*,7/2,8.0,14.792702,,                                          ,,6
46,3s2.6f,2F*,5/2,6.0,14.792721,,                                          ,,6
47,3s2.6g,2G,9/2,10.0,14.825811,,                                          ,,6
48,3s2.6g,2G,7/2,8.0,14.825811,,                                          ,,6
49,3s.3p.(3P*).4s,2P*,1/2,2.0,15.057152,,                                          ,,4
50,3s.3p.(3P*).4s,2P*,3/2,4.0,15.075262,,                                          ,,4
51,3s2.8s,2S,1/2,2.0,15.103058,,                                          ,,8
52,3s2.7d,2D,3/2,4.0,15.146341,,                                          ,,7
53,3s2.7d,2D,5/2,6.0,15.146349,,                                          ,,7
54,3s2.7f,2F*,7/2,8.0,15.207313,,                                          ,,7
55,3s2.7f,2F*,5/2,6.0,15.207328,,                                          ,,7
56,3s2.7g,2G,7/2,8.0,15.229615,,                                          ,,7
57,3s2.7g,2G,9/2,10.0,15.229615,,                                          ,,7
58,3p3,4S*,3/2,4.0,15.25421,,                                          ,,3
59,3s2.8p,2P*,1/2,2.0,15.262161,,                                          ,,8
60,3s2.8p,2P*,3/2,4.0,15.267249,,                                          ,,8
61,3s2.9s,2S,1/2,2.0,15.40835,,                                          ,,9
62,3s.3p.(3P*).3d,4D*,5/2,6.0,15.41333,,                                          ,,3
63,3s.3p.(3P*).3d,4D*,3/2,4.0,15.41437,,                                          ,,3
64,3s.3p.(3P*).3d,4D*,1/2,2.0,15.41586,,                                          ,,3
65,3s.3p.(3P*).3d,4D*,7/2,8.0,15.42977,,                                          ,,3
66,3s2.8d,2D,3/2,4.0,15.4355,,                                          ,,8
67,3s2.8d,2D,5/2,6.0,15.4355,,                                          ,,8
68,3s.3p.(3P*).3d,4P*,5/2,6.0,15.44439,,                                          ,,3
69,3s.3p.(3P*).3d,4P*,3/2,4.0,15.45037,,                                          ,,3
70,3s.3p.(3P*).3d,4P*,1/2,2.0,15.45325,,                                          ,,3
71,3s2.8f,2F*,7/2,8.0,15.475966,,                                          ,,8
72,3s2.8f,2F*,5/2,6.0,15.475973,,                                          ,,8
73,3s2.8g,2G,9/2,10.0,15.491627,,                                          ,,8
74,3s2.8g,2G,7/2,8.0,15.491627,,                                          ,,8
75,3s2.9p,2P*,1/2,2.0,15.50111,,                                          ,,9
76,3s2.9p,2P*,3/2,4.0,15.5022,,                                          ,,9
77,3s.3p.(3P*).3d,2P*,3/2,4.0,15.65132,,                                          ,,3
78,3s.3p.(3P*).3d,2P*,1/2,2.0,15.6566,,                                          ,,3
79,3s2.9f,2F*,5/2,6.0,15.659802,,                                          ,,9
80,3s2.9f,2F*,7/2,8.0,15.659802,,                                          ,,9
81,3s2.9g,2G,7/2,8.0,15.671165,,                                          ,,9
82,3s2.9g,2G,9/2,10.0,15.671165,,                                          ,,9
83,3s2.10p,2P*,3/2,4.0,15.6872,,                                          ,,10
84,3s2.10p,2P*,1/2,2.0,15.68963,,                                          ,,10
85,3s2.10f,2F*,5/2,6.0,15.791061,,                                          ,,10
86,3s2.10f,2F*,7/2,8.0,15.791061,,                                          ,,10
87,3s2.10g,2G,9/2,10.0,15.799557,,                                          ,,10
88,3s2.10g,2G,7/2,8.0,15.799557,,                                          ,,10
89,3s2.11f,2F*,5/2,6.0,15.887999,,                                          ,,11
90,3s2.11f,2F*,7/2,8.0,15.887999,,                                          ,,11
91,3s2.11g,2G,7/2,8.0,15.89451,,                                          ,,11
92,3s2.11g,2G,9/2,10.0,15.89451,,                                          ,,11
93,3s.3p.(3P*).3d,2F*,5/2,6.0,16.32588,,                                          ,,3
94,3s.3p.(3P*).3d,2F*,7/2,8.0,16.35585,,                                          ,,3
95,3s.3p.(3P*).4p,4D,1/2,2.0,16.33925,,                                          ,,4
96,3s.3p.(3P*).4p,4D,3/2,4.0,16.348796,,                                          ,,4
97,3s.3p.(3P*).4p,4D,5/2,6.0,16.364433,,                                          ,,4
98,3s.3p.(3P*).4p,4D,7/2,8.0,16.386036,,                                          ,,4
99,3s.3p.(3P*).4p,2P,1/2,2.0,16.43933,,                                          ,,4
100,3s.3p.(3P*).4p,2P,3/2,4.0,16.44975,,                                          ,,4
101,3s.3p.(3P*).4p,4P,1/2,2.0,16.615978,,                                          ,,4
102,3s.3p.(3P*).4p,4P,3/2,4.0,16.623677,,                                          ,,4
103,3s.3p.(3P*).4p,4P,5/2,6.0,16.640369,,                                          ,,4
104,3s.3p.(3P*).4p,4S,3/2,4.0,16.726123,,                                          ,,4
105,3p3,2D*,5/2,6.0,16.77473,,                                          ,,3
106,3p3,2D*,3/2,4.0,16.7755,,                                          ,,3
107,3s.3p.(3P*).4p,2D,3/2,4.0,16.96,0.12,                                          ,,4
108,3s.3p.(3P*).4p,2D,5/2,6.0,16.96,0.12,                                          ,,4
109,3p3,2P*,3/2,4.0,17.85157,,                                          ,,3
110,3p3,2P*,1/2,2.0,17.85422,,                                          ,,3
111,3s.3p.(3P*).4d,2D*,3/2,4.0,18.58166,,                                          ,,4
112,3s.3p.(3P*).4d,2D*,5/2,6.0,18.5887,,                                          ,,4
113,3s.3p.(3P*).5s,4P*,1/2,2.0,18.63753,,                                          ,,5
114,3s.3p.(3P*).5s,4P*,3/2,4.0,18.65249,,                                          ,,5
115,3s.3p.(3P*).5s,4P*,5/2,6.0,18.67915,,                                          ,,5
116,3s.3p.(3P*).4d,4F*,3/2,4.0,18.73122,,                                          ,,4
117,3s.3p.(3P*).4d,4F*,5/2,6.0,18.73923,,                                          ,,4
118,3s.3p.(3P*).4d,4F*,7/2,8.0,18.75136,,                                          ,,4
119,3s.3p.(3P*).4d,4F*,9/2,10.0,18.76846,,                                          ,,4
120,3s.3p.(3P*).4d,4D*,1/2,2.0,18.89744,,                                          ,,4
121,3s.3p.(3P*).4d,4D*,3/2,4.0,18.89911,,                                          ,,4
122,3s.3p.(3P*).4d,4D*,5/2,6.0,18.90273,,                                          ,,4
123,3s.3p.(3P*).4d,4D*,7/2,8.0,18.91199,,                                          ,,4
124,3s.3p.(3P*).4d,4P*,5/2,6.0,18.98119,,                                          ,,4
125,3s.3p.(3P*).4d,4P*,3/2,4.0,18.99243,,                                          ,,4
126,3s.3p.(3P*).4d,4P*,1/2,2.0,18.99851,,                                          ,,4
127,3s.3p.(3P*).4f F,2[2],5/2,6.0,19.28843,,  80     or  :    92  3s.3p.(3P*).4f 2F   ,,4
128,3s.3p.(3P*).4f F,2[2],3/2,4.0,19.29481,, 100     or  :   100  3s.3p.(3P*).4f 4F   ,,4
129,3s.3p.(3P*).4f F,2[3],7/2,8.0,19.29317,,  92     or  :    50  3s.3p.(3P*).4f 4F   ,,4
130,3s.3p.(3P*).4f F,2[3],5/2,6.0,19.29609,,  79     or  :    92  3s.3p.(3P*).4f 4F   ,,4
131,3s.3p.(3P*).4f F,2[4],7/2,8.0,19.30011,,  93     or  :    51  3s.3p.(3P*).4f 2F   ,,4
132,3s.3p.(3P*).4f F,2[4],9/2,10.0,19.30372,,  99     or  :    99  3s.3p.(3P*).4f 4F   ,,4
133,3s.3p.(3P*).4f G,2[3],5/2,6.0,19.42536,,  99     or  :    99  3s.3p.(3P*).4f 4G   ,,4
134,3s.3p.(3P*).4f G,2[3],7/2,8.0,19.42622,,  89     or  :    72  3s.3p.(3P*).4f 4G   ,,4
135,3s.3p.(3P*).4f G,2[4],7/2,8.0,19.44209,,  89     or  :    73  3s.3p.(3P*).4f 2G   ,,4
136,3s.3p.(3P*).4f G,2[4],9/2,10.0,19.44209,,  95     or  :    88  3s.3p.(3P*).4f 4G   ,,4
137,3s.3p.(3P*).4f G,2[5],11/2,12.0,19.46,, 100     or  :   100  3s.3p.(3P*).4f 4G   ,,4
138,3s.3p.(3P*).4f G,2[5],9/2,10.0,19.46096,,  96     or  :    89  3s.3p.(3P*).4f 2G   ,,4
139,3s.3p.(3P*).4f D,2[3],5/2,6.0,19.48926,,  99     or  :    75  3s.3p.(3P*).4f 2D   ,,4
140,3s.3p.(3P*).4f D,2[3],7/2,8.0,19.50404,,  99     or  :    99  3s.3p.(3P*).4f 4D   ,,4
141,3s.3p.(3P*).4f D,2[2],5/2,6.0,19.5165,,  99     or  :    75  3s.3p.(3P*).4f 4D   ,,4
142,3s.3p.(3P*).4f D,2[1],3/2,4.0,19.52269,, 100     or  :    56  3s.3p.(3P*).4f 2D   ,,4
143,3s.3p.(3P*).4f D,2[1],1/2,2.0,19.5255,, 100     or  :   100  3s.3p.(3P*).4f 4D   ,,4
144,3s.3p.(3P*).5d,4F*,9/2,10.0,20.32194,,                                          ,,5
145,3s.3p.(3P*).6s,4P*,5/2,6.0,20.34716,,                                          ,,6
146,3s.3p.(3P*).5d,4D*,7/2,8.0,20.43804,,                                          ,,5
147,3s.3p.(3P*).5d,4P*,5/2,6.0,20.45316,,                                          ,,5
148,Limit,NaN,NaN,NaN,16.34585,4e-05,NaN,NaN,NaN
