,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,2s2.2p3,4S*,3/2,4.0,0.0,,L11267,2
1,2s2.2p3,2D*,5/2,6.0,3.324085,,,2
2,2s2.2p3,2D*,3/2,4.0,3.326567,,,2
3,2s2.2p3,2P*,3/2,4.0,5.017394,,,2
4,2s2.2p3,2P*,1/2,2.0,5.017641,,,2
5,2s.2p4,4P,5/2,6.0,14.85792,,,2
6,2s.2p4,4P,3/2,4.0,14.878157,,,2
7,2s.2p4,4P,1/2,2.0,14.888377,,,2
8,2s.2p4,2D,5/2,6.0,20.579946,,,2
9,2s.2p4,2D,3/2,4.0,20.580943,,,2
10,2s2.2p2.(3P).3s,4P,1/2,2.0,22.9662478,,,3
11,2s2.2p2.(3P).3s,4P,3/2,4.0,22.9793029,,,3
12,2s2.2p2.(3P).3s,4P,5/2,6.0,22.9989602,,,3
13,2s2.2p2.(3P).3s,2P,1/2,2.0,23.4191946,,,3
14,2s2.2p2.(3P).3s,2P,3/2,4.0,23.4415082,,,3
15,2s.2p4,2S,1/2,2.0,24.265006,,,2
16,2s2.2p2.(3P).3p,2S*,1/2,2.0,25.2856211,,,3
17,2s2.2p2.(3P).3p,4D*,1/2,2.0,25.6313478,,,3
18,2s2.2p2.(3P).3p,4D*,3/2,4.0,25.6382319,,,3
19,2s2.2p2.(3P).3p,4D*,5/2,6.0,25.6495863,,,3
20,2s2.2p2.(3P).3p,4D*,7/2,8.0,25.6650368,,,3
21,2s2.2p2.(1D).3s,2D,5/2,6.0,25.661218,,,3
22,2s2.2p2.(1D).3s,2D,3/2,4.0,25.661347,,,3
23,2s2.2p2.(3P).3p,4P*,1/2,2.0,25.8316247,,,3
24,2s2.2p2.(3P).3p,4P*,3/2,4.0,25.8373471,,,3
25,2s2.2p2.(3P).3p,4P*,5/2,6.0,25.8487467,,,3
26,2s2.2p2.(3P).3p,2D*,3/2,4.0,26.2254001,,,3
27,2s2.2p2.(3P).3p,2D*,5/2,6.0,26.2490334,,,3
28,2s2.2p2.(3P).3p,4S*,3/2,4.0,26.3047208,,,3
29,2s.2p4,2P,3/2,4.0,26.358274,,,2
30,2s.2p4,2P,1/2,2.0,26.379157,,,2
31,2s2.2p2.(3P).3p,2P*,1/2,2.0,26.5536859,,,3
32,2s2.2p2.(3P).3p,2P*,3/2,4.0,26.561094,,,3
33,2s2.2p2.(1D).3p,2F*,5/2,6.0,28.358142,,,3
34,2s2.2p2.(1D).3p,2F*,7/2,8.0,28.361069,,,3
35,2s2.2p2.(1D).3p,2D*,5/2,6.0,28.509803,,,3
36,2s2.2p2.(1D).3p,2D*,3/2,4.0,28.512453,,,3
37,2s2.2p2.(1S).3s,2S,1/2,2.0,28.591928,,,3
38,2s2.2p2.(3P).3d,4F,3/2,4.0,28.6770648,,,3
39,2s2.2p2.(3P).3d,4F,5/2,6.0,28.6837551,,,3
40,2s2.2p2.(3P).3d,4F,7/2,8.0,28.6934114,,,3
41,2s2.2p2.(3P).3d,4F,9/2,10.0,28.706092,,,3
42,2s2.2p2.(3P).3d,4P,5/2,6.0,28.8217045,,,3
43,2s2.2p2.(3P).3d,4P,3/2,4.0,28.8307832,,,3
44,2s2.2p2.(3P).3d,4P,1/2,2.0,28.8390335,,,3
45,2s2.2p2.(1D).3p,2P*,1/2,2.0,28.823901,,,3
46,2s2.2p2.(1D).3p,2P*,3/2,4.0,28.829685,,,3
47,2s2.2p2.(3P).3d,4D,1/2,2.0,28.8525664,,,3
48,2s2.2p2.(3P).3d,4D,3/2,4.0,28.8568239,,,3
49,2s2.2p2.(3P).3d,4D,5/2,6.0,28.8570199,,,3
50,2s2.2p2.(3P).3d,4D,7/2,8.0,28.8577953,,,3
51,2s2.2p2.(3P).3d,2F,5/2,6.0,28.8630624,,,3
52,2s2.2p2.(3P).3d,2F,7/2,8.0,28.8832609,,,3
53,2s2.2p2.(3P).3d,2P,3/2,4.0,28.941697,,,3
54,2s2.2p2.(3P).3d,2P,1/2,2.0,28.955839,,,3
55,2s2.2p2.(3P).3d,2D,3/2,4.0,29.0622429,,,3
56,2s2.2p2.(3P).3d,2D,5/2,6.0,29.0686699,,,3
57,2s2.2p2.(3P).4s,4P,1/2,2.0,29.586034,,,4
58,2s2.2p2.(3P).4s,4P,3/2,4.0,29.599076,,,4
59,2s2.2p2.(3P).4s,4P,5/2,6.0,29.619076,,,4
60,2s2.2p2.(3P).4s,2P,1/2,2.0,29.797124,,,4
61,2s2.2p2.(3P).4s,2P,3/2,4.0,29.820351,,,4
62,2s2.2p2.(3P).4p,2S*,1/2,2.0,30.380752,,,4
63,2s.2p3.(5S*).3s,6S*,5/2,6.0,30.425722,,,3
64,2s2.2p2.(3P).4p,4D*,1/2,2.0,30.471394,,,4
65,2s2.2p2.(3P).4p,4D*,3/2,4.0,30.477387,,,4
66,2s2.2p2.(3P).4p,4D*,5/2,6.0,30.4881141,,,4
67,2s2.2p2.(3P).4p,4D*,7/2,8.0,30.5037449,,,4
68,2s2.2p2.(3P).4p,4S*,3/2,4.0,30.5362941,,,4
69,2s2.2p2.(3P).4p,4P*,1/2,2.0,30.5397984,,,4
70,2s2.2p2.(3P).4p,4P*,5/2,6.0,30.5566036,,,4
71,2s2.2p2.(3P).4p,4P*,3/2,4.0,30.5600365,,,4
72,2s2.2p2.(3P).4p,2D*,3/2,4.0,30.74935,,,4
73,2s2.2p2.(3P).4p,2D*,5/2,6.0,30.771222,,,4
74,2s2.2p2.(3P).4p,2P*,1/2,2.0,30.800949,,,4
75,2s2.2p2.(3P).4p,2P*,3/2,4.0,30.81197,,,4
76,2s2.2p2.(1D).3d,2F,7/2,8.0,31.147582,,,3
77,2s2.2p2.(1D).3d,2F,5/2,6.0,31.147904,,,3
78,2s2.2p2.(1D).3d,2G,9/2,10.0,31.319435,,,3
79,2s2.2p2.(1D).3d,2G,7/2,8.0,31.319581,,,3
80,2s2.2p2.(1S).3p,2P*,1/2,2.0,31.366419,,,3
81,2s2.2p2.(1S).3p,2P*,3/2,4.0,31.367183,,,3
82,2s2.2p2.(1D).3d,2D,3/2,4.0,31.373797,,,3
83,2s2.2p2.(1D).3d,2D,5/2,6.0,31.374055,,,3
84,2s2.2p2.(1D).3d,2P,1/2,2.0,31.465948,,,3
85,2s2.2p2.(1D).3d,2P,3/2,4.0,31.466247,,,3
86,2s2.2p2.(3P).4d,4F,3/2,4.0,31.533845,,,4
87,2s2.2p2.(3P).4d,4F,5/2,6.0,31.540144,,,4
88,2s2.2p2.(3P).4d,4F,7/2,8.0,31.551524,,,4
89,2s2.2p2.(3P).4d,4F,9/2,10.0,31.565137,,,4
90,2s2.2p2.(3P).4d,4D,1/2,2.0,31.596961,,,4
91,2s2.2p2.(3P).4d,4D,3/2,4.0,31.601262,,,4
92,2s2.2p2.(3P).4d,4D,5/2,6.0,31.603128,,,4
93,2s2.2p2.(3P).4d,4D,7/2,8.0,31.618417,,,4
94,2s.2p3.(5S*).3s,4S*,3/2,4.0,31.613683,,,3
95,2s2.2p2.(3P).4d,4P,5/2,6.0,31.62899,,,4
96,2s2.2p2.(3P).4d,4P,3/2,4.0,31.633627,,,4
97,2s2.2p2.(3P).4d,4P,1/2,2.0,31.63619,,,4
98,2s2.2p2.(3P).4d,2P,3/2,4.0,31.637492,,,4
99,2s2.2p2.(3P).4d,2P,1/2,2.0,31.650925,,,4
100,2s2.2p2.(3P).4d,2F,5/2,6.0,31.653427,,,4
101,2s2.2p2.(3P).4d,2F,7/2,8.0,31.67376,,,4
102,2s2.2p2.(1D).3d,2S,1/2,2.0,31.693188,,,3
103,2s2.2p2.(3P).4f D,2[3]*,5/2,6.0,31.7015121,,,4
104,2s2.2p2.(3P).4f D,2[3]*,7/2,8.0,31.7016866,,,4
105,2s2.2p2.(3P).4f G,2[3]*,5/2,6.0,31.7097189,,,4
106,2s2.2p2.(3P).4f G,2[3]*,7/2,8.0,31.7101222,,,4
107,2s2.2p2.(3P).4f D,2[2]*,3/2,4.0,31.716736,,,4
108,2s2.2p2.(3P).4f D,2[2]*,5/2,6.0,31.7168283,,,4
109,2s2.2p2.(3P).4f G,2[4]*,9/2,10.0,31.718587,,,4
110,2s2.2p2.(3P).4f G,2[4]*,7/2,8.0,31.718825,,,4
111,2s2.2p2.(3P).4d,2D,3/2,4.0,31.720478,,,4
112,2s2.2p2.(3P).4d,2D,5/2,6.0,31.727258,,,4
113,2s2.2p2.(3P).4f D,2[1]*,3/2,4.0,31.729084,,,4
114,2s2.2p2.(3P).4f D,2[1]*,1/2,2.0,31.72909,,,4
115,2s2.2p2.(3P).4f G,2[5]*,11/2,12.0,31.7371628,,,4
116,2s2.2p2.(3P).4f G,2[5]*,9/2,10.0,31.7379195,,,4
117,2s2.2p2.(3P).4f F,2[2]*,3/2,4.0,31.7503204,,,4
118,2s2.2p2.(3P).4f F,2[2]*,5/2,6.0,31.7508339,,,4
119,2s2.2p2.(3P).4f F,2[3]*,7/2,8.0,31.7552335,,,4
120,2s2.2p2.(3P).4f F,2[3]*,5/2,6.0,31.7555502,,,4
121,2s2.2p2.(3P).4f F,2[4]*,9/2,10.0,31.7568211,,,4
122,2s2.2p2.(3P).4f F,2[4]*,7/2,8.0,31.7577077,,,4
123,2s2.2p2.(3P).5s,4P,1/2,2.0,31.9502,,,5
124,2s2.2p2.(3P).5s,4P,3/2,4.0,31.963118,,,5
125,2s2.2p2.(3P).5s,4P,5/2,6.0,31.983597,,,5
126,2s2.2p2.(3P).5s,2P,1/2,2.0,32.038913,,,5
127,2s2.2p2.(3P).5s,2P,3/2,4.0,32.063101,,,5
128,2s2.2p2.(1D).4s,2D,5/2,6.0,32.147566,,,4
129,2s2.2p2.(1D).4s,2D,3/2,4.0,32.147624,,,4
130,2s2.2p2.(3P).5p,2S*,1/2,2.0,32.320978,,,5
131,2s2.2p2.(3P).5p,4D*,1/2,2.0,32.34896,,,5
132,2s2.2p2.(3P).5p,4D*,3/2,4.0,32.354745,,,5
133,2s2.2p2.(3P).5p,4D*,5/2,6.0,32.365335,,,5
134,2s2.2p2.(3P).5p,4D*,7/2,8.0,32.382266,,,5
135,2s2.2p2.(3P).5p,4P*,1/2,2.0,32.386467,,,5
136,2s2.2p2.(3P).5p,4P*,3/2,4.0,32.392272,,,5
137,2s2.2p2.(3P).5p,4P*,5/2,6.0,32.404017,,,5
138,2s2.2p2.(3P).5p,4S*,3/2,4.0,32.436939,,,5
139,2s2.2p2.(3P).5p,2D*,3/2,4.0,32.44651,,,5
140,2s2.2p2.(3P).5p,2D*,5/2,6.0,32.467735,,,5
141,2s2.2p2.(3P).5p,2P*,1/2,2.0,32.519421,,,5
142,2s2.2p2.(3P).5p,2P*,3/2,4.0,32.529492,,,5
143,2s2.2p2.(3P).5d,4D,3/2,4.0,32.88313,,,5
144,2s2.2p2.(3P).5d,4D,5/2,6.0,32.88313,,,5
145,2s2.2p2.(3P).5d,4P,5/2,6.0,32.90931,,,5
146,2s2.2p2.(3P).5d,4P,3/2,4.0,32.91386,,,5
147,2s2.2p2.(3P).5d,2F,7/2,8.0,32.92787,,,5
148,2s2.2p2.(3P).5f D,2[3]*,5/2,6.0,32.934803,,,5
149,2s2.2p2.(3P).5f D,2[3]*,7/2,8.0,32.934988,,,5
150,2s2.2p2.(3P<0>).5g,2[4],9/2,10.0,32.942246,,,5
151,2s2.2p2.(3P<0>).5g,2[4],7/2,8.0,32.942246,,,5
152,2s2.2p2.(3P).5f G,2[3]*,5/2,6.0,32.944893,,,5
153,2s2.2p2.(3P).5f G,2[3]*,7/2,8.0,32.945128,,,5
154,2s2.2p2.(3P).5f G,2[4]*,9/2,10.0,32.950201,,,5
155,2s2.2p2.(3P).5f G,2[4]*,7/2,8.0,32.950457,,,5
156,2s2.2p2.(3P).5f D,2[2]*,3/2,4.0,32.950819,,,5
157,2s2.2p2.(3P).5f D,2[2]*,5/2,6.0,32.950977,,,5
158,2s2.2p2.(3P<1>).5g,2[4],7/2,8.0,32.954266,,,5
159,2s2.2p2.(3P<1>).5g,2[4],9/2,10.0,32.954273,,,5
160,2s2.2p2.(3P<1>).5g,2[5],9/2,10.0,32.956981,,,5
161,2s2.2p2.(3P<1>).5g,2[5],11/2,12.0,32.956991,,,5
