,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
162,2s2.2p2.(3P<1>).5g,2[3],5/2,6.0,32.957513,,,5
163,2s2.2p2.(3P<1>).5g,2[3],7/2,8.0,32.957537,,,5
164,2s2.2p2.(3P).5d,2D,5/2,6.0,32.96184,,,5
165,2s2.2p2.(3P).5f D,2[1]*,1/2,2.0,32.966538,,,5
166,2s2.2p2.(3P).5f D,2[1]*,3/2,4.0,32.966607,,,5
167,2s2.2p2.(3P).5f G,2[5]*,11/2,12.0,32.970522,,,5
168,2s2.2p2.(3P).5f G,2[5]*,9/2,10.0,32.971156,,,5
169,2s2.2p2.(3P).5f F,2[2]*,3/2,4.0,32.974511,,,5
170,2s2.2p2.(3P).5f F,2[2]*,5/2,6.0,32.975276,,,5
171,2s2.2p2.(3P<2>).5g,2[2],5/2,6.0,32.977331,,,5
172,2s2.2p2.(3P<2>).5g,2[2],3/2,4.0,32.977331,,,5
173,2s2.2p2.(3P<2>).5g,2[6],11/2,12.0,32.978843,,,5
174,2s2.2p2.(3P<2>).5g,2[6],13/2,14.0,32.978847,,,5
175,2s2.2p2.(3P).5f F,2[3]*,7/2,8.0,32.978843,,,5
176,2s2.2p2.(3P).5f F,2[3]*,5/2,6.0,32.978851,,,5
177,2s2.2p2.(3P).5f F,2[4]*,9/2,10.0,32.979766,,,5
178,2s2.2p2.(3P).5f F,2[4]*,7/2,8.0,32.980404,,,5
179,2s2.2p2.(3P<2>).5g,2[3],5/2,6.0,32.980739,,,5
180,2s2.2p2.(3P<2>).5g,2[3],7/2,8.0,32.980754,,,5
181,2s2.2p2.(3P<2>).5g,2[4],7/2,8.0,32.982636,,,5
182,2s2.2p2.(3P<2>).5g,2[4],9/2,10.0,32.982636,,,5
183,2s2.2p2.(3P<2>).5g,2[5],11/2,12.0,32.982792,,,5
184,2s2.2p2.(3P<2>).5g,2[5],9/2,10.0,32.982792,,,5
185,2s2.2p2.(1D).4p,2F*,5/2,6.0,33.051674,,,4
186,2s2.2p2.(1D).4p,2F*,7/2,8.0,33.05274,,,4
187,2s2.2p2.(1D).4p,2D*,3/2,4.0,33.057203,,,4
188,2s2.2p2.(1D).4p,2D*,5/2,6.0,33.059219,,,4
189,2s2.2p2.(3P).6s,4P,1/2,2.0,33.06634,,,6
190,2s2.2p2.(3P).6s,4P,3/2,4.0,33.07923,,,6
191,2s2.2p2.(3P).6s,4P,5/2,6.0,33.100214,,,6
192,2s2.2p2.(3P).6s,2P,1/2,2.0,33.11632,,,6
193,2s2.2p2.(3P).6s,2P,3/2,4.0,33.140757,,,6
194,2s2.2p2.(1D).4p,2P*,1/2,2.0,33.160848,,,4
195,2s2.2p2.(1D).4p,2P*,3/2,4.0,33.164631,,,4
196,2s.2p3.(5S*).3p,6P,3/2,4.0,33.199026,,,3
197,2s.2p3.(5S*).3p,6P,5/2,6.0,33.199928,,,3
198,2s.2p3.(5S*).3p,6P,7/2,8.0,33.201492,,,3
199,2s2.2p2.(3P).6p,2S*,1/2,2.0,33.27361,,,6
200,2s2.2p2.(3P).6p,4D*,3/2,4.0,33.28549,,,6
201,2s2.2p2.(3P).6p,4D*,5/2,6.0,33.295647,,,6
202,2s2.2p2.(3P).6p,4D*,7/2,8.0,33.31357,,,6
203,2s2.2p2.(3P).6p,4P*,5/2,6.0,33.32478,,,6
204,2s2.2p2.(3P<0>).6g,2[4],7/2,8.0,33.608192,,,6
205,2s2.2p2.(3P<0>).6g,2[4],9/2,10.0,33.608197,,,6
206,2s2.2p2.(3P<1>).6g,2[4],7/2,8.0,33.621024,,,6
207,2s2.2p2.(3P<1>).6g,2[4],9/2,10.0,33.621024,,,6
208,2s2.2p2.(3P<1>).6g,2[5],9/2,10.0,33.622639,,,6
209,2s2.2p2.(3P<1>).6g,2[5],11/2,12.0,33.622665,,,6
210,2s2.2p2.(3P<1>).6g,2[3],5/2,6.0,33.623017,,,6
211,2s2.2p2.(3P<1>).6g,2[3],7/2,8.0,33.623032,,,6
212,2s2.2p2.(3P<2>).6g,2[2],3/2,4.0,33.644428,,,6
213,2s2.2p2.(3P<2>).6g,2[2],5/2,6.0,33.644428,,,6
214,2s2.2p2.(3P<2>).6g,2[6],11/2,12.0,33.645307,,,6
215,2s2.2p2.(3P<2>).6g,2[6],13/2,14.0,33.645318,,,6
216,2s2.2p2.(3P<2>).6g,2[3],7/2,8.0,33.646271,,,6
217,2s2.2p2.(3P<2>).6g,2[3],5/2,6.0,33.646287,,,6
218,2s2.2p2.(3P<2>).6g,2[4],7/2,8.0,33.647408,,,6
219,2s2.2p2.(3P<2>).6g,2[4],9/2,10.0,33.647427,,,6
220,2s2.2p2.(3P<2>).6g,2[5],9/2,10.0,33.647459,,,6
221,2s2.2p2.(3P<2>).6g,2[5],11/2,12.0,33.6475,,,6
222,2s2.2p2.(3P).7p,4D*,3/2,4.0,33.81401,,,7
223,2s2.2p2.(3P).7p,4D*,5/2,6.0,33.82136,,,7
224,2s2.2p2.(3P).7p,4D*,7/2,8.0,33.84377,,,7
225,2s2.2p2.(3P).7p,4P*,5/2,6.0,33.85,,,7
226,2s2.2p2.(1D).4d,2F,5/2,6.0,34.06351,,,4
227,2s2.2p2.(1D).4d,2F,7/2,8.0,34.06856,,,4
228,2s2.2p2.(1D).4d,2D,3/2,4.0,34.08524,,,4
229,2s2.2p2.(1D).4d,2D,5/2,6.0,34.08673,,,4
230,2s2.2p2.(1D).4d,2P,3/2,4.0,34.17142,,,4
231,2s2.2p2.(1D).4f G,2[4]*,7/2,8.0,34.200067,,,4
232,2s2.2p2.(1D).4f G,2[4]*,9/2,10.0,34.200067,,,4
233,2s2.2p2.(1D).4f F,2[3]*,5/2,6.0,34.204965,,,4
234,2s2.2p2.(1D).4f F,2[3]*,7/2,8.0,34.204965,,,4
235,2s2.2p2.(1S).3d,2D,3/2,4.0,34.217649,,,3
236,2s2.2p2.(1S).3d,2D,5/2,6.0,34.228977,,,3
237,2s2.2p2.(1D).4d,2S,1/2,2.0,34.2192,,,4
238,2s2.2p2.(1D).4f D,2[2]*,3/2,4.0,34.227922,,,4
239,2s2.2p2.(1D).4f D,2[2]*,5/2,6.0,34.227931,,,4
240,2s2.2p2.(1D).4f H,2[5]*,9/2,10.0,34.23321,,,4
241,2s2.2p2.(1D).4f H,2[5]*,11/2,12.0,34.23322,,,4
242,2s2.2p2.(1D).4f P,2[1]*,1/2,2.0,34.252347,,,4
243,2s2.2p2.(1D).4f P,2[1]*,3/2,4.0,34.252347,,,4
244,2s2.2p2.(1D).5s,2D,3/2,4.0,34.485502,,,5
245,2s2.2p2.(1D).5s,2D,5/2,6.0,34.485538,,,5
246,2s2.2p2.(1S).4s,2S,1/2,2.0,34.990808,,,4
247,2s2.2p2.(1D).5f G,2[4]*,9/2,10.0,35.439459,,,5
248,2s2.2p2.(1D).5f F,2[3]*,7/2,8.0,35.442339,,,5
249,2s2.2p2.(1D<2>).5g,2[5],11/2,12.0,35.451924,,,5
250,2s2.2p2.(1D<2>).5g,2[5],9/2,10.0,35.451924,,,5
251,2s2.2p2.(1D<2>).5g,2[4],7/2,8.0,35.452208,,,5
252,2s2.2p2.(1D<2>).5g,2[4],9/2,10.0,35.452208,,,5
253,2s2.2p2.(1D).5f D,2[2]*,5/2,6.0,35.454483,,,5
254,2s2.2p2.(1D).5f H,2[5]*,9/2,10.0,35.45682,,,5
255,2s2.2p2.(1D).5f H,2[5]*,11/2,12.0,35.45682,,,5
256,2s2.2p2.(1D<2>).5g,2[6],11/2,12.0,35.459519,,,5
257,2s2.2p2.(1D<2>).5g,2[6],13/2,14.0,35.459519,,,5
258,2s2.2p2.(1D).5f P,2[1]*,3/2,4.0,35.466335,,,5
259,2s2.2p2.(1D).6s,2D,3/2,4.0,35.58912,,,6
260,2s2.2p2.(1D).6s,2D,5/2,6.0,35.5893,,,6
261,2s2.2p2.(1S).4p,2P*,1/2,2.0,35.95426,,,4
262,2s2.2p2.(1S).4p,2P*,3/2,4.0,35.95545,,,4
263,2s2.2p2.(1D<2>).6g,2[5],9/2,10.0,36.119449,,,6
264,2s2.2p2.(1D<2>).6g,2[5],11/2,12.0,36.119449,,,6
265,2s2.2p2.(1D<2>).6g,2[4],7/2,8.0,36.119578,,,6
266,2s2.2p2.(1D<2>).6g,2[4],9/2,10.0,36.119578,,,6
267,2s2.2p2.(1D<2>).6g,2[6],13/2,14.0,36.12383,,,6
268,2s2.2p2.(1D<2>).6g,2[6],11/2,12.0,36.12383,,,6
269,2s.2p3.(5S*).3d,6D*,9/2,10.0,36.191047,,,3
270,2s.2p3.(5S*).3d,6D*,7/2,8.0,36.19117,,,3
271,2s.2p3.(5S*).3d,6D*,5/2,6.0,36.191326,,,3
272,2s.2p3.(5S*).3d,6D*,3/2,4.0,36.191472,,,3
273,2s.2p3.(5S*).3d,6D*,1/2,2.0,36.191571,,,3
274,2s.2p3.(5S*).4s,6S*,5/2,6.0,37.053303,,,4
275,Limit,NaN,NaN,NaN,35.12112,6e-05,NaN,NaN
