,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3s2.3p4,3P,2,5.0,0.0,,  99                                        ,L1617,3
1,3s2.3p4,3P,1,3.0,0.086293,, 100                                        ,,3
2,3s2.3p4,3P,0,1.0,0.123547,,  99                                        ,,3
3,3s2.3p4,1D,2,5.0,1.44486,,  99                                        ,,3
4,3s2.3p4,1S,0,1.0,3.456434,,  99                                        ,,3
5,3s.3p5,3P*,2,5.0,11.576102,,  72         :    19  3s2.3p3.(2D).3d  3P*  ,,3
6,3s.3p5,3P*,1,3.0,11.6545,,  71         :    19  3s2.3p3.(2D).3d  3P*  ,,3
7,3s.3p5,3P*,0,1.0,11.695906,,  71         :    19  3s2.3p3.(2D).3d  3P*  ,,3
8,3s2.3p3.(4S*).4s,5S*,2,5.0,13.375373,,  99                                        ,,4
9,3s2.3p3.(4S*).3d,5D*,4,9.0,13.675065,,  99                                        ,,3
10,3s2.3p3.(4S*).3d,5D*,3,7.0,13.675174,,  99                                        ,,3
11,3s2.3p3.(4S*).3d,5D*,2,5.0,13.675527,,  99                                        ,,3
12,3s2.3p3.(4S*).3d,5D*,1,3.0,13.675844,,  99                                        ,,3
13,3s2.3p3.(4S*).3d,5D*,0,1.0,13.676017,,  99                                        ,,3
14,3s2.3p3.(4S*).4s,3S*,1,3.0,13.961781,,  99                                        ,,4
15,3s2.3p3.(2D*).3d,1P*,1,3.0,14.339736,,  57         :    33  3s.3p5           1P*  ,,3
16,3s2.3p3.(4S*).3d,3D*,2,5.0,14.853347,,  59         :    36  3s2.3p3.(2D*).3d 3D*  ,,3
17,3s2.3p3.(4S*).3d,3D*,3,7.0,14.854698,,  58         :    36  3s2.3p3.(2D*).3d 3D*  ,,3
18,3s2.3p3.(4S*).3d,3D*,1,3.0,14.858677,,  59         :    36  3s2.3p3.(2D*).3d 3D*  ,,3
19,3s2.3p3.(2D*).3d,1S*,0,1.0,15.528511,,  99                                        ,,3
