,Configuration,Term,J,g,Level (eV),nQua
127,3p6.3d7.(2P).4s.4p.(3P*),*,nan,4.0,14.588242,4.0
128,3p6.3d7.4s.4p,*,nan,14.0,14.234503,4.0
129,3p6.3d8.(3P).6s,2P,nan,6.0,16.6203405,6.0
130,3p6.3d7.(4F).4s.4p.(3P*),2F*,nan,14.0,12.400132,4.0
131,3p6.3d8.(3F).6d,2F,nan,14.0,16.27674,6.0
132,3p6.3d8.(3F<2>).7g,2[6],nan,14.0,17.337236,7.0
133,3p6.3d8.(3F).7p,2G*,nan,10.0,16.357083,7.0
134,3p6.3d8.(3F<4>).4f,2[2]*,nan,10.0,14.735875499999999,4.0
135,3p6.3d8.(3F).8d,4G,nan,22.0,17.081134499999997,8.0
136,3p6.3d8.(3F).4d,2D,nan,10.0,12.813089999999999,4.0
137,3p6.3d8.(3F).5s,2F,nan,14.0,11.6704895,5.0
138,3p6.3d8.(3F).7d,2P,nan,2.0,16.980291,7.0
139,3p6.3d8.(3P).5p,*,nan,8.0,15.054341999999998,5.0
140,3p6.3d8.(3F).5p,4D*,nan,20.0,13.006528,5.0
141,3p6.3d8.(3F<4>).6h,2[9]*,nan,38.0,16.656001,6.0
142,3p6.3d8.(3F<2>).6g,2[3],nan,14.0,16.936035500000003,6.0
143,3p6.3d3.(3F).5d,4G,nan,36.0,15.018006250000001,5.0
144,3p6.3d7.(4F).4s.4p.(1P*),4F*,nan,20.0,14.218268,4.0
145,3p6.3d8.(3F<3>).5g,2[6],nan,26.0,16.157835,5.0
146,3p6.3d8.(1D).5d,2F,nan,14.0,16.581041499999998,5.0
147,3p6.3d7.(2G).4s.4p.(3P*),4F*,nan,28.0,13.65958525,4.0
148,3p6.3d8.(3F<4>).5g,2[6],nan,26.0,15.989809,5.0
149,3p6.3d8.(3F<4>).4f,2[3]*,nan,14.0,14.7399885,4.0
150,3p6.3d8.(3F<4>).6h,2[8]*,nan,34.0,16.656573,6.0
151,3p6.3d8.(3F).6d,2P,nan,6.0,16.2634525,6.0
152,3p6.3d8.(3F).5d,2H,nan,22.0,15.003959,5.0
153,3p6.3d8.(3F).8p,4G*,nan,22.0,16.775062,8.0
154,3p6.3d8.(3P).4s,4P,nan,12.0,3.0058899999999995,4.0
155,3p6.3d8.(3F).8s,2F,nan,14.0,16.8092185,8.0
156,3p6.3d8.(3F<3>).6h,2[8]*,nan,34.0,16.82474,6.0
157,3p6.3d8.(3F).5d,4H,nan,44.0,15.00803225,5.0
158,3p6.3d8.(3F<4>).6g,2[4],nan,18.0,16.655023999999997,6.0
159,3p6.3d8.(3F).6d,2H,nan,22.0,16.2690575,6.0
160,3p6.3d8.(3F<3>).4f,2[3]*,nan,14.0,14.910472500000001,4.0
161,3p6.3d8.(3F).8p,2G*,nan,18.0,17.000489,8.0
162,3p6.3d8.(1D).5d,2G,nan,18.0,16.604757,5.0
163,3p6.3d8.(3F).4d,4G,nan,18.0,12.429349,4.0
164,3p6.3d7.4s2,4P,nan,12.0,8.461776666666667,4.0
165,3p6.3d8.(3F).6s,2F,nan,14.0,14.7299185,6.0
166,3p6.3d8.(3P).4d,2P,nan,6.0,14.482889,4.0
167,3p6.3d8.(3F).5d,2F,nan,14.0,15.01314,5.0
168,3p6.3d8.(1D).4d,2S,nan,2.0,14.087469,4.0
169,3p6.3d8.(3P<2>).4f,2[1]*,nan,6.0,16.819908499999997,4.0
170,3p6.3d8.(1G).4s,2G,nan,18.0,4.0309165,4.0
171,3p6.3d7.4s2,2F,nan,14.0,11.4788,4.0
172,3p6.3d8.(3F).4p,4D*,nan,20.0,6.5744845,4.0
173,3p6.3d8.(3P).5s,4P,nan,12.0,13.459723666666667,5.0
174,3p6.3d8.(3F<4>).6f,2[7]*,nan,30.0,16.6442425,6.0
175,3p6.3d8.(3F<3>).4f,2[4]*,nan,18.0,14.9121945,4.0
176,3p6.3d8.(3F<4>).5g,2[1],nan,6.0,15.986493,5.0
177,3p6.3d8.(3P).6p,4D*,nan,8.0,17.21409,6.0
178,3p6.3d8.(3F<2>).6h,2[4]*,nan,18.0,16.937763,6.0
179,3p6.3d8.(1D).6p,2F*,nan,8.0,16.910558,6.0
180,3p6.3d8.(3F).5p,2G*,nan,18.0,13.0618325,5.0
181,3p6.3d7.(2F).4s.4p.(3P*),4D*,nan,20.0,16.622071749999996,4.0
182,3p6.3d7.(2P).4s.4p.(1P*),2P*,nan,6.0,16.764874499999998,4.0
183,3p6.3d8.(3P<2>).4f,2[2]*,nan,10.0,16.800241999999997,4.0
184,3p6.3d8.(3F<4>).6h,2[3]*,nan,14.0,16.656089,6.0
185,3p6.3d8.(3F<3>).5f,2[1]*,nan,4.0,16.139523,5.0
186,3p6.3d8.(3F<2>).5g,2[5],nan,22.0,16.270857,5.0
187,3p6.3d9,2D,nan,10.0,0.0934185,1.0
188,3p6.3d7.(2P).4s.4p.(3P*),2D*,nan,10.0,14.367495,4.0
189,3p6.3d8.(3P).5d,2P,nan,6.0,17.016220500000003,5.0
190,3p6.3d8.(1D).5s,2D,nan,10.0,13.1510675,5.0
191,3p6.3d7.4s2,2G,nan,18.0,8.791514,4.0
192,3p6.3d8.(1D<2>).4f,2[3]*,nan,14.0,16.465017000000003,4.0
193,3p6.3d8.(1G).4d,2G,nan,18.0,15.230524500000001,4.0
194,3p6.3d8.(1G).4p,2G*,nan,18.0,9.903046,4.0
195,3p6.3d8.(1G).4p,2H*,nan,22.0,9.352820000000001,4.0
196,3p6.3d7.(2H).4s.4p.(3P*),4G*,nan,36.0,14.36674625,4.0
197,3p6.3d7.4s2,2P,nan,4.0,9.161655,4.0
198,3p6.3d7.(2H).4s.4p.(3P*),2I*,nan,26.0,14.708195,4.0
199,3p6.3d8.(3F<2>).6g,2[4],nan,18.0,16.936740999999998,6.0
200,3p6.3d8.(3F<3>).5g,2[2],nan,10.0,16.156005,5.0
201,3p6.3d8.(3F<4>).7g,2[5],nan,12.0,17.057143,7.0
202,3p6.3d7.(2F).4s.4p.(3P*),4G*,nan,12.0,16.567508,4.0
203,3p6.3d8.(1G).5s,2G,nan,18.0,14.268518,5.0
204,3p6.3d8.(3F).5d,4D,nan,14.0,14.955955000000001,5.0
205,3p6.3d8.(3F<2>).5f,2[3]*,nan,14.0,16.2579575,5.0
206,3p6.3d8.(3F<2>).5g,2[3],nan,14.0,16.269576,5.0
207,3p6.3d8.(3F).4s,2F,nan,14.0,1.7696239999999999,4.0
208,3p6.3d7.(2G).4s.4p.(1P*),2H*,nan,22.0,16.349567,4.0
209,3p6.3d7.(4F).4s.4p.(3P*),4G*,nan,36.0,11.810744750000001,4.0
210,3p6.3d8.(3F).6s,4F,nan,28.0,14.6091425,6.0
211,3p6.3d8.(3F<3>).6g,2[4],nan,18.0,16.8238395,6.0
212,3p6.3d8.(3F).4d,2P,nan,6.0,12.416206,4.0
213,3p6.3d7.4s2,2H,nan,22.0,9.575557,4.0
214,3p6.3d8.(3F<4>).5f,2[1]*,nan,6.0,15.964929,5.0
215,3p6.3d8.(3F<2>).6h,2[6]*,nan,26.0,16.938065,6.0
216,3p6.3d8.(1G).4p,2F*,nan,14.0,9.4426155,4.0
217,3p6.3d7.(4F).4s.4p.(3P*),2D*,nan,10.0,12.677231500000001,4.0
218,3p6.3d8.(3F).7p,4F*,nan,10.0,16.17633,7.0
219,3p6.3d8.(3F).5p,4G*,nan,36.0,13.065404749999999,5.0
220,3p6.3d7.(4F).4s.4p.(3P*),4F*,nan,28.0,11.785199,4.0
221,3p6.3d8.(3P<1>).4f,2[2]*,nan,4.0,16.830375,4.0
222,3p6.3d8.(3F<2>).5f,2[2]*,nan,14.0,16.255465,5.0
223,3p6.3d8.(3F<3>).5f,2[4]*,nan,18.0,16.145307,5.0
224,3p6.3d8.(3P).4d,nan,nan,6.0,14.405906,4.0
225,3p6.3d8.(3F<3>).6f,2[4]*,nan,18.0,16.816592,6.0
226,3p6.3d8.(3F<2>).5f,2[4]*,nan,18.0,16.257207,5.0
227,3p6.3d8.(3F).7d,4F,nan,28.0,16.79997875,7.0
228,3p6.3d8.(3F).6d,2G,nan,18.0,16.2761535,6.0
229,3p6.3d8.(1D).5d,2D,nan,10.0,16.611158000000003,5.0
230,3p6.3d7.(4F).4s.4p.(1P*),4G*,nan,28.0,14.104579333333334,4.0
231,3p6.3d8.(1D).4d,2D,nan,10.0,14.029694500000002,4.0
232,3p6.3d8.(3F).7d,4D,nan,18.0,16.761019,7.0
233,3p6.3d8.(3F<2>).4f,2[5]*,nan,22.0,15.017356,4.0
234,3p6.3d8.(3F<4>).6f,2[4]*,nan,18.0,16.646965,6.0
235,3p6.3d8.(3F<4>).5g,2[3],nan,14.0,15.987870000000001,5.0
236,3p6.3d8.(3F).8d,4D,nan,14.0,17.0925725,8.0
237,3p6.3d8.(3F<3>).5g,2[1],nan,6.0,16.155315,5.0
238,3p6.3d8.(3F<2>).6h,2[3]*,nan,14.0,16.93739,6.0
239,3p6.3d7.(4F).4s.4p.(3P*),2G*,nan,18.0,12.281926,4.0
240,3p6.3d8.(3F).6p,4D*,nan,8.0,15.226868,6.0
241,3p6.3d8.(3F<3>).4f,2[2]*,nan,10.0,14.904536,4.0
242,3p6.3d8.(1G).4d,2H,nan,22.0,15.226006,4.0
243,3p6.3d8.(1D<2>).4f,2[1]*,nan,6.0,16.4889055,4.0
244,3p6.3d8.(3P).5d,4P,nan,8.0,16.9663745,5.0
245,3p6.3d7.(4F).4s.4p.(3P*),6F*,nan,42.0,10.8763795,4.0
246,3p6.3d8.(3P).4d,4F,nan,28.0,14.372581499999999,4.0
247,3p6.3d8.(3F<2>).6f,2[5]*,nan,22.0,16.9258655,6.0
248,3p6.3d8.(3F<4>).4f,2[4]*,nan,18.0,14.7440485,4.0
249,3p6.3d8.(3F<4>).7f,2[2]*,nan,6.0,17.050212,7.0
250,3p6.3d8.(3F).6d,4H,nan,44.0,16.1538565,6.0
251,3p6.3d8.(3F).7s,4F,nan,28.0,15.971904499999999,7.0
252,3p6.3d8.(3F).6p,4G*,nan,12.0,15.017012,6.0
253,3p6.3d8.(3F).7d,2H,nan,22.0,16.913712,7.0
254,3p6.3d8.(3F).5d,2G,nan,18.0,15.0216155,5.0
255,3p6.3d7.(4P).4s.4p.(1P*),4S*,nan,4.0,15.713611,4.0
256,3p6.3d7.4s.4p,4D*,nan,16.0,14.3649275,4.0
257,3p6.3d8.(1D).4d,2F,nan,14.0,13.9733945,4.0
258,3p6.3d8.(3F<4>).4f,2[1]*,nan,6.0,14.728337,4.0
259,3p6.3d8.(3P<2>).4f,2[3]*,nan,14.0,16.794033,4.0
260,3p6.3d8.(3F<3>).6g,2[7],nan,30.0,16.8230005,6.0
261,3p6.3d8.(3F<3>).5g,2[3],nan,14.0,16.156886,5.0
262,3p6.3d8.(3F).7d,4H,nan,44.0,16.80097275,7.0
263,3p6.3d8.(3F<4>).7f,2[3]*,nan,14.0,17.0509415,7.0
264,3p6.3d8.(3F<3>).6h,2[7]*,nan,30.0,16.825255,6.0
265,3p6.3d7.4s2,2D1,nan,6.0,14.366084,4.0
266,3p6.3d8.(3F<4>).7g,2[6],nan,26.0,17.056902,7.0
267,3p6.3d7.(2F).4s.4p.(3P*),2G*,nan,18.0,16.850836,4.0
268,3p6.3d8.(3F).8d,4P,nan,6.0,17.073456,8.0
269,3p6.3d8.(3F<3>).5f,2[5]*,nan,22.0,16.1435185,5.0
270,3p6.3d8.(3P<1>).4f,2[3]*,nan,14.0,16.84504,4.0
271,3p6.3d7.(4P).4s.4p.(1P*),4D*,nan,20.0,16.138785000000002,4.0
272,3p6.3d8.(3F).5p,*,nan,8.0,12.974515,5.0
273,3p6.3d7.(2F).4s.4p.(3P*),4F*,nan,28.0,16.5450885,4.0
274,3p6.3d8.(1G).4d,2I,nan,26.0,15.0587635,4.0
275,3p6.3d8.(3F).9s,2F,nan,14.0,17.2372635,9.0
276,3p6.3d8.(3F<4>).6h,2[5]*,nan,22.0,16.656641,6.0
277,3p6.3d8.(3F).6d,4D,nan,18.0,16.121357,6.0
278,3p6.3d8.(1D).5p,2D*,nan,6.0,14.614362,5.0
279,3p6.3d7.(2F).4s.4p.(1P*),2G*,nan,10.0,17.171296,4.0
280,3p6.3d8.(1D<2>).4f,2[5]*,nan,22.0,16.492693000000003,4.0
281,3p6.3d8.(3F<4>).6h,2[4]*,nan,18.0,16.656371,6.0
282,3p6.3d8.(3F<3>).6g,2[1],nan,6.0,16.8224595,6.0
283,3p6.3d8.(3F<2>).5g,2[6],nan,26.0,16.269028,5.0
284,3p6.3d8.(3F<4>).5f,2[7]*,nan,30.0,15.971983,5.0
285,3p6.3d8.(3F).7d,2G,nan,18.0,16.91852,7.0
286,3p6.3d8.(3F<3>).6h,2[5]*,nan,22.0,16.82536,6.0
287,3p6.3d8.(1D).6s,2D,nan,10.0,16.232198,6.0
288,3p6.3d8.(3F).4p,2D*,nan,10.0,7.1989015,4.0
289,3p6.3d7.(4P).4s.4p.(1P*),4P*,nan,12.0,16.373385666666664,4.0
290,3p6.3d8.(3F<3>).5g,2[5],nan,22.0,16.158206,5.0
291,3p6.3d8.(3P).5p,2D*,nan,6.0,15.008369,5.0
292,3p6.3d8.(3F<4>).6g,2[0],nan,2.0,16.653572,6.0
293,3p6.3d8.(3F<4>).6g,2[6],nan,26.0,16.655621,6.0
294,3p6.3d8.(3F<4>).6g,2[2],nan,10.0,16.6540375,6.0
295,3p6.3d8.(3F<3>).4f,2[5]*,nan,22.0,14.9117635,4.0
296,3p6.3d8.(3F).7d,4P,nan,10.0,16.688858500000002,7.0
297,3p6.3d8.(3P).4p,4S*,nan,4.0,9.212141,4.0
298,3p6.3d8.(3F<4>).6g,2[8],nan,34.0,16.654191,6.0
299,3p6.3d8.(3F).9s,4F,nan,28.0,17.123993749999997,9.0
300,3p6.3d8.(1D).5d,2P,nan,6.0,16.6152845,5.0
301,3p6.3d8.(3F<3>).6f,2[6]*,nan,26.0,16.813032,6.0
302,3p6.3d8.(3F<4>).5f,2[3]*,nan,14.0,15.9741875,5.0
303,3p6.3d8.(3P).4d,2F,nan,8.0,14.40023,4.0
304,3p6.3d8.(3F).5d,nan,nan,12.0,14.9631555,5.0
305,3p6.3d8.(3F<4>).5f,2[4]*,nan,18.0,15.976660500000001,5.0
306,3p6.3d8.(3F<4>).4f,2[6]*,nan,26.0,14.7408675,4.0
307,3p6.3d8.(3F<2>).4f,2[4]*,nan,18.0,15.0243495,4.0
308,3p6.3d8.(3F<3>).5f,2[3]*,nan,14.0,16.145,5.0
309,3p6.3d8.(1D<2>).4f,2[4]*,nan,18.0,16.469112,4.0
310,3p6.3d8.(3P).4p,2S*,nan,2.0,9.209959,4.0
311,3p6.3d8.(3F).4d,4F,nan,22.0,12.439987666666667,4.0
312,3p6.3d8.(3F<2>).5f,2[1]*,nan,6.0,16.250586,5.0
313,3p6.3d8.(3F<3>).6f,2[3]*,nan,14.0,16.815557,6.0
314,3p6.3d8.(3F<3>).5g,2[4],nan,18.0,16.157739,5.0
315,3p6.3d8.(1D).4d,2G,nan,18.0,14.031946999999999,4.0
316,3p6.3d8.(3P).4d,4D,nan,20.0,14.24653225,4.0
317,3p6.3d8.(3F<3>).6g,2[3],nan,14.0,16.823348000000003,6.0
318,3p6.3d8.(3F<4>).5g,2[0],nan,2.0,15.986209,5.0
319,3p6.3d8.(3F).9p,4F*,nan,10.0,17.124931,9.0
320,3p6.3d8.(3F).5d,4P,nan,8.0,14.976699,5.0
321,3p6.3d8.(3F<4>).5g,2[7],nan,30.0,15.989094,5.0
322,3p6.3d7.(2H).4s.4p.(3P*),2G*,nan,18.0,15.098493000000001,4.0
323,3p6.3d8.(3F<4>).6f,2[2]*,nan,10.0,16.6455445,6.0
324,3p6.3d8.(3P<2>).4f,2[5]*,nan,22.0,16.807227500000003,4.0
325,3p6.3d8.(1D).5p,2F*,nan,14.0,14.688563,5.0
326,3p6.3d8.(1G).6s,2G,nan,18.0,17.3587135,6.0
327,3p6.3d8.(3F<3>).4f,2[1]*,nan,6.0,14.902201999999999,4.0
328,3p6.3d8.(3F).4d,2H,nan,22.0,12.418669000000001,4.0
329,3p6.3d8.(3P<0>).4f,2[3]*,nan,14.0,16.866606,4.0
330,3p6.3d8.(3F<3>).5f,2[6]*,nan,26.0,16.141033,5.0
331,3p6.3d8.(3F).8s,4F,nan,28.0,16.695242,8.0
332,3p6.3d8.(3F<3>).5f,2[2]*,nan,10.0,16.141603,5.0
333,3p6.3d8.(3F<4>).6h,2[7]*,nan,30.0,16.656823,6.0
