,Configuration,Term,J,g,Level (eV),nQua
0,3p6.3d7.(2G).4s.4p.(1P*),2G*,nan,18.0,16.603130999999998,4.0
1,3p6.3d8.(3F<2>).4f,2[3]*,nan,14.0,15.0260455,4.0
2,3p6.3d8.(3F<4>).6h,2[6]*,nan,26.0,16.656818,6.0
3,3p6.3d8.(3F<2>).6h,2[5]*,nan,22.0,16.938088,6.0
4,3p6.3d8.(3F<4>).7f,2[7]*,nan,16.0,17.050261,7.0
5,3p6.3d7.(2F).4s.4p.(3P*),2D*,nan,10.0,16.72224,4.0
6,3p6.3d8.(3F).4d,4H,nan,44.0,12.417283000000001,4.0
7,3p6.3d8.(3F<4>).4f,2[5]*,nan,22.0,14.745846499999999,4.0
8,3p6.3d8.(3F).5d,2P,nan,6.0,15.003492999999999,5.0
9,3p6.3d8.(3F<4>).5g,2[2],nan,10.0,15.987063,5.0
10,3p6.3d8.(3F<2>).5f,2[5]*,nan,22.0,16.253542500000002,5.0
11,3p6.3d8.(3F).5s,4F,nan,28.0,11.5176085,5.0
12,3p6.3d8.(3F<4>).4f,2[7]*,nan,30.0,14.732592,4.0
13,3p6.3d8.(3F).6d,4P,nan,12.0,16.096252,6.0
14,3p6.3d8.(3P).4s,2P,nan,6.0,3.6367285000000003,4.0
15,3p6.3d8.(3F<2>).6g,2[6],nan,26.0,16.9357455,6.0
16,3p6.3d8.(1D<2>).4f,2[2]*,nan,10.0,16.479987,4.0
17,3p6.3d8.(3F).7p,4G*,nan,12.0,16.199939,7.0
18,3p6.3d7.(4P).4s.4p.(3P*),4S*,nan,4.0,13.357786,4.0
19,3p6.3d8.(3F).6p,2G*,nan,10.0,15.30394,6.0
20,3p6.3d8.(3F<4>).6g,2[5],nan,22.0,16.655476999999998,6.0
21,3p6.3d7.4s2,2D2,nan,10.0,9.688616,4.0
22,3p6.3d8.(3F<4>).5f,2[5]*,nan,22.0,15.9773715,5.0
23,3p6.3d8.(1D).5p,*,nan,8.0,14.6429505,5.0
24,3p6.3d8.(3P).6s,4P,nan,12.0,16.569066666666668,6.0
25,3p6.3d8.(3F).4s,4F,nan,28.0,1.19345625,4.0
26,3p6.3d8.(1D).5p,2P*,nan,2.0,14.708487,5.0
27,3p6.3d8.(3F<3>).6h,2[6]*,nan,26.0,16.825407,6.0
28,3p6.3d8.(3P).5p,4S*,nan,4.0,15.058662,5.0
29,3p6.3d8.(1G).5p,2H*,nan,22.0,15.71735,5.0
30,3p6.3d8.(3F<4>).5g,2[8],nan,34.0,15.9872865,5.0
31,3p6.3d8.(3P).5d,nan,nan,8.0,16.963026499999998,5.0
32,3p6.3d8.(3P).5s,2P,nan,6.0,13.572894,5.0
33,3p6.3d8.(3F<4>).5g,2[4],nan,18.0,15.988800000000001,5.0
34,3p6.3d8.(3F<3>).5f,2[0]*,nan,2.0,16.136279,5.0
35,3p6.3d8.(3F).8d,4H,nan,26.0,17.077469999999998,8.0
36,3p6.3d8.(3F<3>).7f,2[6]*,nan,14.0,17.220033,7.0
37,3p6.3d8.(3F).4p,4G*,nan,36.0,6.69957925,4.0
38,3p6.3d8.(3P).5p,4D*,nan,20.0,15.0385165,5.0
39,3p6.3d8.(3F<4>).6f,2[1]*,nan,4.0,16.644844,6.0
40,3p6.3d8.(3F<4>).6g,2[1],nan,6.0,16.6537255,6.0
41,3p6.3d8.(3F<3>).6f,2[1]*,nan,6.0,16.813429499999998,6.0
42,3p6.3d7.4s2,4F,nan,28.0,6.5057772499999995,4.0
43,3p6.3d8.(3F<4>).7f,2[6]*,nan,26.0,17.051869500000002,7.0
44,3p6.3d8.(3F<2>).6f,2[4]*,nan,18.0,16.9293465,6.0
45,3p6.3d7.(4F).4s.4p.(3P*),6G*,nan,36.0,11.1641665,4.0
46,3p6.3d8.(3F).4d,4P,nan,12.0,12.394187,4.0
47,3p6.3d7.(2G).4s.4p.(3P*),4G*,nan,8.0,13.859424,4.0
48,3p6.3d8.(3F<2>).6f,2[3]*,nan,14.0,16.9297745,6.0
49,3p6.3d8.(3F).8d,4F,nan,18.0,17.080709,8.0
50,3p6.3d8.(3F).4d,2G,nan,18.0,12.471764499999999,4.0
51,3p6.3d7.(4F).4s.4p.(3P*),6D*,nan,18.0,10.9894865,4.0
52,3p6.3d8.(1D).4d,2P,nan,6.0,14.049503000000001,4.0
53,3p6.3d8.(3P).5d,4F,nan,24.0,16.939346333333333,5.0
54,3p6.3d8.(3F<4>).6f,2[5]*,nan,22.0,16.6490965,6.0
55,3p6.3d8.(3F).5p,2F*,nan,14.0,13.199374500000001,5.0
56,3p6.3d8.(3P).4d,4P,nan,12.0,14.436168666666665,4.0
57,3p6.3d8.(3F).4p,2G*,nan,18.0,6.9227235,4.0
58,3p6.3d8.(3F<2>).6h,2[7]*,nan,30.0,16.937473,6.0
59,3p6.3d8.(3F).6d,2D,nan,6.0,16.245899,6.0
60,3p6.3d8.(3F).4p,4F*,nan,28.0,6.895834499999999,4.0
61,3p6.3d8.(3P).5p,4P*,nan,12.0,14.889656,5.0
62,3p6.3d8.(3F<4>).7f,2[4]*,nan,18.0,17.051989499999998,7.0
63,3p6.3d8.(3F<4>).6g,2[3],nan,14.0,16.6544935,6.0
64,3p6.3d7.(4P).4s.4p.(3P*),6D*,nan,10.0,13.140031,4.0
65,3p6.3d8.(3P).4p,4P*,nan,12.0,8.273137666666665,4.0
66,3p6.3d8.(3F).4d,2F,nan,14.0,12.434866,4.0
67,3p6.3d8.(3F<4>).5f,2[6]*,nan,26.0,15.974912,5.0
68,3p6.3d8.(3F<2>).4f,2[1]*,nan,6.0,15.0103475,4.0
69,3p6.3d8.(3F).6d,4F,nan,28.0,16.15653075,6.0
70,3p6.3d8.(3F).4d,4D,nan,20.0,12.340008749999999,4.0
71,3p6.3d8.(3F<3>).6f,2[5]*,nan,22.0,16.8168145,6.0
72,3p6.3d8.(3F<3>).5g,2[7],nan,30.0,16.156221,5.0
73,3p6.3d8.(3F<3>).6h,2[3]*,nan,14.0,16.824661,6.0
74,3p6.3d8.(3F).7d,2F,nan,14.0,16.9179075,7.0
75,3p6.3d7.(4F).4s.4p.(3P*),4D*,nan,20.0,12.080151999999998,4.0
76,3p6.3d8.(3F<4>).6g,2[7],nan,30.0,16.6552165,6.0
77,3p6.3d8.(1G).5p,2G*,nan,18.0,15.856413,5.0
78,3p6.3d7.(2H).4s.4p.(3P*),2H*,nan,22.0,15.476663,4.0
79,3p6.3d8.(3F<3>).7g,2[7],nan,16.0,17.224964,7.0
80,3p6.3d8.(3F<4>).5g,2[5],nan,22.0,15.9895755,5.0
81,3p6.3d8.(3P).4p,2D*,nan,10.0,8.9359285,4.0
82,3p6.3d8.(1G).5p,2F*,nan,14.0,15.780161,5.0
83,3p6.3d8.(3F<2>).6g,2[5],nan,22.0,16.936785,6.0
84,3p6.3d8.(1G).4d,2F,nan,14.0,15.1364145,4.0
85,3p6.3d8.(3F<2>).5g,2[2],nan,10.0,16.268196,5.0
86,3p6.3d7.(2G).4s.4p.(3P*),2F*,nan,8.0,14.258214,4.0
87,3p6.3d8.(3F).4d,nan,nan,24.0,12.459775333333333,4.0
88,3p6.3d8.(1D).4p,2D*,nan,10.0,8.486115999999999,4.0
89,3p6.3d8.(3F<2>).6f,2[1]*,nan,6.0,16.9268475,6.0
90,3p6.3d8.(3F).7d,2D,nan,6.0,16.865748,7.0
91,3p6.3d8.(3F).5p,2D*,nan,10.0,13.2045225,5.0
92,3p6.3d8.(3F).7d,4G,nan,36.0,16.8047735,7.0
93,3p6.3d8.(3F).5d,4F,nan,22.0,15.015148000000002,5.0
94,3p6.3d8.(3F<4>).7g,2[8],nan,34.0,17.0562595,7.0
95,3p6.3d8.(3F<3>).6h,2[4]*,nan,18.0,16.825082,6.0
96,3p6.3d8.(3P).5d,4D,nan,20.0,16.89620825,5.0
97,3p6.3d8.(3F).6d,4G,nan,36.0,16.16177575,6.0
98,3p6.3d7.(a 2D).4s.4p.(3P*),4F*,nan,18.0,14.602,1.0
99,3p6.3d8.(3F<3>).6f,2[2]*,nan,10.0,16.814840500000003,6.0
100,3p6.3d8.(3F).6p,4F*,nan,10.0,15.180777,6.0
101,3p6.3d8.(3F<4>).6h,2[2]*,nan,10.0,16.655833,6.0
102,3p6.3d7.(2P).4s.4p.(1P*),2D*,nan,10.0,16.8444945,4.0
103,3p6.3d8.(3F).7p,4D*,nan,8.0,16.177526,7.0
104,3p6.3d8.(3F<3>).4f,2[6]*,nan,26.0,14.904731,4.0
105,3p6.3d8.(1D).4p,2P*,nan,6.0,8.5082465,4.0
106,3p6.3d8.(3F<4>).6f,2[6]*,nan,26.0,16.647471,6.0
107,Limit,nan,nan,0.0,18.168838,nan
108,3p6.3d8.(3F<3>).6g,2[5],nan,22.0,16.8241145,6.0
109,3p6.3d8.(3P).4p,4D*,nan,20.0,8.767823,4.0
110,3p6.3d8.(3F<2>).5g,2[4],nan,18.0,16.270797,5.0
111,3p6.3d8.(3F<3>).6g,2[2],nan,10.0,16.822845,6.0
112,3p6.3d8.(1D).4p,2F*,nan,14.0,8.4201295,4.0
113,3p6.3d8.(3P<2>).4f,2[4]*,nan,18.0,16.789687999999998,4.0
114,3p6.3d8.(3F<4>).6h,2[1]*,nan,6.0,16.655642,6.0
115,3p6.3d8.(3P).4p,2P*,nan,6.0,9.105951000000001,4.0
116,3p6.3d7.(4P).4s.4p.(3P*),6P*,nan,4.0,13.519093,4.0
117,3p6.3d8.(3F<3>).6g,2[6],nan,26.0,16.823915,6.0
118,3p6.3d8.(3F).5p,4F*,nan,20.0,13.073567666666667,5.0
119,3p6.3d8.(3F).8d,2H,nan,12.0,17.24658,8.0
120,3p6.3d8.(3F<2>).4f,2[2]*,nan,10.0,15.0212305,4.0
121,3p6.3d8.(1D).4s,2D,nan,10.0,3.027233,4.0
122,3p6.3d7.(2G).4s.4p.(1P*),2F*,nan,14.0,16.575336999999998,4.0
123,3p6.3d8.(3F).7s,2F,nan,14.0,16.0874445,7.0
124,3p6.3d8.(3F<4>).6f,2[3]*,nan,14.0,16.647844499999998,6.0
125,3p6.3d8.(3F<4>).5f,2[2]*,nan,10.0,15.970742999999999,5.0
126,3p6.3d8.(3F).4p,2F*,nan,14.0,7.16466,4.0
