,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
170,2s.2p.(3P*).5s,4P*,5/2,6.0,49.7243,,,5
171,2s.2p.(3P*).5p,2P,1/2,2.0,49.91909,,,5
172,2s.2p.(3P*).5p,2P,3/2,4.0,49.92913,,,5
173,2s.2p.(3P*).5p,2D,3/2,4.0,50.35791,,,5
174,2s.2p.(3P*).5p,2D,5/2,6.0,50.37075,,,5
175,2s.2p.(3P*).5p,2S,1/2,2.0,50.6014,,,5
176,2s.2p.(3P*).5d,4D*,3/2,4.0,50.70417,,,5
177,2s.2p.(3P*).5d,4D*,5/2,6.0,50.70683,,,5
178,2s.2p.(3P*).5d,4D*,7/2,8.0,50.71261,,,5
179,2s.2p.(3P*).5d,4P*,5/2,6.0,50.75805,,,5
180,2s.2p.(3P*).5d,4P*,3/2,4.0,50.76481,,,5
181,2s.2p.(3P*).5d,4P*,1/2,2.0,50.76982,,,5
182,2p2.(3P).3d,4P,5/2,6.0,50.80109,,,3
183,2p2.(3P).3d,4P,3/2,4.0,50.81125,,,3
184,2p2.(3P).3d,4P,1/2,2.0,50.81737,,,3
185,2s.2p.(3P*).5d,2F*,5/2,6.0,50.88028,,,5
186,2s.2p.(3P*).5d,2P*,3/2,4.0,50.94004,,,5
187,2s.2p.(3P*).5d,2P*,1/2,2.0,50.94845,,,5
188,2p2.(3P).3p,2D*,5/2,6.0,51.5375,,,3
189,2p2.(3P).3p,2D*,3/2,4.0,51.53771,,,3
190,2s.2p.(3P*).6s,4P*,3/2,4.0,51.71268,,,6
191,2s.2p.(3P*).6s,4P*,5/2,6.0,51.7268,,,6
192,2p2.(3P).3p,4D*,1/2,2.0,52.03621,,,3
193,2p2.(3P).3p,4D*,3/2,4.0,52.04083,,,3
194,2p2.(3P).3p,4D*,5/2,6.0,52.04865,,,3
195,2p2.(3P).3p,4D*,7/2,8.0,52.05746,,,3
196,2s.2p.(3P*).6p,2P,1/2,2.0,52.08652,,,6
197,2s.2p.(3P*).6p,2P,3/2,4.0,52.09548,,,6
198,2s.2p.(3P*).6p,2D,3/2,4.0,52.19684,,,6
199,2s.2p.(3P*).6p,2D,5/2,6.0,52.21122,,,6
200,2s.2p.(3P*).6d,4D*,3/2,4.0,52.29582,,,6
201,2s.2p.(3P*).6d,4D*,7/2,8.0,52.29582,,,6
202,2s.2p.(3P*).6d,4D*,1/2,2.0,52.29582,,,6
203,2s.2p.(3P*).6d,4D*,5/2,6.0,52.29582,,,6
204,2s.2p.(3P*).6d,4P*,5/2,6.0,52.29582,,,6
205,2s.2p.(3P*).6d,4P*,3/2,4.0,52.30189,,,6
206,2s.2p.(3P*).6d,4P*,1/2,2.0,52.30487,,,6
207,2s.2p.(3P*).6d,2F*,5/2,6.0,52.37813,,,6
208,2s.2p.(3P*).6d,2F*,7/2,8.0,52.39076,,,6
209,2s.2p.(3P*).6d,2P*,3/2,4.0,52.4173,,,6
210,2s.2p.(3P*).6d,2P*,1/2,2.0,52.42518,,,6
211,2p2.(3P).3p,4P*,3/2,4.0,52.42994,,,3
212,2p2.(3P).3p,4P*,5/2,6.0,52.43624,,,3
213,2s.2p.(3P*).7s,4P*,3/2,4.0,52.91166,,,7
214,2s.2p.(3P*).7s,4P*,5/2,6.0,52.92385,,,7
215,2s.2p.(3P*).7p,2P,1/2,2.0,53.07088,,,7
216,2s.2p.(3P*).7p,2P,3/2,4.0,53.07525,,,7
217,2s.2p.(3P*).7p,2D,3/2,4.0,53.13639,,,7
218,2s.2p.(3P*).7p,2D,5/2,6.0,53.14983,,,7
219,2s.2p.(3P*).7d,4D*,3/2,4.0,53.24041,,,7
220,2s.2p.(3P*).7d,4D*,7/2,8.0,53.24041,,,7
221,2s.2p.(3P*).7d,4D*,1/2,2.0,53.24041,,,7
222,2s.2p.(3P*).7d,4D*,5/2,6.0,53.24041,,,7
223,2s.2p.(3P*).7d,4P*,1/2,2.0,53.24951,,,7
224,2s.2p.(3P*).7d,4P*,5/2,6.0,53.24951,,,7
225,2s.2p.(3P*).7d,4P*,3/2,4.0,53.24951,,,7
226,2s.2p.(3P*).7d,2F*,5/2,6.0,53.28337,,,7
227,2s.2p.(3P*).7d,2F*,7/2,8.0,53.29582,,,7
228,2s.2p.(3P*).7d,2P*,3/2,4.0,53.31055,,,7
229,2s.2p.(3P*).7d,2P*,1/2,2.0,53.3182,,,7
230,2p2.(3P).3p,4S*,3/2,4.0,53.31642,,,3
231,2s.2p.(3P*).8p,2P,1/2,2.0,53.72188,,,8
232,2s.2p.(3P*).8p,2P,3/2,4.0,53.72677,,,8
233,2s.2p.(3P*).8p,2D,3/2,4.0,53.76802,,,8
234,2s.2p.(3P*).8p,2D,5/2,6.0,53.78149,,,8
235,2s.2p.(3P*).8d,4D*,5/2,6.0,53.84649,,,8
236,2s.2p.(3P*).8d,4D*,3/2,4.0,53.84649,,,8
237,2s.2p.(3P*).8d,4D*,7/2,8.0,53.84649,,,8
238,2s.2p.(3P*).8d,4D*,1/2,2.0,53.84649,,,8
239,2s.2p.(3P*).8d,4P*,3/2,4.0,53.85335,,,8
240,2s.2p.(3P*).8d,4P*,1/2,2.0,53.85335,,,8
241,2s.2p.(3P*).8d,4P*,5/2,6.0,53.85335,,,8
242,2s.2p.(3P*).8d,2F*,5/2,6.0,53.86774,,,8
243,2s.2p.(3P*).8d,2P*,3/2,4.0,53.8924,,,8
244,2s.2p.(3P*).8d,2P*,1/2,2.0,53.89984,,,8
245,2s.2p.(3P*).9p,2D,3/2,4.0,54.19789,,,9
246,2s.2p.(3P*).9p,2D,5/2,6.0,54.2129,,,9
247,2s.2p.(3P*).9d,4D*,1/2,2.0,54.26549,,,9
248,2s.2p.(3P*).9d,4D*,5/2,6.0,54.26549,,,9
249,2s.2p.(3P*).9d,4D*,3/2,4.0,54.26549,,,9
250,2s.2p.(3P*).9d,4D*,7/2,8.0,54.26549,,,9
251,2s.2p.(3P*).9d,4P*,3/2,4.0,54.27392,,,9
252,2s.2p.(3P*).9d,4P*,1/2,2.0,54.27392,,,9
253,2s.2p.(3P*).9d,4P*,5/2,6.0,54.27392,,,9
254,2s.2p.(3P*).9d,2P*,3/2,4.0,54.29288,,,9
255,2s.2p.(3P*).9d,2P*,1/2,2.0,54.29908,,,9
256,2s.2p.(3P*).10p,2D,3/2,4.0,54.50358,,,10
257,2s.2p.(3P*).10p,2D,5/2,6.0,54.5166,,,10
258,2s.2p.(3P*).10d,4D*,5/2,6.0,54.56004,,,10
259,2s.2p.(3P*).10d,4D*,3/2,4.0,54.56004,,,10
260,2s.2p.(3P*).10d,4D*,7/2,8.0,54.56004,,,10
261,2s.2p.(3P*).10d,4D*,1/2,2.0,54.56004,,,10
262,2s.2p.(1P*).4p,2D,3/2,4.0,54.65904,,,4
263,2s.2p.(1P*).4p,2D,5/2,6.0,54.66189,,,4
264,2p2.(3P).3p,2S*,1/2,2.0,54.68033,,,3
265,2s.2p.(3P*).11p,2D,5/2,6.0,54.756,,,11
266,2s.2p.(3P*).11d,4D*,3/2,4.0,54.77752,,,11
267,2s.2p.(3P*).11d,4D*,7/2,8.0,54.77752,,,11
268,2s.2p.(3P*).11d,4D*,1/2,2.0,54.77752,,,11
269,2s.2p.(3P*).11d,4D*,5/2,6.0,54.77752,,,11
270,2s.2p.(1P*).4p,2P,1/2,2.0,54.8523,,,4
271,2s.2p.(1P*).4p,2P,3/2,4.0,54.8523,,,4
272,2s.2p.(3P*).12p,2D,5/2,6.0,54.9215,,,12
273,2s.2p.(3P*).12d,4D*,3/2,4.0,54.94323,,,12
274,2s.2p.(3P*).12d,4D*,7/2,8.0,54.94323,,,12
275,2s.2p.(3P*).12d,4D*,1/2,2.0,54.94323,,,12
276,2s.2p.(3P*).12d,4D*,5/2,6.0,54.94323,,,12
277,2s.2p.(3P*).13p,2D,5/2,6.0,55.0518,,,13
278,2s.2p.(3P*).13d,4D*,7/2,8.0,55.07092,,,13
279,2s.2p.(3P*).13d,4D*,1/2,2.0,55.07092,,,13
280,2s.2p.(3P*).13d,4D*,5/2,6.0,55.07092,,,13
281,2s.2p.(3P*).13d,4D*,3/2,4.0,55.07092,,,13
282,2s.2p.(3P*).14p,2D,5/2,6.0,55.157,,,14
283,2s.2p.(3P*).14d,4D*,5/2,6.0,55.17244,,,14
284,2s.2p.(3P*).14d,4D*,3/2,4.0,55.17244,,,14
285,2s.2p.(3P*).14d,4D*,7/2,8.0,55.17244,,,14
286,2s.2p.(3P*).14d,4D*,1/2,2.0,55.17244,,,14
287,2s.2p.(3P*).15d,4D*,3/2,4.0,55.25662,,,15
288,2s.2p.(3P*).15d,4D*,7/2,8.0,55.25662,,,15
289,2s.2p.(3P*).15d,4D*,1/2,2.0,55.25662,,,15
290,2s.2p.(3P*).15d,4D*,5/2,6.0,55.25662,,,15
291,2s.2p.(1P*).4d,2F*,7/2,8.0,55.5605,,,4
292,2s.2p.(1P*).4d,2F*,5/2,6.0,55.5605,,,4
293,2s.2p.(1P*).4d,2D*,5/2,6.0,55.641,,,4
294,2s.2p.(1P*).4d,2D*,3/2,4.0,55.641,,,4
295,2s.2p.(1P*).5p,2D,5/2,6.0,58.1093,,,5
296,2s.2p.(1P*).5p,2D,3/2,4.0,58.1093,,,5
297,2s.2p.(1P*).5p,2P,3/2,4.0,58.1854,,,5
298,2s.2p.(1P*).5p,2P,1/2,2.0,58.1854,,,5
299,2p2.(3P).4p,4D*,3/2,4.0,60.2064,,,4
300,2p2.(3P).4p,4D*,5/2,6.0,60.21527,,,4
301,2p2.(3P).4p,4D*,7/2,8.0,60.2303,,,4
302,2p2.(3P).4p,4P*,3/2,4.0,60.35325,,,4
303,2p2.(3P).4p,4P*,1/2,2.0,60.35325,,,4
304,2p2.(3P).4p,4P*,5/2,6.0,60.35325,,,4
305,2p2.(3P).4p,4S*,3/2,4.0,60.65543,,,4
306,2p2.(3P).5p,4D*,1/2,2.0,63.6782,,,5
307,2p2.(3P).5p,4D*,5/2,6.0,63.6782,,,5
308,2p2.(3P).5p,4D*,3/2,4.0,63.6782,,,5
309,2p2.(3P).5p,4D*,7/2,8.0,63.6782,,,5
310,2p2.(3P).5p,4P*,3/2,4.0,63.73477,,,5
311,2p2.(3P).5p,4P*,1/2,2.0,63.73477,,,5
312,2p2.(3P).5p,4P*,5/2,6.0,63.73477,,,5
313,2p2.(3P).5p,4S*,3/2,4.0,63.87295,,,5
314,2p2.(3P).6p,4D*,1/2,2.0,65.4629,,,6
315,2p2.(3P).6p,4D*,5/2,6.0,65.4629,,,6
316,2p2.(3P).6p,4D*,3/2,4.0,65.4629,,,6
317,2p2.(3P).6p,4D*,7/2,8.0,65.4629,,,6
318,2p2.(3P).6p,4P*,3/2,4.0,65.49204,,,6
319,2p2.(3P).6p,4P*,1/2,2.0,65.49204,,,6
320,2p2.(3P).6p,4P*,5/2,6.0,65.49204,,,6
321,2p2.(3P).6p,4S*,3/2,4.0,65.56691,,,6
322,2p2.(3P).7p,4D*,1/2,2.0,66.5071,,,7
323,2p2.(3P).7p,4D*,5/2,6.0,66.5071,,,7
324,2p2.(3P).7p,4D*,3/2,4.0,66.5071,,,7
325,2p2.(3P).7p,4D*,7/2,8.0,66.5071,,,7
326,2p2.(3P).7p,4P*,3/2,4.0,66.52419,,,7
327,2p2.(3P).7p,4P*,1/2,2.0,66.52419,,,7
328,2p2.(3P).7p,4P*,5/2,6.0,66.52419,,,7
329,2p2.(3P).7p,4S*,3/2,4.0,66.56978,,,7
330,Limit,NaN,NaN,NaN,47.4453,0.0025,NaN,NaN
