,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,2s2.2p,2P*,1/2,2.0,0.0,,L7288,2
1,2s2.2p,2P*,3/2,4.0,0.02162,,,2
2,2s.2p2,4P,1/2,2.0,7.0903,,,2
3,2s.2p2,4P,3/2,4.0,7.0977,,,2
4,2s.2p2,4P,5/2,6.0,7.10775,,,2
5,2s.2p2,2D,5/2,6.0,12.52537,,,2
6,2s.2p2,2D,3/2,4.0,12.5262,,,2
7,2s.2p2,2S,1/2,2.0,16.24246,,,2
8,2s.2p2,2P,1/2,2.0,18.08628,,,2
9,2s.2p2,2P,3/2,4.0,18.09993,,,2
10,2p3,4S*,3/2,4.0,23.15989,,,2
11,2p3,2D*,5/2,6.0,25.17804,,,2
12,2p3,2D*,3/2,4.0,25.17981,,,2
13,2s2.3s,2S,1/2,2.0,27.43798,,,3
14,2p3,2P*,1/2,2.0,28.56649,,,2
15,2p3,2P*,3/2,4.0,28.56703,,,2
16,2s2.3p,2P*,1/2,2.0,30.45863,,,3
17,2s2.3p,2P*,3/2,4.0,30.46308,,,3
18,2s2.3d,2D,3/2,4.0,33.13334,,,3
19,2s2.3d,2D,5/2,6.0,33.13403,,,3
20,2s.2p.(3P*).3s,4P*,1/2,2.0,35.6491,,,3
21,2s.2p.(3P*).3s,4P*,3/2,4.0,35.6568,,,3
22,2s.2p.(3P*).3s,4P*,5/2,6.0,35.67111,,,3
23,2s.2p.(3P*).3s,2P*,1/2,2.0,36.84205,,,3
24,2s.2p.(3P*).3s,2P*,3/2,4.0,36.85609,,,3
25,2s2.4s,2S,1/2,2.0,37.32948,,,4
26,2s.2p.(3P*).3p,2P,1/2,2.0,38.32738,,,3
27,2s.2p.(3P*).3p,2P,3/2,4.0,38.33408,,,3
28,2s.2p.(3P*).3p,4D,1/2,2.0,38.39248,,,3
29,2s.2p.(3P*).3p,4D,3/2,4.0,38.39689,,,3
30,2s.2p.(3P*).3p,4D,5/2,6.0,38.40454,,,3
31,2s.2p.(3P*).3p,4D,7/2,8.0,38.41648,,,3
32,2s2.4p,2P*,1/2,2.0,38.64467,,,4
33,2s2.4p,2P*,3/2,4.0,38.64776,,,4
34,2s.2p.(3P*).3p,4S,3/2,4.0,38.95798,,,3
35,2s.2p.(3P*).3p,4P,1/2,2.0,39.33939,,,3
36,2s.2p.(3P*).3p,4P,3/2,4.0,39.34467,,,3
37,2s.2p.(3P*).3p,4P,5/2,6.0,39.35199,,,3
38,2s2.4d,2D,3/2,4.0,39.39569,,,4
39,2s2.4d,2D,5/2,6.0,39.39964,,,4
40,2s2.4f,2F*,5/2,6.0,39.71055,,,4
41,2s2.4f,2F*,7/2,8.0,39.71069,,,4
42,2s.2p.(3P*).3p,2D,3/2,4.0,39.79622,,,3
43,2s.2p.(3P*).3p,2D,5/2,6.0,39.80721,,,3
44,2s.2p.(3P*).3p,2S,1/2,2.0,40.55002,,,3
45,2s.2p.(3P*).3d,4F*,3/2,4.0,40.94356,,,3
46,2s.2p.(3P*).3d,4F*,5/2,6.0,40.94783,,,3
47,2s.2p.(3P*).3d,4F*,7/2,8.0,40.95427,,,3
48,2s.2p.(3P*).3d,4F*,9/2,10.0,40.96313,,,3
49,2s.2p.(3P*).3d,4D*,1/2,2.0,41.26086,,,3
50,2s.2p.(3P*).3d,4D*,3/2,4.0,41.26249,,,3
51,2s.2p.(3P*).3d,4D*,5/2,6.0,41.26516,,,3
52,2s.2p.(3P*).3d,4D*,7/2,8.0,41.26864,,,3
53,2s2.5s,2S,1/2,2.0,41.37501,,,5
54,2s.2p.(3P*).3d,2D*,3/2,4.0,41.4777,,,3
55,2s.2p.(3P*).3d,2D*,5/2,6.0,41.48118,,,3
56,2s.2p.(3P*).3d,4P*,5/2,6.0,41.68434,,,3
57,2s.2p.(3P*).3d,4P*,3/2,4.0,41.69112,,,3
58,2s.2p.(3P*).3d,4P*,1/2,2.0,41.69546,,,3
59,2s2.5p,2P*,1/2,2.0,41.92574,,,5
60,2s2.5p,2P*,3/2,4.0,41.92676,,,5
61,2s.2p.(3P*).3d,2F*,5/2,6.0,42.12296,,,3
62,2s.2p.(3P*).3d,2F*,7/2,8.0,42.13671,,,3
63,2s2.5d,2D,3/2,4.0,42.39611,,,5
64,2s2.5d,2D,5/2,6.0,42.39625,,,5
65,2s.2p.(3P*).3d,2P*,3/2,4.0,42.48833,,,3
66,2s.2p.(3P*).3d,2P*,1/2,2.0,42.49713,,,3
67,2s2.5f,2F*,5/2,6.0,42.49548,,,5
68,2s2.5f,2F*,7/2,8.0,42.4956,,,5
69,2s2.5g,2G,9/2,10.0,42.5411,,,5
70,2s2.5g,2G,7/2,8.0,42.5411,,,5
71,2s2.6s,2S,1/2,2.0,43.37275,,,6
72,2s.2p.(1P*).3s,2P*,1/2,2.0,43.82105,,,3
73,2s.2p.(1P*).3s,2P*,3/2,4.0,43.82129,,,3
74,2s2.6d,2D,5/2,6.0,43.95618,,,6
75,2s2.6d,2D,3/2,4.0,43.95618,,,6
76,2s2.6f,2F*,5/2,6.0,44.0087,,,6
77,2s2.6f,2F*,7/2,8.0,44.0087,,,6
78,2s2.6g,2G,9/2,10.0,44.04121,,,6
79,2s2.6g,2G,7/2,8.0,44.04121,,,6
80,2s2.6h,2H*,11/2,12.0,44.04599,,,6
81,2s2.6h,2H*,9/2,10.0,44.04599,,,6
82,2s2.7s,2S,1/2,2.0,44.52869,,,7
83,2s2.7d,2D,5/2,6.0,44.8905,,,7
84,2s2.7d,2D,3/2,4.0,44.8905,,,7
85,2s2.7f,2F*,7/2,8.0,44.92207,,,7
86,2s2.7f,2F*,5/2,6.0,44.92207,,,7
87,2s2.7g,2G,7/2,8.0,44.9457,,,7
88,2s2.7g,2G,9/2,10.0,44.9457,,,7
89,2s2.7h,2H*,9/2,10.0,44.94888,,,7
90,2s2.7h,2H*,11/2,12.0,44.94888,,,7
91,2s2.8s,2S,1/2,2.0,45.25351,,,8
92,2s2.8d,2D,3/2,4.0,45.495,0.012,,8
93,2s2.8d,2D,5/2,6.0,45.495,0.012,,8
94,2s.2p.(3P*).4s,4P*,1/2,2.0,45.68996,,,4
95,2s.2p.(3P*).4s,4P*,3/2,4.0,45.69789,,,4
96,2s.2p.(3P*).4s,4P*,5/2,6.0,45.71252,,,4
97,2s2.9s,2S,1/2,2.0,45.737,,,9
98,2s2.9d,2D,3/2,4.0,45.9075,,,9
99,2s2.9d,2D,5/2,6.0,45.9075,,,9
100,2s.2p.(3P*).4p,2S,1/2,2.0,45.9194,,,4
101,2s2.10s,2S,1/2,2.0,46.07834,,,10
102,2s2.10d,2D,5/2,6.0,46.2028,,,10
103,2s2.10d,2D,3/2,4.0,46.2028,,,10
104,2s.2p.(1P*).3p,2D,3/2,4.0,46.28902,,,3
105,2s.2p.(1P*).3p,2D,5/2,6.0,46.29269,,,3
106,2s2.11s,2S,1/2,2.0,46.32119,,,11
107,2s2.11d,2D,5/2,6.0,46.423,,,11
108,2s2.11d,2D,3/2,4.0,46.423,,,11
109,2s.2p.(3P*).4p,2P,1/2,2.0,46.46263,,,4
110,2s.2p.(3P*).4p,2P,3/2,4.0,46.46987,,,4
111,2s2.12s,2S,1/2,2.0,46.50345,,,12
112,2s2.12d,2D,5/2,6.0,46.5876,,,12
113,2s2.12d,2D,3/2,4.0,46.5876,,,12
114,2s2.13s,2S,1/2,2.0,46.63609,,,13
115,2s.2p.(3P*).4p,4D,1/2,2.0,46.7111,,,4
116,2s.2p.(3P*).4p,4D,3/2,4.0,46.71671,,,4
117,2s.2p.(3P*).4p,4D,5/2,6.0,46.72429,,,4
118,2s.2p.(3P*).4p,4D,7/2,8.0,46.73525,,,4
119,2s2.14s,2S,1/2,2.0,46.74835,,,14
120,2s.2p.(1P*).3p,2P,1/2,2.0,46.81369,,,3
121,2s.2p.(1P*).3p,2P,3/2,4.0,46.81783,,,3
122,2s.2p.(3P*).4p,4S,3/2,4.0,46.91969,,,4
123,2s.2p.(3P*).4p,4P,1/2,2.0,47.02722,,,4
124,2s.2p.(3P*).4p,4P,3/2,4.0,47.03276,,,4
125,2s.2p.(3P*).4p,4P,5/2,6.0,47.03931,,,4
126,2s.2p.(3P*).4p,2D,3/2,4.0,47.289,,,4
127,2s.2p.(3P*).4p,2D,5/2,6.0,47.30181,,,4
128,2s.2p.(3P*).4d,4F*,5/2,6.0,47.6113,,,4
129,2s.2p.(3P*).4d,4F*,7/2,8.0,47.617,,,4
130,2s.2p.(3P*).4d,4F*,9/2,10.0,47.6265,,,4
131,2s.2p.(3P*).4d,2D*,3/2,4.0,47.7495,,,4
132,2s.2p.(3P*).4d,2D*,5/2,6.0,47.7495,,,4
133,2s.2p.(3P*).4d,4D*,3/2,4.0,47.77,,,4
134,2s.2p.(3P*).4d,4D*,5/2,6.0,47.7733,,,4
135,2s.2p.(3P*).4d,4D*,7/2,8.0,47.7769,,,4
136,2s.2p.(3P*).4d,4P*,5/2,6.0,47.88737,,,4
137,2s.2p.(3P*).4d,4P*,3/2,4.0,47.89408,,,4
138,2s.2p.(3P*).4d,4P*,1/2,2.0,47.89811,,,4
139,2s.2p.(3P*).4f,2F,5/2,6.0,47.97611,,,4
140,2s.2p.(3P*).4f,2F,7/2,8.0,47.97903,,,4
141,2s.2p.(3P*).4f,4F,3/2,4.0,47.97836,,,4
142,2s.2p.(3P*).4f,4F,5/2,6.0,47.97975,,,4
143,2s.2p.(3P*).4f,4F,7/2,8.0,47.982,,,4
144,2s.2p.(3P*).4f,4F,9/2,10.0,47.98351,,,4
145,2s.2p.(3P*).4d,2F*,5/2,6.0,48.07061,,,4
146,2s.2p.(3P*).4d,2F*,7/2,8.0,48.0832,,,4
147,2s.2p.(3P*).4f,4G,5/2,6.0,48.11096,,,4
148,2s.2p.(3P*).4f,4G,7/2,8.0,48.11454,,,4
149,2s.2p.(3P*).4f,4G,9/2,10.0,48.12122,,,4
150,2s.2p.(3P*).4f,4G,11/2,12.0,48.13027,,,4
151,2s.2p.(3P*).4f,2G,7/2,8.0,48.12796,,,4
152,2s.2p.(3P*).4f,2G,9/2,10.0,48.14051,,,4
153,2s.2p.(3P*).4f,4D,7/2,8.0,48.13969,,,4
154,2s.2p.(3P*).4f,4D,5/2,6.0,48.14422,,,4
155,2s.2p.(3P*).4f,4D,3/2,4.0,48.15011,,,4
156,2s.2p.(3P*).4f,4D,1/2,2.0,48.1537,,,4
157,2s.2p.(3P*).4f,2D,5/2,6.0,48.15244,,,4
158,2s.2p.(3P*).4f,2D,3/2,4.0,48.16072,,,4
159,2s.2p.(3P*).4d,2P*,3/2,4.0,48.24002,,,4
160,2s.2p.(3P*).4d,2P*,1/2,2.0,48.2487,,,4
161,2s.2p.(1P*).3d,2F*,7/2,8.0,48.9699,,,3
162,2s.2p.(1P*).3d,2F*,5/2,6.0,48.9699,,,3
163,2s.2p.(1P*).3d,2D*,3/2,4.0,49.16902,,,3
164,2s.2p.(1P*).3d,2D*,5/2,6.0,49.17025,,,3
165,2p2.(3P).3s,4P,1/2,2.0,49.66388,,,3
166,2p2.(3P).3s,4P,3/2,4.0,49.67215,,,3
167,2p2.(3P).3s,4P,5/2,6.0,49.68446,,,3
168,2s.2p.(3P*).5s,4P*,1/2,2.0,49.70062,,,5
169,2s.2p.(3P*).5s,4P*,3/2,4.0,49.70951,,,5
