,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,2p6.3s,2S,1/2,2.0,0.0,,                                                                                              ,L13237,3
1,2p6.3p,2P*,1/2,2.0,2.102297177,5e-09,                                                                                              ,,3
2,2p6.3p,2P*,3/2,4.0,2.104429202,6e-09,                                                                                              ,,3
3,2p6.4s,2S,1/2,2.0,3.1913531,4e-07,                                                                                              ,,4
4,2p6.3d,2D,5/2,6.0,3.61697081,2.5e-07,                                                                                              ,,3
5,2p6.3d,2D,3/2,4.0,3.61697701,2.5e-07,                                                                                              ,,3
6,2p6.4p,2P*,1/2,2.0,3.7526285,2.5e-06,                                                                                              ,,4
7,2p6.4p,2P*,3/2,4.0,3.7533216,2.5e-06,                                                                                              ,,4
8,2p6.5s,2S,1/2,2.0,4.11635883,2.5e-07,                                                                                              ,,5
9,2p6.4d,2D,5/2,6.0,4.28349647,2.5e-07,                                                                                              ,,4
10,2p6.4d,2D,3/2,4.0,4.28350081,2.5e-07,                                                                                              ,,4
11,2p6.4f,2F*,7/2,8.0,4.2882316,2.5e-06,                                                                                              ,,4
12,2p6.4f,2F*,5/2,6.0,4.2882316,2.5e-06,                                                                                              ,,4
13,2p6.5p,2P*,1/2,2.0,4.3444534,2.5e-06,                                                                                              ,,5
14,2p6.5p,2P*,3/2,4.0,4.3447597,2.5e-06,                                                                                              ,,5
15,2p6.6s,2S,1/2,2.0,4.50962989,2.5e-07,                                                                                              ,,6
16,2p6.5d,2D,5/2,6.0,4.59197201,2.5e-07,                                                                                              ,,5
17,2p6.5d,2D,3/2,4.0,4.59197449,2.5e-07,                                                                                              ,,5
18,2p6.5f,2F*,5/2,6.0,4.594563,2.5e-06,                                                                                              ,,5
19,2p6.5f,2F*,7/2,8.0,4.594563,2.5e-06,                                                                                              ,,5
20,2p6.5g,2G,"7/2,9/2",18.0,4.594797,9e-06,                                                                                              ,,5
21,2p6.6p,2P*,1/2,2.0,4.6241543,2.5e-06,                                                                                              ,,6
22,2p6.6p,2P*,3/2,4.0,4.6243143,2.5e-06,                                                                                              ,,6
23,2p6.7s,2S,1/2,2.0,4.71289256,2.5e-07,                                                                                              ,,7
24,2p6.6d,2D,5/2,6.0,4.75941304,2.5e-07,                                                                                              ,,6
25,2p6.6d,2D,3/2,4.0,4.75941465,2.5e-07,                                                                                              ,,6
26,2p6.6f,2F*,5/2,6.0,4.7609672,2.5e-06,                                                                                              ,,6
27,2p6.6f,2F*,7/2,8.0,4.7609672,2.5e-06,                                                                                              ,,6
28,2p6.6g,2G,7/2,8.0,4.76110481,2.5e-07,                                                                                              ,,6
29,2p6.6g,2G,9/2,10.0,4.7611053,2.5e-07,                                                                                              ,,6
30,2p6.6h,2H*,11/2,12.0,4.76113543,2.5e-07,                                                                                              ,,6
31,2p6.6h,2H*,9/2,10.0,4.76113617,2.5e-07,                                                                                              ,,6
32,2p6.7p,2P*,1/2,2.0,4.7783733,2.5e-06,                                                                                              ,,7
33,2p6.7p,2P*,3/2,4.0,4.7784663,2.5e-06,                                                                                              ,,7
34,2p6.8s,2S,1/2,2.0,4.8314795,2.5e-06,                                                                                              ,,8
35,2p6.7d,2D,3/2,4.0,4.8602959,2.5e-06,                                                                                              ,,7
36,2p6.7d,2D,5/2,6.0,4.8602959,2.5e-06,                                                                                              ,,7
37,2p6.7f,2F*,5/2,6.0,4.861294,2.5e-06,                                                                                              ,,7
38,2p6.7f,2F*,7/2,8.0,4.861294,2.5e-06,                                                                                              ,,7
39,2p6.7g,2G,"7/2,9/2",18.0,4.86138632,2.5e-07,                                                                                              ,,7
40,2p6.7h,2H*,"9/2,11/2",22.0,4.86140641,2.5e-07,                                                                                              ,,7
41,2p6.8p,2P*,1/2,2.0,4.8723744,2.5e-06,                                                                                              ,,8
42,2p6.8p,2P*,3/2,4.0,4.8724352,2.5e-06,                                                                                              ,,8
43,2p6.9s,2S,1/2,2.0,4.9066561,2.5e-06,                                                                                              ,,9
44,2p6.8d,2D,5/2,6.0,4.925731,2.5e-06,                                                                                              ,,8
45,2p6.8d,2D,3/2,4.0,4.925731,2.5e-06,                                                                                              ,,8
46,2p6.8f,2F*,7/2,8.0,4.926408,2.5e-06,                                                                                              ,,8
47,2p6.8f,2F*,5/2,6.0,4.926408,2.5e-06,                                                                                              ,,8
48,2p6.8g,2G,"7/2,9/2",18.0,4.9264722,2.5e-07,                                                                                              ,,8
49,2p6.8h,2H*,"9/2,11/2",22.0,4.92648609,2.5e-07,                                                                                              ,,8
50,2p6.9p,2P*,1/2,2.0,4.93388658,2.5e-07,                                                                                              ,,9
51,2p6.9p,2P*,3/2,4.0,4.93392762,2.5e-07,                                                                                              ,,9
52,2p6.10s,2S,1/2,2.0,4.9572937,2.5e-06,                                                                                              ,,10
53,2p6.9d,2D,3/2,4.0,4.970565,2.5e-06,                                                                                              ,,9
54,2p6.9d,2D,5/2,6.0,4.970565,2.5e-06,                                                                                              ,,9
55,2p6.9f,2F*,5/2,6.0,4.971046,2.5e-06,                                                                                              ,,9
56,2p6.9f,2F*,7/2,8.0,4.971046,2.5e-06,                                                                                              ,,9
57,2p6.9g,2G,"7/2,9/2",18.0,4.97109449,2.5e-07,                                                                                              ,,9
58,2p6.9h,2H*,"9/2,11/2",22.0,4.97110428,2.5e-07,                                                                                              ,,9
59,2p6.10p,2P*,1/2,2.0,4.97633022,2.5e-07,                                                                                              ,,10
60,2p6.10p,2P*,3/2,4.0,4.9763591,2.5e-07,                                                                                              ,,10
61,2p6.11s,2S,1/2,2.0,4.99301675,2.5e-07,                                                                                              ,,11
62,2p6.10d,2D,5/2,6.0,5.00262788,2.5e-07,                                                                                              ,,10
63,2p6.10d,2D,3/2,4.0,5.00262826,2.5e-07,                                                                                              ,,10
64,2p6.10f,2F*,5/2,6.0,5.00298074,2.5e-07,                                                                                              ,,10
65,2p6.10f,2F*,7/2,8.0,5.00298074,2.5e-07,                                                                                              ,,10
66,2p6.10g,2G,"7/2,9/2",18.0,5.00301223,2.5e-07,                                                                                              ,,10
67,2p6.10h,2H*,"9/2,11/2",22.0,5.00301943,2.5e-07,                                                                                              ,,10
68,2p6.11p,2P*,1/2,2.0,5.00684459,2.5e-07,                                                                                              ,,11
69,2p6.11p,2P*,3/2,4.0,5.00686591,2.5e-07,                                                                                              ,,11
70,2p6.12s,2S,1/2,2.0,5.01915758,2.5e-07,                                                                                              ,,12
71,2p6.11d,2D,5/2,6.0,5.02633094,2.5e-07,                                                                                              ,,11
72,2p6.11d,2D,3/2,4.0,5.02633118,2.5e-07,                                                                                              ,,11
73,2p6.11f,2F*,7/2,8.0,5.0266037,2.5e-07,                                                                                              ,,11
74,2p6.11f,2F*,5/2,6.0,5.0266037,2.5e-07,                                                                                              ,,11
75,2p6.11g,2G,"7/2,9/2",18.0,5.02662738,2.5e-07,                                                                                              ,,11
