,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,3p6.4s2,1S,0,1.0,0.0,,L7185,4
1,3p6.4s.4p,3P*,0,1.0,1.8793402,,L7185,4
2,3p6.4s.4p,3P*,1,3.0,1.8858075,,L7185,4
3,3p6.4s.4p,3P*,2,5.0,1.8989349,,L7185,4
4,3p6.3d.4s,3D,1,3.0,2.5212633,,L7185,4
5,3p6.3d.4s,3D,2,5.0,2.5229867,,L7185,4
6,3p6.3d.4s,3D,3,7.0,2.5256821,,L7185,4
7,3p6.3d.4s,1D,2,5.0,2.7090094,,L7185,4
8,3p6.4s.4p,1P*,1,3.0,2.932512,,L7185,4
9,3p6.4s.5s,3S,1,3.0,3.910399,,L7185,5
10,3p6.4s.5s,1S,0,1.0,4.1308143,,L7185,5
11,3p6.3d.4p,3F*,2,5.0,4.4300117,,L7185,4
12,3p6.3d.4p,3F*,3,7.0,4.4409544,,L7185,4
13,3p6.3d.4p,3F*,4,9.0,4.450647,,L7185,4
14,3p6.3d.4p,1D*,2,5.0,4.443025,,L7185,4
15,3p6.4s.5p,3P*,0,1.0,4.5313358,,L7185,5
16,3p6.4s.5p,3P*,1,3.0,4.5322113,,L7185,5
17,3p6.4s.5p,3P*,2,5.0,4.5347368,,L7185,5
18,3p6.4s.5p,1P*,1,3.0,4.5541398,,L7185,5
19,3p6.4s.4d,1D,2,5.0,4.6243982,,L7185,4
20,3p6.4s.4d,3D,1,3.0,4.6801799,,L7185,4
21,3p6.4s.4d,3D,2,5.0,4.680635,,L7185,4
22,3p6.4s.4d,3D,3,7.0,4.681327,,L7185,4
23,3p6.3d.4p,3D*,1,3.0,4.7352531,,L7185,4
24,3p6.3d.4p,3D*,2,5.0,4.7385667,,L7185,4
25,3p6.3d.4p,3D*,3,7.0,4.7435268,,L7185,4
26,3p6.4p2,3P,0,1.0,4.7631683,,L7185,4
27,3p6.4p2,3P,1,3.0,4.7690284,,L7185,4
28,3p6.4p2,3P,2,5.0,4.779784,,L7185,4
29,3p6.3d.4p,3P*,0,1.0,4.8767178,,L7185,4
30,3p6.3d.4p,3P*,1,3.0,4.8769584,,L7185,4
31,3p6.3d.4p,3P*,2,5.0,4.8775483,,L7185,4
32,3p6.4s.6s,3S,1,3.0,5.0181663,,L7185,6
33,3p6.3d.4p,1F*,3,7.0,5.0260582,,L7185,4
34,3p6.4s.6s,1S,0,1.0,5.044971,,L7185,6
35,3p6.4p2,1D,2,5.0,5.0486176,,L7185,4
36,3p6.4s.6p,1P*,1,3.0,5.1675384,,L7185,6
37,3p6.4p2,1S,0,1.0,5.1808379,,L7185,4
38,3p6.4s.4f,3F*,2,5.0,5.2284402,,L7185,4
39,3p6.4s.4f,3F*,3,7.0,5.2284828,,L7185,4
40,3p6.4s.4f,3F*,4,9.0,5.2285409,,L7185,4
41,3p6.4s.4f,1F*,3,7.0,5.2499357,,L7185,4
42,3p6.4s.6p,3P*,0,1.0,5.271169,,L7185,6
43,3p6.4s.6p,3P*,1,3.0,5.2716479,,L7185,6
44,3p6.4s.6p,3P*,2,5.0,5.2726253,,L7185,6
45,3p6.4s.5d,3D,1,3.0,5.2994568,,L7185,5
46,3p6.4s.5d,3D,2,5.0,5.2996694,,L7185,5
47,3p6.4s.5d,3D,3,7.0,5.3000005,,L7185,5
48,3p6.4s.5d,1D,2,5.0,5.3212844,,L7185,5
49,3p6.3d2,3F,2,5.0,5.3901916,,L7185,3
50,3p6.3d2,3F,3,7.0,5.3919636,,L7185,3
51,3p6.3d2,3F,4,9.0,5.3943154,,L7185,3
52,3p6.4s.np,w 1P*,1,3.0,5.4470569,,L7185,4
53,3p6.4s.7s,3S,1,3.0,5.4529201,,L7185,7
54,3p6.4s.7s,1S,0,1.0,5.4895911,,L7185,7
55,3p6.4s.5f,3F*,2,5.0,5.5498576,,L7185,5
56,3p6.4s.5f,3F*,3,7.0,5.5498847,,L7185,5
57,3p6.4s.5f,3F*,4,9.0,5.5499193,,L7185,5
58,3p6.4s.5f,1F*,3,7.0,5.5550969,,L7185,5
59,3p6.4s.5g,3G,5,11.0,5.563774,,L7185,5
