,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3s2.3p2,3P,0,1.0,0.0,,                                     ,L7237,3
1,3s2.3p2,3P,1,3.0,0.037033,,                                     ,,3
2,3s2.3p2,3P,2,5.0,0.103289,,                                     ,,3
3,3s2.3p2,1D,2,5.0,1.40384,,                                     ,,3
4,3s2.3p2,1S,0,1.0,3.36753,,                                     ,,3
5,3s.3p3,5S*,2,5.0,7.274391,,  99                                 ,,3
6,3s.3p3,3D*,1,3.0,10.41707,,  81         :    16  3s2.3p.3d 3D*  ,,3
7,3s.3p3,3D*,2,5.0,10.42046,,  81         :    16  3s2.3p.3d 3D*  ,,3
8,3s.3p3,3D*,3,7.0,10.427,,  81         :    16  3s2.3p.3d 3D*  ,,3
9,3s.3p3,3P*,2,5.0,12.24286,,  77         :    19  3s2.3p.3d 3P*  ,,3
10,3s.3p3,3P*,1,3.0,12.24541,,  78         :    19  3s2.3p.3d 3P*  ,,3
11,3s.3p3,3P*,0,1.0,12.24619,,  78         :    19  3s2.3p.3d 3P*  ,,3
12,3s2.3p.3d,1D*,2,5.0,12.91416,,  61         :    34  3s.3p3    1D*  ,,3
13,3s2.3p.3d,3F*,2,5.0,15.14076,,                                     ,,3
14,3s2.3p.3d,3F*,3,7.0,15.17616,,                                     ,,3
15,3s2.3p.3d,3F*,4,9.0,15.22509,,                                     ,,3
16,3s.3p3,1P*,1,3.0,16.966466,,  68         :    28  3s2.3p.3d 1P*  ,,3
17,3s.3p3,3S*,1,3.0,17.11808,,  92                                 ,,3
18,3s2.3p.3d,3P*,0,1.0,17.741777,,  61         :    21  3s2.3p.4s 3P*  ,,3
19,3s2.3p.3d,3P*,1,3.0,17.744297,,  63         :    21  3s2.3p.4s 3P*  ,,3
20,3s2.3p.3d,3P*,2,5.0,17.745273,,  66         :    16  3s.3p3    3P*  ,,3
21,3s2.3p.4s,3P*,0,1.0,18.188156,,                                     ,,4
22,3s2.3p.4s,3P*,1,3.0,18.193138,,                                     ,,4
23,3s2.3p.4s,3P*,2,5.0,18.243916,,                                     ,,4
24,3s2.3p.3d,3D*,1,3.0,18.294067,,  69         :    14  3s2.3p.3d 3P*  ,,3
25,3s2.3p.3d,3D*,2,5.0,18.3115,,  61         :    21  3s2.3p.4s 3P*  ,,3
26,3s2.3p.3d,3D*,3,7.0,18.318132,,  79         :    16  3s.3p3    3D*  ,,3
27,3s2.3p.4s,1P*,1,3.0,18.399127,,  79                                 ,,4
28,3s.3p3,1D*,2,5.0,18.842937,,  59         :    34  3s2.3p.3d 1D*  ,,3
29,3s2.3p.3d,1F*,3,7.0,19.541188,,                                     ,,3
30,3s2.3p.3d,1P*,1,3.0,20.350887,,                                     ,,3
31,3s2.3p.4p,1P,1,3.0,20.773958,,                                     ,,4
32,3s2.3p.4p,3D,1,3.0,21.048975,,                                     ,,4
33,3s2.3p.4p,3D,2,5.0,21.085835,,                                     ,,4
34,3s2.3p.4p,3D,3,7.0,21.157972,,                                     ,,4
35,3s2.3p.4p,3P,0,1.0,21.403738,,                                     ,,4
36,3s2.3p.4p,3P,1,3.0,21.42289,,                                     ,,4
37,3s2.3p.4p,3P,2,5.0,21.473213,,                                     ,,4
38,3s2.3p.4p,3S,1,3.0,21.577923,,                                     ,,4
39,3s2.3p.4p,1D,2,5.0,21.943274,,                                     ,,4
40,3s2.3p.4p,1S,0,1.0,22.659239,,                                     ,,4
41,3s2.3p.4d,3F*,2,5.0,25.364772,,                                     ,,4
42,3s2.3p.4d,3F*,3,7.0,25.425753,,                                     ,,4
43,3s2.3p.4d,3F*,4,9.0,25.486497,,                                     ,,4
44,3s2.3p.4d,1D*,2,5.0,25.435086,,                                     ,,4
45,3s2.3p.4d,3D*,1,3.0,25.607745,,                                     ,,4
46,3s2.3p.4d,3D*,2,5.0,25.6242,,                                     ,,4
47,3s2.3p.4d,3D*,3,7.0,25.653899,,                                     ,,4
48,3s2.3p.4d,3P*,2,5.0,25.775444,,                                     ,,4
49,3s2.3p.4d,3P*,1,3.0,25.801718,,                                     ,,4
50,3s2.3p.4d,3P*,0,1.0,25.814993,,                                     ,,4
51,3s2.3p.5s,3P*,0,1.0,26.008774,,                                     ,,5
52,3s2.3p.5s,3P*,1,3.0,26.027684,,                                     ,,5
53,3s2.3p.5s,3P*,2,5.0,26.123376,,                                     ,,5
54,3s2.3p.4d,1F*,3,7.0,26.179179,,                                     ,,4
55,3s2.3p.5s,1P*,1,3.0,26.201465,,                                     ,,5
56,3s2.3p.4d,1P*,1,3.0,26.475901,,                                     ,,4
57,3s2.3p.5d,1P*,1,3.0,29.53245,,                                     ,,5
58,Limit,NaN,NaN,NaN,34.86,0.04,NaN,NaN,NaN
