,Configuration,Term,J,g,Level (eV),nQua
0,3p6.4s.28s,3S,nan,3.0,6.092343,28.0
1,3p6.4s.6p,1P*,nan,3.0,5.1675384,6.0
2,3p6.4s.13p,1P*,nan,3.0,6.003574,13.0
3,3p6.3d.19p,3P*,nan,3.0,7.764977,19.0
4,3p5.(2P*<3/2>).4s2.10s,2[3/2]*,nan,3.0,34.068,10.0
5,3p6.4s.48d,3D,nan,5.0,6.107034,48.0
6,3p6.3d.14p,3P*,nan,3.0,7.716419,14.0
7,3p6.4s.44p,3P*,nan,5.0,6.105462,44.0
8,3p6.4s.7f,1F*,nan,7.0,5.8291346,7.0
9,3p6.3d.44p,1P*,nan,3.0,7.805496,44.0
10,3p6.3d.5d,3D,nan,5.0,7.00126,5.0
11,3p6.3d.4p,3F*,nan,21.0,4.4405377,4.0
12,3p6.3d.31p,3D*,nan,3.0,7.789648,31.0
13,3p6.3d.5d,3S,nan,3.0,7.01241,5.0
14,3p6.3d.31f,3P*,nan,3.0,7.791196,31.0
15,3p6.4s.29p,1P*,nan,3.0,6.094664,29.0
16,3p6.4s.31s,1S,nan,1.0,6.096604,31.0
17,3p6.4s.5f,3F*,nan,21.0,5.5498872,5.0
18,3p5.(2P*<3/2>).4s2.14d,2[3/2]*,nan,3.0,34.2367,14.0
19,3p6.3d.10f,3D*,nan,3.0,7.663548,10.0
20,3p6.3d.4d,3F,nan,21.0,6.59856,4.0
21,3p6.4s.21f,1F*,nan,7.0,6.08202,21.0
22,3p6.3d.14p,3D*,nan,3.0,7.714753,14.0
23,3p5.(2P*<1/2>).4s2.6s,2[1/2]*,nan,3.0,33.4393,6.0
24,3p5.(2P*<3/2>).4s2.7s,2[3/2]*,nan,3.0,33.6301,7.0
25,3p6.4s.28s,1S,nan,1.0,6.092498,28.0
26,3p6.3d.14f,3P*,nan,3.0,7.737013,14.0
27,3p6.3d.24p,1P*,nan,3.0,7.785656,24.0
28,3p6.3d.53p,1P*,nan,3.0,7.807933,53.0
29,3p6.3d.6p,3D*,nan,3.0,6.9746,6.0
30,3p6.4s.70p,1P*,nan,3.0,6.110231,70.0
31,3p6.4s.17d,3D,nan,15.0,6.0612026666666665,17.0
32,3p6.4s.35d,3D,nan,5.0,6.101512,35.0
33,3p6.3d.32p,3D*,nan,3.0,7.790698,32.0
34,3p6.4s.12f,3F*,nan,16.0,6.017082,12.0
35,3p6.3d.54p,1P*,nan,3.0,7.808129,54.0
36,3p6.3d.53p,3D*,nan,3.0,7.8004,53.0
37,3p6.4s.10f,1F*,nan,7.0,5.9746733,10.0
38,3p6.4s.27s,3S,nan,3.0,6.090602,27.0
39,3p6.4s.65p,1P*,nan,3.0,6.109748,65.0
40,3p6.4s.28d,3D,nan,5.0,6.09474,28.0
41,3p6.3d.58p,1P*,nan,3.0,7.808816,58.0
42,3p6.3d.9f,1P*,nan,3.0,7.640229,9.0
43,3p6.3d.18f,3D*,nan,3.0,7.762744,18.0
44,3p6.4s.46p,1P*,nan,3.0,6.106173,46.0
45,3p6.3d.5p,3D*,nan,15.0,6.414573333333333,5.0
46,3p5.(2P*<3/2>).4s2.6s,2[3/2]*,nan,3.0,33.1555,6.0
47,3p6.4s.47d,3D,nan,5.0,6.106771,47.0
48,3p6.3d.54p,3D*,nan,3.0,7.800579,54.0
49,3p6.4p.7s,1P*,nan,3.0,8.5855,7.0
50,3p6.4s.28f,1F*,nan,7.0,6.095682,28.0
51,3p6.3d.36f,1P*,nan,3.0,7.802486,36.0
52,3p6.4s.18s,1S,nan,1.0,6.057693,18.0
53,3p6.3d.30f,3D*,nan,3.0,7.790214,30.0
54,3p6.3d.49p,3D*,nan,3.0,7.799471,49.0
55,3p6.3d.14p,1P*,nan,3.0,7.72273,14.0
56,3p6.4s.4d,3D,nan,15.0,4.680713966666667,4.0
57,3p6.3d.32p,1P*,nan,3.0,7.798305,32.0
58,3p6.3d.4p,3P*,nan,9.0,4.877074833333334,4.0
59,3p5.(2P*<3/2>).4s2.9s,2[3/2]*,nan,3.0,34.0059,9.0
60,3p5.(2P*<3/2>).4s2.16d,2[3/2]*,nan,3.0,34.2547,16.0
61,3p6.3d.12p,3P*,nan,3.0,7.676653,12.0
62,3p6.4s.23p,1P*,nan,3.0,6.082667,23.0
63,3p6.3d.39f,1P*,nan,3.0,7.804043,39.0
64,3p6.4s.25f,1F*,nan,7.0,6.09122,25.0
65,3p6.3d.24p,3P*,nan,3.0,7.784634,24.0
66,3p6.4s.6d,3D,nan,15.0,5.585565266666666,6.0
67,3p6.4s.12f,1F*,nan,7.0,6.0172184,12.0
68,3p6.4s.39p,1P*,nan,3.0,6.10329,39.0
69,3p6.4s.5s,1S,nan,1.0,4.1308143,5.0
70,3p6.4s.51d,3D,nan,5.0,6.107762,51.0
71,3p6.3d.6p,3P*,nan,3.0,7.009153,6.0
72,3p6.3d.25p,1P*,nan,3.0,7.78796,25.0
73,3p6.3d.52p,1P*,nan,3.0,7.807725,52.0
