,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3s2.3p2,3P,0,1.0,0.0,,,                                                    ,L7147,3
1,3s2.3p2,3P,1,3.0,0.020445,,,                                                    ,,3
2,3s2.3p2,3P,2,5.0,0.058163,,,                                                    ,,3
3,3s2.3p2,1D,2,5.0,1.101266,,,                                                    ,,3
4,3s2.3p2,1S,0,1.0,2.675037,,,                                                    ,,3
5,3s.3p3,5S*,2,5.0,5.665708,,, 100                                                ,,3
6,3s.3p3,3D*,1,3.0,8.090149,,0.504,  81         :    17  3p.3d                3D*      ,,3
7,3s.3p3,3D*,2,5.0,8.09274,,1.16,  81         :    17  3p.3d                3D*      ,,3
8,3s.3p3,3D*,3,7.0,8.097057,,1.329,  81         :    17  3p.3d                3D*      ,,3
9,3s.3p3,3P*,2,5.0,9.51753,,1.486,  71         :    25  3p.3d                3P*      ,,3
10,3s.3p3,3P*,1,3.0,9.523515,,1.5,  74         :    25  3p.3d                3P*      ,,3
11,3s.3p3,3P*,0,1.0,9.524852,,,  74         :    25  3p.3d                3P*      ,,3
12,3s2.3p.3d,1D*,2,5.0,9.634836,,1.014,  63         :    32  3s.3p3               1D*      ,,3
13,3s2.3p.4s,3P*,0,1.0,10.736728,,, 100                                                ,,4
14,3s2.3p.4s,3P*,1,3.0,10.75488,,1.495,  99         :     1  3s2.3p.4s            1P*      ,,4
15,3s2.3p.4s,3P*,2,5.0,10.802074,,1.499, 100                                                ,,4
16,3s2.3p.3d,3F*,2,5.0,10.886321,,0.666, 100                                                ,,3
17,3s2.3p.3d,3F*,3,7.0,10.906494,,1.083, 100                                                ,,3
18,3s2.3p.3d,3F*,4,9.0,10.934431,,1.25, 100                                                ,,3
19,3s2.3p.4s,1P*,1,3.0,11.021355,,1.006,  99         :     1  3s2.3p.4s            3P*      ,,4
20,3s2.3p.4p,1P,1,3.0,12.60122,,0.998,  98         :     2  3s2.3p.4p            3D       ,,4
21,3s2.3p.3d,1P*,1,3.0,12.74536,,1.0,  64         :    33  3s.3p3               1P*      ,,3
22,3s2.3p.4p,3D,1,3.0,12.790905,,0.511,  98         :     2  3s2.3p.4p            1P       ,,4
23,3s2.3p.4p,3D,2,5.0,12.81242,,1.166,  99                                                ,,4
24,3s2.3p.4p,3D,3,7.0,12.853177,,1.334, 100                                                ,,4
25,3s2.3p.3d,3P*,2,5.0,12.848445,,1.408,  55         :    21  3p.3d                3D*      ,,3
26,3s2.3p.3d,3P*,1,3.0,12.864093,,1.05,  41         :    36  3p.3d                3D*      ,,3
27,3s2.3p.3d,3P*,0,1.0,12.886965,,,  75         :    24  3s.3p3               3P*      ,,3
28,3s2.3p.3d,3D*,3,7.0,12.900589,,1.326,  82         :    15  3s.3p3               3D*      ,,3
29,3s2.3p.3d,3D*,1,3.0,12.901028,,0.94,  46         :    33  3p.3d                3P*      ,,3
30,3s2.3p.3d,3D*,2,5.0,12.906972,,1.26,  61         :    19  3p.3d                3P*      ,,3
31,3s2.3p.4p,3P,0,1.0,13.046121,,, 100                                                ,,4
32,3s2.3p.4p,3P,1,3.0,13.05583,,1.525,  94         :     6  3s2.3p.4p            3S       ,,4
33,3s2.3p.4p,3P,2,5.0,13.086491,,1.499,  99                                                ,,4
34,3s2.3p.4p,3S,1,3.0,13.14248,,1.968,  94         :     6  3s2.3p.4p            3P       ,,4
35,3s2.3p.3d,1F*,3,7.0,13.310975,,1.004, 100                                                ,,3
36,3s2.3p.4p,1D,2,5.0,13.380738,,1.002,  99                                                ,,4
37,3s.3p3,3S*,1,3.0,13.669849,,, 100                                                ,,3
38,3s2.3p.4p,1S,0,1.0,13.825188,,, 100                                                ,,4
39,3s.3p3,1D*,2,5.0,13.961471,,0.998,  50         :    31  3p.3d                1D*      ,,3
40,3s.3p3,1P*,1,3.0,14.672502,,0.99,  58         :    34  3p.3d                1P*      ,,3
41,3s2.3p.5s,3P*,0,1.0,15.292731,,, 100                                                ,,5
42,3s2.3p.5s,3P*,1,3.0,15.306526,,1.465,  93         :     7  3s2.3p.5s            1P*      ,,5
43,3s2.3p.5s,3P*,2,5.0,15.360503,,1.497, 100                                                ,,5
44,3s2.3p.5s,1P*,1,3.0,15.427634,,1.036,  93         :     7  3s2.3p.5s            3P*      ,,5
45,3s2.3p.4d,3F*,2,5.0,15.49142,,0.664,  99                                                ,,4
46,3s2.3p.4d,3F*,3,7.0,15.514003,,1.081,  99                                                ,,4
47,3s2.3p.4d,3F*,4,9.0,15.546519,,1.25, 100                                                ,,4
48,3s2.3p.4d,3P*,2,5.0,15.791524,,1.278,  49         :    24  3p.4d                1D*      ,,4
49,3s2.3p.4d,3P*,0,1.0,15.857522,,,  98         :     2  3s.3p3               3P*      ,,4
50,3s2.3p.4d,3P*,1,3.0,15.861806,,1.129,  62         :    35  3p.4d                3D*      ,,4
51,3s2.3p.4d,3D*,1,3.0,15.82028,,0.87,  61         :    35  3p.4d                3P*      ,,4
52,3s2.3p.4d,3D*,3,7.0,15.856143,,1.33,  96         :     3  3s.3p3               3D*      ,,4
