,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,2s2.2p2,3P,0,1.0,0.0,,L7288,2
1,2s2.2p2,3P,1,3.0,0.0140323,,,2
2,2s2.2p2,3P,2,5.0,0.0379607,,,2
3,2s2.2p2,1D,2,5.0,2.513565,,,2
4,2s2.2p2,1S,0,1.0,5.354349,,,2
5,2s.2p3,5S*,2,5.0,7.479321,,,2
6,2s.2p3,3D*,3,7.0,14.88123,,,2
7,2s.2p3,3D*,2,5.0,14.88472,,,2
8,2s.2p3,3D*,1,3.0,14.88532,,,2
9,2s.2p3,3P*,2,5.0,17.65299,,,2
10,2s.2p3,3P*,1,3.0,17.65309,,,2
11,2s.2p3,3P*,0,1.0,17.65454,,,2
12,2s.2p3,1D*,2,5.0,23.19174,,,2
13,2s.2p3,3S*,1,3.0,24.43576,,,2
14,2s.2p3,1P*,1,3.0,26.09394,,,2
15,2s2.2p.(2P*).3s,3P*,0,1.0,33.135857,,,3
16,2s2.2p.(2P*).3s,3P*,1,3.0,33.150537,,,3
17,2s2.2p.(2P*).3s,3P*,2,5.0,33.182387,,,3
18,2s2.2p.(2P*).3s,1P*,1,3.0,33.85777,,,3
19,2p4,3P,2,5.0,35.181719,,,2
20,2p4,3P,1,3.0,35.20871,,,2
21,2p4,3P,0,1.0,35.220427,,,2
22,2s2.2p.(2P*).3p,1P,1,3.0,36.074225,,,3
23,2s2.2p.(2P*).3p,3D,1,3.0,36.434801,,,3
24,2s2.2p.(2P*).3p,3D,2,5.0,36.451709,,,3
25,2s2.2p.(2P*).3p,3D,3,7.0,36.479011,,,3
26,2s2.2p.(2P*).3p,3S,1,3.0,36.892572,,,3
27,2p4,1D,2,5.0,36.98374,,,2
28,2s2.2p.(2P*).3p,3P,0,1.0,37.223767,,,3
29,2s2.2p.(2P*).3p,3P,1,3.0,37.233938,,,3
30,2s2.2p.(2P*).3p,3P,2,5.0,37.250129,,,3
31,2s2.2p.(2P*).3p,1D,2,5.0,38.011829,,,3
