,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
32,2s2.2p.(2P*).3p,1S,0,1.0,38.906585,,,3
33,2s2.2p.(2P*).3d,3F*,2,5.0,40.228518,,,3
34,2s2.2p.(2P*).3d,3F*,3,7.0,40.252809,,,3
35,2s2.2p.(2P*).3d,3F*,4,9.0,40.274907,,,3
36,2s2.2p.(2P*).3d,1D*,2,5.0,40.262089,,,3
37,2s2.2p.(2P*).3d,3D*,1,3.0,40.571256,,,3
38,2s2.2p.(2P*).3d,3D*,2,5.0,40.577338,,,3
39,2s2.2p.(2P*).3d,3D*,3,7.0,40.586496,,,3
40,2s2.2p.(2P*).3d,3P*,2,5.0,40.849049,,,3
41,2s2.2p.(2P*).3d,3P*,1,3.0,40.863194,,,3
42,2s2.2p.(2P*).3d,3P*,0,1.0,40.870788,,,3
43,2s2.2p.(2P*).3d,1F*,3,7.0,41.140615,,,3
44,2s2.2p.(2P*).3d,1P*,1,3.0,41.25933,,,3
45,2s.2p2.(4P).3s,5P,1,3.0,41.978229,,,3
46,2s.2p2.(4P).3s,5P,2,5.0,41.993693,,,3
47,2s.2p2.(4P).3s,5P,3,7.0,42.013661,,,3
48,2p4,1S,0,1.0,42.56456,,,2
49,2s.2p2.(4P).3s,3P,0,1.0,43.397506,,,3
50,2s.2p2.(4P).3s,3P,1,3.0,43.409899,,,3
51,2s.2p2.(4P).3s,3P,2,5.0,43.431464,,,3
52,2s2.2p.(2P*).4s,3P*,0,1.0,44.229664,,,4
53,2s2.2p.(2P*).4s,3P*,1,3.0,44.243139,,,4
54,2s2.2p.(2P*).4s,3P*,2,5.0,44.276866,,,4
55,2s2.2p.(2P*).4s,1P*,1,3.0,44.469276,,,4
56,2s.2p2.(4P).3p,3S*,1,3.0,45.038919,,,3
57,2s.2p2.(4P).3p,5D*,0,1.0,45.319582,,,3
58,2s.2p2.(4P).3p,5D*,1,3.0,45.323905,,,3
59,2s.2p2.(4P).3p,5D*,2,5.0,45.332392,,,3
60,2s.2p2.(4P).3p,5D*,3,7.0,45.344825,,,3
61,2s.2p2.(4P).3p,5D*,4,9.0,45.360597,,,3
62,2s2.2p.(2P*).4p,1P,1,3.0,45.344339,,,4
63,2s2.2p.(2P*).4p,3D,1,3.0,45.438777,,,4
64,2s2.2p.(2P*).4p,3D,2,5.0,45.452081,,,4
65,2s2.2p.(2P*).4p,3D,3,7.0,45.477729,,,4
66,2s2.2p.(2P*).4p,3S,1,3.0,45.620469,,,4
67,2s.2p2.(4P).3p,5P*,1,3.0,45.692969,,,3
68,2s.2p2.(4P).3p,5P*,2,5.0,45.700071,,,3
69,2s.2p2.(4P).3p,5P*,3,7.0,45.712602,,,3
70,2s2.2p.(2P*).4p,3P,0,1.0,45.914967,,,4
71,2s2.2p.(2P*).4p,3P,1,3.0,45.926018,,,4
72,2s2.2p.(2P*).4p,3P,2,5.0,45.93943,,,4
73,2s2.2p.(2P*).4p,1D,2,5.0,45.986014,,,4
74,2s.2p2.(4P).3p,3D*,1,3.0,46.440965,,,3
75,2s.2p2.(4P).3p,3D*,2,5.0,46.452356,,,3
76,2s.2p2.(4P).3p,3D*,3,7.0,46.468675,,,3
77,2s.2p2.(4P).3p,5S*,2,5.0,46.627967,,,3
78,2s2.2p.(2P*).4d,3F*,2,5.0,46.789849,,,4
79,2s2.2p.(2P*).4d,3F*,3,7.0,46.81176,,,4
80,2s2.2p.(2P*).4d,3F*,4,9.0,46.834854,,,4
81,2s2.2p.(2P*).4d,1D*,2,5.0,46.827199,,,4
82,2s.2p2.(4P).3p,3P*,2,5.0,46.916325,,,3
83,2s.2p2.(4P).3p,3P*,1,3.0,46.917833,,,3
84,2s.2p2.(4P).3p,3P*,0,1.0,46.91998,,,3
85,2s2.2p.(2P*).4d,3D*,1,3.0,47.018174,,,4
86,2s2.2p.(2P*).4d,3D*,2,5.0,47.026342,,,4
87,2s2.2p.(2P*).4d,3D*,3,7.0,47.034243,,,4
88,2s2.2p.(2P*).4f,2[5/2],3,7.0,47.189899,,,4
89,2s2.2p.(2P*).4f,2[5/2],2,5.0,47.191101,,,4
90,2s2.2p.(2P*).4f,2[7/2],3,7.0,47.197226,,,4
91,2s2.2p.(2P*).4f,2[7/2],4,9.0,47.199036,,,4
92,2s2.2p.(2P*).4d,3P*,2,5.0,47.201591,,,4
93,2s2.2p.(2P*).4d,3P*,1,3.0,47.203006,,,4
94,2s2.2p.(2P*).4d,3P*,0,1.0,47.205372,,,4
95,2s2.2p.(2P*).4d,1F*,3,7.0,47.210972,,,4
96,2s2.2p.(2P*).4d,1P*,1,3.0,47.249048,,,4
97,2s2.2p.(2P*).4f,2[7/2],3,7.0,47.259912,,,4
98,2s2.2p.(2P*).4f,2[7/2],4,9.0,47.264177,,,4
99,2s2.2p.(2P*).4f,2[9/2],5,11.0,47.288131,,,4
100,2s2.2p.(2P*).4f,2[9/2],4,9.0,47.296562,,,4
101,2s2.2p.(2P*).4f,2[5/2],3,7.0,47.294616,,,4
102,2s2.2p.(2P*).4f,2[5/2],2,5.0,47.297219,,,4
103,2s2.2p.(2P*).4f,2[3/2],1,3.0,47.315321,,,4
104,2s2.2p.(2P*).4f,2[3/2],2,5.0,47.317949,,,4
105,2s2.2p.(2P*).5s,3P*,0,1.0,48.580823,,,5
106,2s2.2p.(2P*).5s,3P*,1,3.0,48.591614,,,5
107,2s2.2p.(2P*).5s,3P*,2,5.0,48.627784,,,5
108,2s2.2p.(2P*).5s,1P*,1,3.0,48.698696,,,5
109,2s.2p2.(2D).3s,3D,1,3.0,48.85962,,,3
110,2s.2p2.(2D).3s,3D,2,5.0,48.86556,,,3
111,2s.2p2.(2D).3s,3D,3,7.0,48.87431,,,3
112,2s.2p2.(4P).3d,5F,1,3.0,48.915263,,,3
113,2s.2p2.(4P).3d,5F,2,5.0,48.920079,,,3
114,2s.2p2.(4P).3d,5F,3,7.0,48.927225,,,3
115,2s.2p2.(4P).3d,5F,4,9.0,48.936597,,,3
116,2s.2p2.(4P).3d,5F,5,11.0,48.948128,,,3
117,2s.2p2.(4P).3d,5D,2,5.0,49.363059,,,3
118,2s.2p2.(4P).3d,5D,1,3.0,49.363601,,,3
119,2s.2p2.(4P).3d,5D,0,1.0,49.363767,,,3
120,2s.2p2.(4P).3d,5D,3,7.0,49.364358,,,3
121,2s.2p2.(4P).3d,5D,4,9.0,49.374411,,,3
122,2s.2p2.(4P).3d,5P,3,7.0,49.406101,,,3
123,2s.2p2.(4P).3d,5P,2,5.0,49.414791,,,3
124,2s.2p2.(4P).3d,5P,1,3.0,49.419562,,,3
125,2s.2p2.(4P).3d,3P,2,5.0,49.637267,,,3
126,2s.2p2.(4P).3d,3P,1,3.0,49.650835,,,3
127,2s.2p2.(4P).3d,3P,0,1.0,49.657518,,,3
128,2s.2p2.(4P).3d,3F,2,5.0,49.764169,,,3
129,2s.2p2.(4P).3d,3F,3,7.0,49.776716,,,3
130,2s.2p2.(4P).3d,3F,4,9.0,49.792738,,,3
131,2s2.2p.(2P*).5d,3F*,2,5.0,49.78211,,,5
132,2s2.2p.(2P*).5d,3F*,3,7.0,49.80763,,,5
133,2s2.2p.(2P*).5d,3F*,4,9.0,49.82841,,,5
134,2s2.2p.(2P*).5d,1D*,2,5.0,49.81582,,,5
135,2s2.2p.(2P*).5d,3D*,2,5.0,49.89267,,,5
136,2s2.2p.(2P*).5d,3D*,3,7.0,49.90777,,,5
137,2s2.2p.(2P*).5d,1F*,3,7.0,50.01275,,,5
138,2s2.2p.(2P*).5d,1P*,1,3.0,50.0318,,,5
139,2s.2p2.(4P).3d,3D,1,3.0,50.312974,,,3
140,2s.2p2.(4P).3d,3D,2,5.0,50.316554,,,3
141,2s.2p2.(4P).3d,3D,3,7.0,50.322703,,,3
142,2s2.2p.(2P*).6d,1D*,2,5.0,51.4133,,,6
143,2s2.2p.(2P*).6d,3D*,3,7.0,51.476,0.012,,6
144,2s2.2p.(2P*).6d,3D*,2,5.0,51.476,0.012,,6
145,2s2.2p.(2P*).6d,3D*,1,3.0,51.476,0.012,,6
146,2s2.2p.(2P*).7d,1F*,3,7.0,52.4427,,,7
147,2s.2p2.(2D).3p,1F*,3,7.0,52.7,,,3
148,2s.2p2.(2D).3p,1D*,2,5.0,52.859,,,3
149,2s.2p2.(4P).4s,5P,1,3.0,53.127337,,,4
150,2s.2p2.(4P).4s,5P,2,5.0,53.143,,,4
151,2s.2p2.(4P).4s,5P,3,7.0,53.163419,,,4
152,2s.2p2.(2D).3p,1P*,1,3.0,53.3166,,,3
153,2s.2p2.(4P).4p,3S*,1,3.0,54.18264,,,4
154,2s.2p2.(4P).4p,5D*,1,3.0,54.33643,,,4
155,2s.2p2.(4P).4p,5D*,2,5.0,54.34406,,,4
156,2s.2p2.(4P).4p,5D*,3,7.0,54.3558,,,4
157,2s.2p2.(4P).4p,5D*,4,9.0,54.37089,,,4
158,2s.2p2.(4P).4p,5P*,1,3.0,54.46509,,,4
159,2s.2p2.(4P).4p,5P*,2,5.0,54.4715,,,4
160,2s.2p2.(4P).4p,5P*,3,7.0,54.48372,,,4
161,2s.2p2.(4P).4p,3D*,3,7.0,54.89,,,4
162,2s.2p2.(4P).4d,5P,3,7.0,55.814923,,,4
163,2s.2p2.(4P).4d,5P,2,5.0,55.823989,,,4
164,2s.2p2.(4P).4d,5P,1,3.0,55.830696,,,4
165,2s.2p2.(2D).3d,3F,3,7.0,56.149,0.012,,3
166,2s.2p2.(2D).3d,3F,2,5.0,56.149,0.012,,3
167,2s.2p2.(2D).3d,3F,4,9.0,56.149,0.012,,3
168,2s.2p2.(2D).3d,3D,2,5.0,56.3113,,,3
169,2s.2p2.(2D).3d,3D,1,3.0,56.3113,,,3
170,2s.2p2.(2D).3d,3D,3,7.0,56.3113,,,3
171,2s.2p2.(2D).3d,3P,0,1.0,56.7319,,,3
172,2s.2p2.(2D).3d,3P,2,5.0,56.7319,,,3
173,2s.2p2.(2D).3d,3P,1,3.0,56.7319,,,3
174,2s.2p2.(4P).5d,5P,3,7.0,58.739,,,5
175,Limit,NaN,NaN,NaN,54.93554,0.00012,NaN,NaN
