,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3d8.(3F).4s2,3F,4,9.0,0.0,,1.24965,  97                                                   ,L11151,4
1,3d8.(3F).4s2,3F,3,7.0,0.1651673,,1.0828,  97                                                   ,,4
2,3d8.(3F).4s2,3F,2,5.0,0.2748172,,0.66956,  96                                                   ,,4
3,3d9.(2D).4s,3D,3,7.0,0.0253904,,1.33354,  99                                                   ,,4
4,3d9.(2D).4s,3D,2,5.0,0.1090833,,1.15105,  90             :     9  3d9.(2D).4s          1D      ,,4
5,3d9.(2D).4s,3D,1,3.0,0.2123957,,0.49804,  99                                                   ,,4
6,3d9.(2D).4s,1D,2,5.0,0.4227783,,1.01297,  89             :     9  3d9.(2D).4s          3D      ,,4
7,3d8.(1D).4s2,1D,2,5.0,1.6764334,,1.143,  77             :    19  3d8.(3P).4s2         3P      ,,4
8,3d10,1S,0,1.0,1.8261434,,,  94                                                   ,,1
9,3d8.(3P).4s2,3P,2,5.0,1.935374,,1.356,  78             :    18  3d8.(1D).4s2         1D      ,,4
10,3d8.(3P).4s2,3P,1,3.0,1.9507675,,1.497,  97                                                   ,,4
11,3d8.(3P).4s2,3P,0,1.0,1.9858928,,,  96                                                   ,,4
12,3d8.(1G).4s2,1G,4,9.0,2.740339,,0.99,  97                                                   ,,4
13,3d8.(3F).4s.4p.(3P*),5D*,4,9.0,3.1930336,,1.51,  95                                                   ,,4
14,3d8.(3F).4s.4p.(3P*),5D*,3,7.0,3.3061486,,1.495,  93                                                   ,,4
15,3d8.(3F).4s.4p.(3P*),5D*,2,5.0,3.3990104,,1.494,  93                                                   ,,4
16,3d8.(3F).4s.4p.(3P*),5D*,1,3.0,3.4645554,,1.486,  95                                                   ,,4
17,3d8.(3F).4s.4p.(3P*),5D*,0,1.0,3.4979659,,,  96                                                   ,,4
18,3d8.(3F).4s.4p.(3P*),5G*,6,13.0,3.3799201,,1.32,  98                                                   ,,4
19,3d8.(3F).4s.4p.(3P*),5G*,5,11.0,3.4195327,,1.276,  82             :    14  3d8.(3F).4s.4p.(3P*) 5F*     ,,4
