,Configuration,Term,J,g,Level (eV),nQua
53,3d5.(2F1).4s.4p.(3P*),2G*,nan,10.0,13.7201769,4.0
54,3d5.4s.(5S).4d,6D,nan,30.0,14.42394472,4.0
55,3d6.(5D<1>).6h,2[6]*,nan,26.0,14.8019186,6.0
56,3d6.(3D).5s,4D,nan,20.0,13.47853015,5.0
57,3d6.(1G1).4p,2G*,nan,18.0,12.36505605,4.0
58,3d6.(5D<4>).5g,2[7],nan,30.0,14.016603400000001,5.0
59,3d6.(5D).6d,4G,nan,36.0,14.199068525,6.0
60,3d6.(5D).6d,114596,nan,4.0,14.2081505,6.0
61,3d5.(2I).4s.4p.(3P*),4K*,nan,26.0,12.69787765,4.0
62,3d6.(3H<4>).4f,2[5]*,nan,22.0,15.303530299999998,4.0
63,3d6.(3G).4p,x 4F*,nan,28.0,8.2302279,4.0
64,3d5.(4P).4s.4p.(3P*),4P*,nan,12.0,11.730190633333335,4.0
65,3d6.(5D).6p,4D*,nan,20.0,13.32111815,6.0
66,3d6.(5D).6d,114094,nan,6.0,14.1458834,6.0
67,3d5.(2F1).4s.4p.(3P*),4D*,nan,14.0,13.4744417,4.0
68,3d6.(5D<1>).5g,2[5],nan,22.0,14.133132150000002,5.0
69,3d6.(5D<4>).6h,2[5]*,nan,22.0,14.6861256,6.0
70,3d6.(1G1).4p,2H*,nan,22.0,12.15852185,4.0
71,3d6.(3H<6>).4f,2[5]*,nan,22.0,15.25183315,4.0
72,3d6.(5D).6d,114399,nan,4.0,14.1836894,6.0
73,3d6.(3D).5s,2D,nan,10.0,13.59200415,5.0
74,3d5.4s.(7S).4d,8D,nan,40.0,13.572049420000003,4.0
75,3d6.(5D<4>).4f,2[5]*,nan,22.0,12.7507077,4.0
76,3d6.(3F2).4p,x 4D*,nan,20.0,7.849521975,4.0
77,3d6.(5D).6d,114393,nan,4.0,14.1830292,6.0
78,3d5.4s2,2F2,nan,14.0,10.12789635,4.0
79,3d6.(5D).6d,114242,nan,6.0,14.1642664,6.0
80,3d5.(6S).4p2,6P,nan,18.0,14.0010006,4.0
81,3d6.(5D).4d,4P,nan,12.0,10.924326633333331,4.0
82,3d5.(4D).4s.4p.(3P*),4P*,nan,12.0,12.5919529,4.0
83,3d6.(5D).4s,a 4D,nan,20.0,1.04997656,4.0
84,3d5.4s.(7S).5s,8S,nan,8.0,12.7821371,5.0
85,3d5.(2D1).4s.4p.(3P*),4D*,nan,6.0,13.3123923,4.0
86,3d6.(1G2).4p,w 2G*,nan,18.0,9.06541315,4.0
87,3d6.(3F2).4s,a 2F,nan,14.0,3.405555905,4.0
88,3d6.(5D).5s,e 6D,nan,30.0,9.72518796,5.0
89,3d5.(4P).4s.4p.(3P*),6D*,nan,30.0,10.91363268,4.0
90,3d6.(3F2).5p,4F*,nan,28.0,13.678147899999999,5.0
91,3d6.(5D<4>).5f,2[5]*,nan,22.0,13.998980199999998,5.0
92,3d5.(4P).4s.4p.(3P*),6P*,nan,18.0,11.084145,4.0
93,3d6.(5D).5p,4F*,nan,28.0,11.25475505,5.0
94,3d5.(2H).4s.4p.(3P*),4G*,nan,10.0,13.6196626,4.0
95,3d6.(1I).4p,w 2H*,nan,22.0,9.13483415,4.0
96,3d6.(3P2).5p,2D*,nan,6.0,13.5059231,5.0
97,3d6.(5D<3>).6h,2[3]*,nan,14.0,14.740944299999999,6.0
98,3d5.(4G).4s.4p.(3P*),2H*,nan,22.0,11.921172,4.0
99,3d6.(5D<3>).5g,2[4],nan,18.0,14.0717028,5.0
100,3d6.(5D).4d,f 4D,nan,20.0,10.531764500000001,4.0
101,3d6.(5D<4>).6h,2[3]*,nan,14.0,14.68736195,6.0
102,3d6.(5D).6d,6F,nan,36.0,14.107731525,6.0
103,3d6.(3H<5>).4f,2[6]*,nan,26.0,15.281122799999999,4.0
104,3d6.(5D).6d,113716,nan,8.0,14.099066,6.0
105,3d6.(5D<2>).6h,2[3]*,nan,14.0,14.7778913,6.0
106,3d6.(3P2).4p,y 4D*,nan,20.0,7.7554357000000005,4.0
107,3d5.(2I).4s.4p.(3P*),4I*,nan,42.0,12.7841626,4.0
108,3d6.(5D<3>).6h,2[6]*,nan,26.0,14.7404263,6.0
109,3d6.(3G<4>).4f,2[5]*,nan,12.0,15.8537609,4.0
110,3d6.(3G).4d,2F,nan,14.0,13.711545300000001,4.0
111,3d6.(5D<4>).4f,2[4]*,nan,18.0,12.7560892,4.0
112,3d6.(1D2).4p,w 2D*,nan,10.0,9.7437944,4.0
113,3d5.(6S).4s.4p.(3P*),x 4P*,nan,12.0,8.5892751,4.0
114,3d6.(5D<2>).4f,2[3]*,nan,14.0,12.8556341,4.0
115,3d6.(3F1).4p,u 2G*,nan,18.0,11.454553,4.0
116,3d6.(1F).4p,v 2D*,nan,10.0,10.42882105,4.0
117,3d6.(5D<4>).5g,2[2],nan,10.0,14.021308650000002,5.0
118,3d6.(5D).6d,114470,nan,6.0,14.1925708,6.0
119,3d6.(3G).5p,2H*,nan,22.0,14.213910949999999,5.0
120,3d6.(3G).5p,4H*,nan,34.0,14.1660993,5.0
121,3d6.(5D).6p,4F*,nan,22.0,13.291564366666668,6.0
122,3d6.(5D).6d,114428,nan,8.0,14.1873147,6.0
123,3d6.(5D).6d,114673,nan,2.0,14.2177335,6.0
124,3d6.(3F2).4s,b 4F,nan,28.0,2.8336022875,4.0
125,3d6.(5D<2>).5f,2[5]*,nan,12.0,14.0943138,5.0
126,3d6.(3D).4d,4P,nan,4.0,14.1122413,4.0
127,3d6.(3H).4d,4F,nan,28.0,13.03815465,4.0
128,3d6.(5D<0>).4f,2[3]*,nan,14.0,12.89865765,4.0
129,3d6.(3F2<4>).4f,2[7]*,nan,30.0,15.4272265,4.0
130,3d6.(1I).5s,2I,nan,26.0,13.46958995,5.0
131,3d6.(3F2).5s,f 4F,nan,28.0,12.36755435,5.0
132,3d5.(4G).4s.(5G).4p,4H*,nan,26.0,13.666831850000001,4.0
133,3d6.(3H).4p,z 2I*,nan,26.0,7.746249349999999,4.0
134,3d6.(5D<1>).5g,2[4],nan,18.0,14.13684485,5.0
135,3d5.4s2,b 4G,nan,36.0,6.7281495125,4.0
136,3d5.(4G).4s.4p.(1P*),4G*,nan,14.0,13.468417550000002,4.0
137,3d6.(3F2).4p,y 2D*,nan,10.0,8.32394965,4.0
138,3d6.(3G).4d,2H,nan,22.0,13.619144250000002,4.0
139,3d6.(5D<2>).6h,2[5]*,nan,22.0,14.77847555,6.0
140,3d6.(3G).4d,4H,nan,44.0,13.44634755,4.0
141,3d6.(5D<1>).6h,2[4]*,nan,18.0,14.80116025,6.0
142,3d6.(3P2).4d,4F,nan,28.0,12.9072327,4.0
143,3d6.(5D<3>).5f,2[4]*,nan,18.0,14.052535500000001,5.0
144,3d6.(3G).4s,b 2G,nan,18.0,3.79100401,4.0
145,3d7,a 4F,nan,28.0,0.31796383500000003,3.0
146,3d6.(1G1).4s,d 2G,nan,18.0,7.27153825,4.0
147,3d6.(3H).4p,z 2H*,nan,22.0,8.11599805,4.0
148,3d5.(4G).4s.4p.(3P*),x 4H*,nan,44.0,11.42582195,4.0
149,3d6.(5D).4d,6D,nan,30.0,10.39915188,4.0
150,Limit,nan,nan,0.0,16.19921,nan
151,3d6.(3G<3>).4f,2[6]*,nan,14.0,15.883641,4.0
152,3d6.(5D).5d,6G,nan,54.0,13.005707049999998,5.0
153,3d6.(3G).4d,2G,nan,18.0,13.608923350000001,4.0
154,3d6.(5D<4>).5g,2[8],nan,34.0,14.0213721,5.0
155,3d5.(4G).4s.4p.(3P*),t 2F*,nan,14.0,11.941896700000001,4.0
156,3d6.(5D).4d,e 6F,nan,42.0,10.317457899999999,4.0
157,3d6.(3H).5d,4H,nan,14.0,15.3999198,5.0
158,3d6.(3F2).4p,y 2G*,nan,18.0,8.05535515,4.0
159,3d6.(3F2).5p,4D*,nan,12.0,13.70737715,5.0
160,3d6.(5D<2>).5g,2[4],nan,18.0,14.1103118,5.0
161,3d6.(5D).4d,e 6G,nan,54.0,10.483974433333334,4.0
162,3d6.(3D).4d,4F,nan,10.0,14.2619847,4.0
163,3d6.(5D).6d,114464,nan,4.0,14.1918354,6.0
164,3d6.(3G<5>).4f,2[8]*,nan,16.0,15.810978,4.0
165,3d6.(5D).4d,6S,nan,6.0,10.6000744,4.0
166,3d5.(2I).4s.4p.(3P*),2K*,nan,14.0,13.1650424,4.0
167,3d6.(3F1).4p,4G*,nan,36.0,11.1553775,4.0
168,3d6.(5D).6d,4F,nan,10.0,14.1540577,6.0
169,3d6.(3F2).5p,2G*,nan,18.0,13.8358912,5.0
170,3d6.(3F1).4p,4D*,nan,20.0,11.503568275,4.0
171,3d6.(3H<5>).4f,2[7]*,nan,30.0,15.275296449999999,4.0
172,3d6.(5D<3>).5g,2[5],nan,22.0,14.07135535,5.0
173,3d6.(1G2).4p,x 2F*,nan,14.0,9.0552539,4.0
174,3d6.(3P2<2>).4f,2[4]*,nan,10.0,15.1700991,4.0
175,3d6.(3F2).4d,4H,nan,44.0,13.0741928,4.0
176,3d5.(4D).4s.4p.(3P*),2F*,nan,14.0,12.80247405,4.0
177,3d6.(3H).4d,2I,nan,26.0,12.98038725,4.0
178,3d6.(5D<4>).6h,2[6]*,nan,26.0,14.68574065,6.0
179,3d6.(5D<3>).5f,2[3]*,nan,14.0,14.05476895,5.0
180,3d6.(5D<4>).5g,2[1],nan,6.0,14.0229788,5.0
181,3d6.(5D).4p,z 4F*,nan,28.0,5.55933009,4.0
182,3d5.(4P).4s.4p.(3P*),4S*,nan,4.0,12.1924024,4.0
183,3d6.(5D).6d,114395,nan,8.0,14.1832304,6.0
184,3d6.(3H).5p,4H*,nan,44.0,13.667083224999999,5.0
185,3d5.4p2,4P,nan,10.0,14.6533778,4.0
186,3d6.(3H<4>).4f,2[6]*,nan,26.0,15.29944055,4.0
187,3d5.4s2,d 4P,nan,12.0,7.128385063333333,4.0
188,3d6.(5D).5p,4D*,nan,20.0,11.2557613,5.0
189,3d6.(1S2).4s,a 2S,nan,2.0,4.6155941,4.0
190,3d5.4s.(5S).5s,4S,nan,4.0,14.325861,5.0
191,3d5.(4D).4s.4p.(3P*),6F*,nan,42.0,11.420420133333335,4.0
192,3d5.(2D3).4s.4p.(3P*),2D*,nan,6.0,13.3566857,4.0
193,3d6.(5D).6d,114333,nan,8.0,14.1755723,6.0
194,3d6.(3G).4p,x 4G*,nan,36.0,8.160818125,4.0
195,3d6.(5D<2>).6h,2[7]*,nan,30.0,14.77805355,6.0
196,3d5.(4G).4s.4p.(3P*),y 6F*,nan,42.0,10.864871483333333,4.0
197,3d5.(4G).4s.4p.(1P*),4H*,nan,8.0,13.5027013,4.0
198,3d6.(3P2).4p,z 4S*,nan,4.0,7.3973238,4.0
199,3d6.(5D<4>).4f,2[3]*,nan,14.0,12.7638277,4.0
200,3d6.(3G).4p,x 2G*,nan,18.0,8.730863,4.0
201,3d5.(4D).4s.4p.(3P*),4F*,nan,28.0,12.202626825,4.0
202,3d6.(3P2).5s,2P,nan,6.0,12.3358162,5.0
203,3d6.(3P1).5p,4P*,nan,4.0,11.2885412,5.0
204,3d6.(5D).6p,6F*,nan,42.0,13.318817066666666,6.0
205,3d6.(3G).5s,f 4G,nan,36.0,12.758636499999998,5.0
206,3d6.(3F2).4d,2P,nan,4.0,13.4034281,4.0
207,3d6.(3G).4s,a 4G,nan,36.0,3.2009984125,4.0
208,3d6.(5D<3>).5f,2[5]*,nan,22.0,14.05616855,5.0
209,3d6.(5D).4p,z 4P*,nan,12.0,5.8678991,4.0
210,3d6.(3G).4d,2D,nan,10.0,13.67093405,4.0
211,3d6.(5D<4>).6h,2[9]*,nan,38.0,14.6876781,6.0
212,3d6.(3F2).4d,4D,nan,20.0,13.05899095,4.0
213,3d7,a 4P,nan,12.0,1.6966209433333335,3.0
214,3d6.(5D).4d,e 4F,nan,28.0,10.7200278,4.0
215,3d6.(3F2).4p,y 4F*,nan,28.0,7.70622925,4.0
216,3d6.(3G).5s,e 2G,nan,18.0,12.8690897,5.0
217,3d6.(3H<6>).4f,2[8]*,nan,34.0,15.2450242,4.0
218,3d5.(4F).4s.4p.(3P*),6F*,nan,42.0,13.2040899,4.0
219,3d6.(5D<3>).5f,2[2]*,nan,10.0,14.056111399999999,5.0
220,3d5.4s2,c 4D,nan,20.0,7.486818075,4.0
221,3d6.(5D).6p,6P*,nan,18.0,13.330336066666666,6.0
222,3d6.(3P2<2>).4f,2[3]*,nan,8.0,15.170162,4.0
223,3d6.(3P1).4p,4P*,nan,8.0,11.35159715,4.0
224,3d5.4s.(5S).5s,6S,nan,6.0,14.3037135,5.0
225,3d6.(3F1).4s,c 4F,nan,28.0,6.2166925775,4.0
226,3d6.(3H).6s,2H,nan,22.0,15.18114425,6.0
227,3d6.(1F).4p,u 2F*,nan,14.0,10.726492149999999,4.0
228,3d6.(3D).4p,w 4P*,nan,12.0,8.935987466666667,4.0
229,3d5.(4P).4s.4p.(3P*),4D*,nan,20.0,11.89750445,4.0
230,3d6.(5D).6d,114352,nan,6.0,14.1779495,6.0
231,3d6.(5D<4>).5f,2[2]*,nan,6.0,14.0020687,5.0
232,3d5.(6S).4s.4p.(3P*),y 6P*,nan,18.0,7.695103933333333,4.0
233,3d6.(5D).4d,e 4G,nan,36.0,10.575567475,4.0
234,3d6.(3P2).5p,4P*,nan,12.0,13.547048133333334,5.0
235,3d6.(1D2).4p,v 2F*,nan,14.0,9.6633371,4.0
236,3d6.(3H).4s,b 2H,nan,22.0,3.25600781,4.0
237,3d6.(3F2).4d,4G,nan,36.0,13.046976675,4.0
238,3d6.(5D).6d,114212,nan,8.0,14.16053,6.0
239,3d6.(5D).4p,z 4D*,nan,20.0,5.5632439174999995,4.0
240,3d5.(4F).4s.4p.(3P*),4G*,nan,22.0,13.911128900000001,4.0
241,3d6.(5D<3>).5g,2[3],nan,14.0,14.072370750000001,5.0
242,3d6.(5D).5p,6F*,nan,42.0,11.20694985,5.0
243,3d6.(5D).7s,6D,nan,30.0,14.000107,7.0
244,3d5.(2D3).4s.4p.(3P*),4D*,nan,16.0,13.287422033333334,4.0
245,3d6.(3G).5p,2G*,nan,10.0,14.2430563,5.0
246,3d6.(5D<1>).5g,2[3],nan,14.0,14.13207645,5.0
247,3d6.(5D).5s,e 4D,nan,20.0,9.914058050000001,5.0
248,3d6.(3G).4d,4I,nan,52.0,13.467965074999999,4.0
249,3d6.(5D).6p,6D*,nan,30.0,13.24428896,6.0
250,3d6.(5D<3>).5g,2[6],nan,26.0,14.0716636,5.0
251,3d6.(3P1).4s,c 2P,nan,6.0,6.755008999999999,4.0
252,3d6.(3P2).4d,4D,nan,16.0,12.807965833333334,4.0
253,3d6.(3G).4d,2I,nan,26.0,13.54152255,4.0
254,3d6.(5D).7s,4D,nan,20.0,14.0480129,7.0
255,3d6.(5D<2>).5g,2[6],nan,26.0,14.109549600000001,5.0
256,3d6.(5D<3>).5g,2[2],nan,10.0,14.073137549999998,5.0
257,3d5.(2F1).4s.4p.(3P*),4G*,nan,36.0,13.3330457,4.0
258,3d6.(3H).5d,2K,nan,16.0,15.4462457,5.0
259,3d5.(4G).4s.4p.(3P*),2G*,nan,18.0,12.36076775,4.0
260,3d6.(5D).6d,4D,nan,8.0,14.1354271,6.0
261,3d6.(5D<4>).6h,2[8]*,nan,34.0,14.68626235,6.0
262,3d6.(5D<2>).4f,2[5]*,nan,22.0,12.85541215,4.0
263,3d7,a 2H,nan,22.0,2.55072749,3.0
264,3d6.(5D<4>).4f,2[2]*,nan,10.0,12.774039850000001,4.0
265,3d5.(4G).4s.4p.(3P*),w 4G*,nan,36.0,11.666894574999999,4.0
266,3d6.(5D<3>).4f,2[5]*,nan,22.0,12.8124463,4.0
267,3d6.(3D).4s,b 2D,nan,10.0,4.48694741,4.0
268,3d6.(5D).5d,6D,nan,30.0,12.97596594,5.0
269,3d6.(3F2).4d,4F,nan,28.0,13.144454150000001,4.0
270,3d6.(5D<4>).6h,2[7]*,nan,30.0,14.6857173,6.0
271,3d6.(3H<6>).4f,2[6]*,nan,26.0,15.25333465,4.0
272,3d7,a 2P,nan,6.0,2.3090453149999997,3.0
273,3d6.(3H).4d,2H,nan,22.0,13.14631695,4.0
274,3d6.(3G<3>).4f,2[5]*,nan,22.0,15.87784305,4.0
275,3d6.(5D<3>).5f,2[6]*,nan,26.0,14.06016835,5.0
276,3d6.(3D).4p,x 2D*,nan,10.0,9.24332925,4.0
277,3d5.(4D).4s.4p.(3P*),2P*,nan,6.0,13.17448995,4.0
278,3d6.(3G).5p,4F*,nan,8.0,13.914925,5.0
279,3d7,b 2F,nan,14.0,3.9557693699999996,3.0
280,3d6.(3H<4>).4f,2[7]*,nan,30.0,15.30033145,4.0
281,3d6.(3H).4p,z 2G*,nan,18.0,7.712162,4.0
282,3d6.(3H).5d,4I,nan,16.0,15.9694815,5.0
283,3d6.(3P2<1>).4f,2[4]*,nan,10.0,15.3281124,4.0
284,3d6.(3H).4d,4G,nan,36.0,12.87377835,4.0
285,3d5.(2I).4s.4p.(3P*),2I*,nan,26.0,13.54040995,4.0
286,3d6.(5D<1>).4f,2[2]*,nan,10.0,12.877423499999999,4.0
287,3d6.(5D).5d,6P,nan,18.0,12.935029,5.0
288,3d5.(2D3).4s.4p.(3P*),4P*,nan,10.0,13.23122055,4.0
289,3d6.(5D<1>).6h,2[5]*,nan,22.0,14.80320265,6.0
290,3d6.(3P1).4p,4S*,nan,4.0,11.2366645,4.0
291,3d5.(2D3).4s.4p.(3P*),4F*,nan,14.0,13.0129561,4.0
292,3d6.(3F2).5p,4G*,nan,36.0,13.886536475,5.0
293,3d6.(3P1).4p,v 4D*,nan,20.0,10.744159625,4.0
294,3d6.(3H<6>).4f,2[7]*,nan,30.0,15.2506184,4.0
295,3d6.(5D).6d,114584,nan,6.0,14.2066561,6.0
296,3d6.(5D).5d,4P,nan,12.0,13.267909566666667,5.0
297,3d6.(3H).5p,2H*,nan,22.0,13.73825035,5.0
298,3d5.(6S).4p2,8P,nan,24.0,13.244045566666665,4.0
299,3d6.(5D<4>).5f,2[6]*,nan,26.0,14.003062450000002,5.0
300,3d6.(5D).6d,6P,nan,18.0,14.259746433333333,6.0
301,3d6.(5D).6p,4P*,nan,12.0,13.357139966666667,6.0
302,3d6.(1F).4p,v 2G*,nan,18.0,10.363618249999998,4.0
303,3d6.(3F2).4p,y 4G*,nan,36.0,7.933545124999999,4.0
304,3d6.(5D<3>).4f,2[2]*,nan,10.0,12.819822250000001,4.0
305,3d6.(3G).4d,4G,nan,36.0,13.443751425,4.0
306,3d5.(6S).4s.4p.(1P*),x 6P*,nan,18.0,9.830384966666665,4.0
307,3d6.(3H).4d,4H,nan,44.0,12.870484975,4.0
308,3d7,a 2G,nan,18.0,1.997017095,3.0
309,3d6.(5D<2>).4f,2[2]*,nan,10.0,12.851352349999999,4.0
310,3d6.(3P2).4d,2F,nan,14.0,12.819307550000001,4.0
311,3d6.(5D<4>).6h,2[1]*,nan,6.0,14.688424,6.0
312,3d6.(5D<2>).5g,2[2],nan,10.0,14.1088198,5.0
313,3d6.(3F1).5p,4D*,nan,6.0,13.6743089,5.0
314,3d6.(3F2<4>).4f,2[6]*,nan,14.0,15.423652,4.0
315,3d6.(5D<4>).5f,2[7]*,nan,30.0,14.0094797,5.0
316,3d6.(5D<1>).4f,2[4]*,nan,18.0,12.8792789,4.0
317,3d6.(1I).4p,z 2K*,nan,30.0,8.8288749,4.0
318,3d5.(6S).4s.4p.(3P*),z 8P*,nan,24.0,6.523586999999999,4.0
319,3d6.(3H).4p,z 4G*,nan,36.0,7.54540555,4.0
320,3d6.(5D<3>).4f,2[6]*,nan,26.0,12.82253385,4.0
321,3d6.(3D).4p,w 4F*,nan,28.0,8.970576399999999,4.0
322,3d5.(2G2).4s.4p.(3P*),4H*,nan,34.0,13.6264604,4.0
323,3d6.(3H<6>).4f,2[4]*,nan,10.0,15.2485928,4.0
324,3d6.(3H).4d,2F,nan,14.0,12.9372071,4.0
325,3d6.(3P1).4s,c 4P,nan,12.0,6.150472306666667,4.0
326,3d6.(5D).6s,4D,nan,20.0,12.757393650000001,6.0
327,3d6.(3F2).4d,2G,nan,18.0,13.2554491,4.0
328,3d5.(4D).4s.4p.(3P*),2D*,nan,10.0,12.705457500000001,4.0
329,3d6.(3P1).4p,u 2D*,nan,10.0,11.46306995,4.0
330,3d6.(3G<5>).4f,2[6]*,nan,12.0,15.8058464,4.0
331,3d6.(3H).4d,4K,nan,60.0,12.868231025000002,4.0
332,3d6.(5D<4>).6h,2[2]*,nan,10.0,14.6879647,6.0
333,3d6.(3F2).4d,4P,nan,12.0,13.004508800000002,4.0
334,3d6.(5D<0>).5g,2[4],nan,18.0,14.1459496,5.0
335,3d6.(3P2).4p,z 2P*,nan,6.0,8.03669065,4.0
336,3d6.(3D).4p,y 2P*,nan,6.0,9.0741823,4.0
337,3d6.(5D).5d,4F,nan,28.0,12.967761475,5.0
338,3d6.(5D<2>).5g,2[3],nan,14.0,14.10961685,5.0
339,3d6.(5D<4>).5g,2[0],nan,2.0,14.023917,5.0
340,3d6.(1G2).4s,c 2G,nan,18.0,4.151473879999999,4.0
341,3d5.4s.(7S).4d,6D,nan,30.0,13.21537634,4.0
342,3d6.(1F).4s,c 2F,nan,14.0,5.569654675000001,4.0
343,3d6.(3H).4p,z 4H*,nan,44.0,7.55905115,4.0
344,3d6.(5D).6d,6D,nan,24.0,14.136854633333334,6.0
345,3d6.(5D).6s,6D,nan,30.0,12.67798076,6.0
346,3d5.(4G).4s.4p.(3P*),v 4F*,nan,28.0,11.449877725,4.0
347,3d6.(5D<2>).6h,2[6]*,nan,26.0,14.7784774,6.0
348,3d6.(3H).4d,2G,nan,18.0,13.014015,4.0
349,3d6.(3H<5>).4f,2[5]*,nan,12.0,15.2835763,4.0
350,3d6.(3F2).4d,2D,nan,10.0,13.3182933,4.0
351,3d6.(1G2).4p,x 2H*,nan,22.0,8.95117045,4.0
352,3d6.(3H<4>).4f,2[4]*,nan,18.0,15.30559875,4.0
353,3d6.(5D<4>).5f,2[3]*,nan,8.0,13.9993067,5.0
354,3d5.(4P).4s.4p.(3P*),2S*,nan,2.0,12.890334,4.0
355,3d6.(3H).5p,2I*,nan,26.0,13.64884,5.0
356,3d6.(3G).5p,4G*,nan,12.0,14.2421732,5.0
357,3d6.(5D<2>).5f,2[4]*,nan,18.0,14.095297949999999,5.0
358,3d6.(5D).4d,4S,nan,4.0,10.6290223,4.0
359,3d5.(4D).4s.4p.(3P*),6D*,nan,30.0,11.648263780000002,4.0
360,3d5.(2H).4s.4p.(3P*),4I*,nan,22.0,13.8745245,4.0
361,3d6.(5D<3>).6h,2[5]*,nan,22.0,14.7405068,6.0
362,3d6.(3P2).4p,y 4P*,nan,12.0,7.553545966666666,4.0
363,3d6.(3P2).5p,4D*,nan,14.0,13.6417742,5.0
364,3d6.(5D).5d,4G,nan,36.0,13.054136075,5.0
365,3d6.(5D<2>).4f,2[1]*,nan,6.0,12.8537548,4.0
366,3d6.(5D<4>).5g,2[5],nan,22.0,14.01573385,5.0
367,3d6.(3G<5>).4f,2[7]*,nan,30.0,15.8079787,4.0
368,3d6.(3H).4p,z 4I*,nan,52.0,7.624253625,4.0
369,3d6.(3F2<3>).4f,2[6]*,nan,14.0,15.4560319,4.0
370,3d6.(3H).6s,4H,nan,32.0,15.139645100000001,6.0
371,3d6.(5D).5p,w 6P*,nan,18.0,11.348131933333333,5.0
372,3d6.(5D).5d,4D,nan,18.0,13.027899866666667,5.0
373,3d6.(3P2).4d,2P,nan,6.0,13.02167985,4.0
374,3d6.(3G).4p,y 4H*,nan,44.0,8.249184249999999,4.0
375,3d6.(5D<3>).4f,2[4]*,nan,18.0,12.8117301,4.0
376,3d6.(3G<4>).4f,2[7]*,nan,30.0,15.85685085,4.0
