,Configuration,Term,J,g,Level (eV),nQua
0,3d5.(4P).4s.4p.(3P*),2D*,nan,6.0,12.448073,4.0
1,3d6.(3F2).5s,e 2F,nan,14.0,12.47540475,5.0
2,3d5.(4P).4s.4p.(3P*),2P*,nan,4.0,12.0669485,4.0
3,3d6.(3D).4s,b 4D,nan,20.0,3.8932304525,4.0
4,3d6.(5D).6d,114475,nan,6.0,14.1931935,6.0
5,3d6.(5D).4p,z 6D*,nan,30.0,4.813080191999999,4.0
6,3d6.(5D<3>).6h,2[2]*,nan,10.0,14.7411663,6.0
7,3d6.(3H).4d,2K,nan,30.0,12.9213302,4.0
8,3d6.(5D<3>).6h,2[7]*,nan,30.0,14.7405561,6.0
9,3d6.(5D<1>).5f,2[4]*,nan,18.0,14.11832255,5.0
10,3d6.(1G1).4p,2F*,nan,8.0,12.2618625,4.0
11,3d6.(3G).4d,4F,nan,28.0,13.6697878,4.0
12,3d6.(3H).5p,2G*,nan,18.0,13.6679459,5.0
13,3d6.(5D<4>).5g,2[3],nan,14.0,14.019275350000001,5.0
14,3d6.(5D<3>).6h,2[4]*,nan,18.0,14.7407052,6.0
15,3d5.4s2,2G2,nan,18.0,9.71802205,4.0
16,3d6.(3H).5p,4I*,nan,52.0,13.6037252,5.0
17,3d6.(3D).4p,w 4D*,nan,20.0,8.995848625,4.0
18,3d6.(3P2).4p,z 2S*,nan,2.0,8.2137854,4.0
19,3d6.(3H<6>).4f,2[9]*,nan,38.0,15.244283849999999,4.0
20,3d6.(5D<2>).4f,2[4]*,nan,18.0,12.8579913,4.0
21,3d6.(5D).4p,z 6F*,nan,42.0,5.238249326666668,4.0
22,3d6.(3P2).4d,4P,nan,6.0,13.0473836,4.0
23,3d6.(3F1).4s,d 2F,nan,14.0,6.805169149999999,4.0
24,3d6.(3G).4p,y 2F*,nan,14.0,8.63283675,4.0
25,3d6.(3H).5d,4K,nan,16.0,15.4108934,5.0
26,3d6.(5D).5d,6F,nan,40.0,12.9272133,5.0
27,3d5.(2I).4s.4p.(3P*),2H*,nan,22.0,13.2475282,4.0
28,3d6.(5D<4>).5g,2[6],nan,26.0,14.0152529,5.0
29,3d5.(4F).4s.4p.(3P*),6D*,nan,28.0,13.395747100000001,4.0
30,3d6.(3F2).5p,2F*,nan,14.0,13.8498687,5.0
31,3d6.(5D).5p,6D*,nan,30.0,11.04696618,5.0
32,3d6.(3F1).4p,2F*,nan,14.0,11.786280049999998,4.0
33,3d6.(3F1).4p,u 4F*,nan,28.0,11.583106475000001,4.0
34,3d6.(3F2).4d,2F,nan,14.0,13.1413388,4.0
35,3d6.(5D).6d,6G,nan,36.0,14.129544366666666,6.0
36,3d6.(3H).4s,a 4H,nan,44.0,2.6648993475000005,4.0
37,3d6.(3D).4p,w 2F*,nan,14.0,9.39279365,4.0
38,3d5.4s.(7S).5s,6S,nan,6.0,13.2159291,5.0
39,3d6.(3P2).4s,b 4P,nan,12.0,2.68849058,4.0
40,3d6.(5D<3>).4f,2[0]*,nan,2.0,12.8222325,4.0
41,3d6.(5D<4>).4f,2[7]*,nan,30.0,12.77409555,4.0
42,3d6.(1D2).4p,w 2P*,nan,6.0,9.8000417,4.0
43,3d6.(3G).4d,4D,nan,20.0,13.476909,4.0
44,3d6.(3H).5s,e 4H,nan,44.0,12.195065975,5.0
45,3d5.4s2,4F,nan,28.0,9.110332125,4.0
46,3d6.(3P2).4p,z 2D*,nan,10.0,7.6386050999999995,4.0
47,3d6.(1I).4p,y 2I*,nan,26.0,9.1709006,4.0
48,3d5.4s2,a 6S,nan,6.0,2.8910183,4.0
49,3d6.(3F1).4p,2D*,nan,6.0,11.741355,4.0
50,3d6.(5D).5p,4P*,nan,12.0,11.383462166666666,5.0
51,3d6.(5D<4>).4f,2[6]*,nan,26.0,12.75386675,4.0
52,3d6.(3P2).4d,2D,nan,6.0,13.0479501,4.0
