,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,2s2.2p5,2P*,3/2,4.0,0.0,,                                               ,L13237,2
1,2s2.2p5,2P*,1/2,2.0,0.16943,3e-05,                                               ,,2
2,2s.2p6,2S,1/2,2.0,32.78824,0.00019,                                               ,,2
3,2s2.2p4.(3P).3s,4P,5/2,6.0,45.397361,2.5e-05,                                               ,,3
4,2s2.2p4.(3P).3s,4P,3/2,4.0,45.507242,2.5e-05,                                               ,,3
5,2s2.2p4.(3P).3s,4P,1/2,2.0,45.570413,2.5e-05,                                               ,,3
6,2s2.2p4.(3P).3s,2P,3/2,4.0,46.324504,2.5e-05,                                               ,,3
7,2s2.2p4.(3P).3s,2P,1/2,2.0,46.454388,2.5e-05,                                               ,,3
8,2s2.2p4.(1D).3s,2D,5/2,6.0,49.491356,2.5e-05,                                               ,,3
9,2s2.2p4.(1D).3s,2D,3/2,4.0,49.492299,2.5e-05,                                               ,,3
10,2s2.2p4.(3P).3p,4P*,5/2,6.0,50.36116,2.5e-05,  99                                           ,,3
11,2s2.2p4.(3P).3p,4P*,3/2,4.0,50.405854,2.5e-05,  99                                           ,,3
12,2s2.2p4.(3P).3p,4P*,1/2,2.0,50.444845,2.5e-05, 100                                           ,,3
13,2s2.2p4.(3P).3p,4D*,7/2,8.0,50.954646,2.5e-05, 100                                           ,,3
14,2s2.2p4.(3P).3p,4D*,5/2,6.0,51.024008,2.5e-05,  97                                           ,,3
15,2s2.2p4.(3P).3p,4D*,3/2,4.0,51.075511,2.5e-05,  98                                           ,,3
16,2s2.2p4.(3P).3p,4D*,1/2,2.0,51.10498,2.5e-05, 100                                           ,,3
17,2s2.2p4.(3P).3p,2D*,5/2,6.0,51.364403,2.5e-05,  98                                           ,,3
18,2s2.2p4.(3P).3p,2D*,3/2,4.0,51.474802,2.5e-05,  98                                           ,,3
19,2s2.2p4.(3P).3p,2S*,1/2,2.0,51.690167,2.5e-05,  80         :    16  2s2.2p4.(3P).3p    2P*   ,,3
20,2s2.2p4.(3P).3p,4S*,3/2,4.0,51.751498,2.5e-05,  99                                           ,,3
21,2s2.2p4.(3P).3p,2P*,3/2,4.0,51.877158,2.5e-05,  85         :    13  2s2.2p4.(1D).3p    2P*   ,,3
22,2s2.2p4.(3P).3p,2P*,1/2,2.0,51.894397,2.5e-05,  69         :    20  2s2.2p4.(3P).3p    2S*   ,,3
23,2s2.2p4.(1S).3s,2S,1/2,2.0,53.936598,1.9e-05,                                               ,,3
24,2s2.2p4.(1D).3p,2F*,5/2,6.0,54.669617,2.5e-05, 100                                           ,,3
25,2s2.2p4.(1D).3p,2F*,7/2,8.0,54.683934,2.5e-05, 100                                           ,,3
26,2s2.2p4.(1D).3p,2D*,3/2,4.0,55.271848,2.5e-05,  99                                           ,,3
27,2s2.2p4.(1D).3p,2D*,5/2,6.0,55.281231,2.5e-05, 100                                           ,,3
28,2s2.2p4.(1D).3p,2P*,3/2,4.0,55.488875,2.5e-05,  86         :    13  2s2.2p4.(3P).3p    2P*   ,,3
29,2s2.2p4.(1D).3p,2P*,1/2,2.0,55.558226,2.5e-05,  86         :    14  2s2.2p4.(3P).3p    2P*   ,,3
30,2s2.2p4.(3P).3d,4D,7/2,8.0,57.064621,2.5e-05,  98                                           ,,3
31,2s2.2p4.(3P).3d,4D,5/2,6.0,57.083528,2.5e-05,  97                                           ,,3
32,2s2.2p4.(3P).3d,4D,3/2,4.0,57.106331,2.5e-05,  97                                           ,,3
33,2s2.2p4.(3P).3d,4D,1/2,2.0,57.125345,2.5e-05,  99                                           ,,3
34,2s2.2p4.(3P).3d,4F,9/2,10.0,57.391175,2.5e-05, 100                                           ,,3
35,2s2.2p4.(3P).3d,4F,7/2,8.0,57.435154,2.5e-05,  82         :    17  2s2.2p4.(3P).3d    2F    ,,3
36,2s2.2p4.(3P).3d,4F,5/2,6.0,57.490469,2.5e-05,  82         :     9  2s2.2p4.(3P).3d    2F    ,,3
37,2s2.2p4.(3P).3d,4F,3/2,4.0,57.538235,2.5e-05,  90         :     7  2s2.2p4.(3P).3d    2D    ,,3
38,2s2.2p4.(3P).3d,2F,7/2,8.0,57.525063,2.5e-05,  82         :    16  2s2.2p4.(3P).3d    4F    ,,3
39,2s2.2p4.(3P).3d,2F,5/2,6.0,57.577043,2.5e-05,  32         :    44  2s2.2p4.(3P).3d    2D    ,,3
40,2s2.2p4.(3P).3d,4P,1/2,2.0,57.579742,2.5e-05,  99                                           ,,3
41,2s2.2p4.(3P).3d,4P,3/2,4.0,57.606938,2.5e-05,  82         :    10  2s2.2p4.(3P).3d    2D    ,,3
42,2s2.2p4.(3P).3d,4P,5/2,6.0,57.645879,2.5e-05,  56         :    37  2s2.2p4.(3P).3d    2F    ,,3
