,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3d7,a 4F,9/2,10.0,0.0,2.1e-05,  99                                                ,L19543,3
1,3d7,a 4F,7/2,8.0,0.104315,2e-05,  99                                                ,L19543,3
2,3d7,a 4F,5/2,6.0,0.179942,2e-05,  99                                                ,L19543,3
3,3d7,a 4F,3/2,4.0,0.23154,2.4e-05,  99                                                ,L19543,3
4,3d7,a 4P,5/2,6.0,1.884877,2e-05,  98                                                ,L19543,3
5,3d7,a 4P,3/2,4.0,1.912899,1.9e-05,  95                                                ,L19543,3
6,3d7,a 4P,1/2,2.0,1.96048,3e-05,  97                                                ,L19543,3
7,3d7,a 2G,9/2,10.0,2.105197,1.5e-05,  97                                                ,L19543,3
8,3d7,a 2G,7/2,8.0,2.203059,1.6e-05,  99                                                ,L19543,3
9,3d7,a 2P,3/2,4.0,2.504152,1.9e-05,  83                         :    10  3d7           ,L19543,3
10,3d7,a 2P,1/2,2.0,2.59391,3e-05,  97                                                ,L19543,3
11,3d7,a 2H,11/2,12.0,2.8171,3e-05,  99                                                ,L19543,3
12,3d7,a 2H,9/2,10.0,2.905685,1.9e-05,  97                                                ,L19543,3
13,3d7,a 2D2,5/2,6.0,2.859193,1.6e-05,  76                         :    23  3d7           ,L19543,3
14,3d7,a 2D2,3/2,4.0,3.005229,2.1e-05,  68                         :    18  3d7           ,L19543,3
15,3d7,a 2F,5/2,6.0,4.590195,2.5e-05,  98                                                ,L19543,3
16,3d7,a 2F,7/2,8.0,4.626824,1.9e-05,  98                                                ,L19543,3
17,3d6.(5D).4s,a 6D,9/2,10.0,5.7576877,7e-07,  99                                                ,L19543,4
18,3d6.(5D).4s,a 6D,7/2,8.0,5.827719,5e-07,  99                                                ,L19543,4
19,3d6.(5D).4s,a 6D,5/2,6.0,5.8788367,5e-07,  99                                                ,L19543,4
20,3d6.(5D).4s,a 6D,3/2,4.0,5.9139546,7e-07,  99                                                ,L19543,4
21,3d6.(5D).4s,a 6D,1/2,2.0,5.9345478,6e-07,  99                                                ,L19543,4
22,3d6.(5D).4s,a 4D,7/2,8.0,6.9095728,5e-07,  99                                                ,L19543,4
23,3d6.(5D).4s,a 4D,5/2,6.0,6.9894783,9e-07,  99                                                ,L19543,4
24,3d6.(5D).4s,a 4D,3/2,4.0,7.0416752,9e-07,  99                                                ,L19543,4
25,3d6.(5D).4s,a 4D,1/2,2.0,7.0716983,1e-06,  99                                                ,L19543,4
26,3d7,b 2D1,3/2,4.0,7.09507,4e-05,  77                         :    21  3d7           ,L19543,3
27,3d7,b 2D1,5/2,6.0,7.15376,4e-05,  75                         :    23  3d7           ,L19543,3
28,3d6.(3P2).4s,b 4P,5/2,6.0,8.7948492,9e-07,  62                         :    37  3d6.(3P1).4s  ,L19543,4
29,3d6.(3P2).4s,b 4P,3/2,4.0,8.9693971,5e-07,  61                         :    36  3d6.(3P1).4s  ,L19543,4
30,3d6.(3P2).4s,b 4P,1/2,2.0,9.077634,1.1e-06,  62                         :    36  3d6.(3P1).4s  ,L19543,4
31,3d6.(3H).4s,a 4H,13/2,14.0,8.8802806,7e-07,  99                                                ,L19543,4
32,3d6.(3H).4s,a 4H,11/2,12.0,8.9113757,3e-07,  98                                                ,L19543,4
33,3d6.(3H).4s,a 4H,9/2,10.0,8.9373568,4e-07,  96                                                ,L19543,4
34,3d6.(3H).4s,a 4H,7/2,8.0,8.9605701,6e-07,  97                                                ,L19543,4
35,3d6.(3F2).4s,b 4F,9/2,10.0,9.08646,6e-07,  73                         :    21  3d6.(3F1).4s  ,L19543,4
36,3d6.(3F2).4s,b 4F,7/2,8.0,9.1179938,5e-07,  75                         :    20  3d6.(3F1).4s  ,L19543,4
37,3d6.(3F2).4s,b 4F,5/2,6.0,9.1411013,6e-07,  77                         :    20  3d6.(3F1).4s  ,L19543,4
38,3d6.(3F2).4s,b 4F,3/2,4.0,9.1578483,1.1e-06,  80                         :    19  3d6.(3F1).4s  ,L19543,4
39,3d6.(3G).4s,a 4G,11/2,12.0,9.4873214,5e-07,  76                         :    22  3d6.(3H).4s   ,L19543,4
